TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
136102,497,7,115714,109559
136104,497,7,115715,109559
136108,498,7,115715,109550
136110,498,8,115705,109548
6,516,4,0,0
8,517,4,57557,57580
11,518,4,73926,73947
13,521,4,90360,90338
15,525,4,106728,106708
18,529,4,116801,110086
20,538,5,116790,110089
23,542,5,116800,110094
25,546,5,116800,110094
28,549,5,116793,110094
30,557,5,116793,110099
33,560,5,116815,110101
35,563,5,116810,110097
37,566,5,116807,110096
40,569,5,116825,110098
43,574,6,116808,110095
46,575,5,116815,110101
48,577,5,116820,110100
51,578,5,116830,110101
53,579,5,116845,110099
55,579,6,116844,110112
58,579,6,116840,110102
60,578,6,116851,110109
63,579,6,116851,110113
65,579,6,116860,110114
68,579,6,116857,110113
70,580,6,116867,110123
73,580,6,116867,110119
75,580,6,116877,110114
77,580,6,116879,110118
80,579,6,116890,110124
82,579,6,116896,110124
86,579,6,116889,110132
88,578,6,116892,110133
91,577,6,116912,110131
93,577,7,116900,110134
95,576,6,116904,110141
98,576,6,116912,110138
100,575,6,116924,110145
103,574,7,116940,110145
105,573,7,116945,110149
108,572,6,116937,110147
110,570,7,116937,110150
113,568,7,116950,110160
115,566,7,116951,110153
117,565,7,116955,110155
120,564,7,116969,110165
122,564,7,116973,110160
125,563,7,116969,110162
128,562,7,116974,110159
131,560,7,116982,110162
133,559,7,116987,110160
135,559,7,116988,110164
138,559,7,116995,110165
140,558,7,117003,110176
143,560,7,116994,110168
145,560,7,117001,110172
148,561,7,117013,110170
150,560,7,117025,110174
153,560,7,117026,110177
155,558,7,117034,110184
157,557,7,117036,110187
160,556,7,117037,110186
162,555,7,117048,110183
165,553,7,117052,110188
167,551,7,117054,110192
171,549,7,117060,110194
173,548,7,117063,110201
175,547,7,117070,110195
178,546,7,117082,110202
180,544,7,117075,110202
183,542,7,117080,110207
185,542,7,117096,110208
188,542,7,117101,110211
190,542,7,117114,110215
193,543,7,117115,110220
195,542,7,117117,110221
197,542,7,117118,110214
200,542,7,117125,110214
202,541,7,117128,110221
205,540,7,117137,110223
207,540,7,117145,110222
210,539,7,117148,110229
212,539,7,117157,110230
215,538,7,117156,110230
218,537,7,117166,110236
220,537,7,117157,110232
223,536,7,117169,110237
225,535,7,117178,110236
228,535,7,117186,110237
230,533,7,117191,110247
233,533,7,117191,110243
235,530,7,117204,110243
237,527,7,117203,110243
240,511,7,117208,110250
