TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
15823,513,176,136371,120464
15824,514,176,136411,120464
15823,513,176,136371,120464
15824,514,176,136411,120464
9,502,172,106686,106664
11,493,172,123059,120702
13,486,172,136534,120696
15,480,172,136526,120701
17,476,172,136519,120699
19,474,173,136511,120698
21,474,173,136521,120697
23,474,173,136516,120693
25,475,173,136498,120701
27,475,173,136508,120701
29,479,173,136505,120690
31,480,173,136505,120694
33,482,173,136505,120699
35,484,174,136484,120700
36,485,174,136484,120682
38,487,174,136507,120688
40,489,174,136504,120688
43,490,174,136500,120688
45,492,174,136483,120690
47,493,174,136489,120703
49,495,174,136510,120695
51,496,174,136506,120695
53,497,174,136492,120682
55,497,175,136495,120691
57,498,174,136491,120688
59,499,175,136489,120688
61,500,174,136489,120697
63,501,175,136497,120683
65,502,175,136473,120683
67,502,175,136473,120683
69,503,175,136468,120679
71,503,175,136468,120682
73,504,175,136481,120691
75,505,175,136511,120694
77,506,175,136511,120686
79,508,175,136472,120691
80,509,175,136472,120682
82,511,175,136496,120684
84,513,175,136494,120687
87,515,175,136482,120679
89,515,175,136468,120678
91,516,176,136485,120714
93,517,175,136495,120677
95,518,176,136499,120684
97,518,176,136479,120681
99,518,176,136484,120683
101,518,176,136485,120685
103,519,176,136477,120674
105,520,176,136477,120685
107,520,176,136486,120679
109,520,176,136472,120685
111,520,176,136472,120678
113,520,176,136479,120684
115,520,176,136479,120679
117,518,176,136480,120678
119,517,176,136501,120682
121,515,176,136501,120683
122,514,176,136465,120688
124,513,176,136465,120679
126,512,176,136488,120681
129,512,176,136494,120695
131,511,176,136477,120680
133,509,176,136466,120687
135,508,176,136484,120684
137,507,176,136494,120681
139,507,176,136505,120688
141,508,176,136483,120693
143,508,176,136495,120695
145,507,176,136500,120698
147,507,176,136494,120688
149,507,176,136496,120690
151,506,177,136500,120699
153,506,176,136486,120702
155,506,177,136486,120697
157,506,177,136490,120700
159,506,177,136484,120702
161,506,177,136505,120702
163,506,177,136517,120698
164,507,177,136517,120707
166,507,177,136487,120699
168,507,177,136487,120703
171,508,177,136511,120698
173,508,177,136510,120704
175,507,177,136500,120707
177,506,177,136502,120698
179,506,177,136508,120710
181,506,177,136517,120716
183,506,177,136519,120706
185,507,177,136494,120709
187,507,177,136521,120700
189,507,177,136520,120704
191,507,177,136513,120712
193,507,177,136520,120708
195,508,177,136522,120698
197,508,177,136500,120704
199,508,177,136500,120710
201,509,177,136500,120713
203,509,177,136504,120708
205,509,177,136517,120708
207,509,177,136523,120712
208,509,177,136522,120712
210,509,177,136489,120708
212,509,177,136517,120700
215,509,177,136519,120709
217,510,177,136511,120698
219,511,177,136520,120707
221,511,177,136528,120710
223,512,177,136533,120700
225,512,177,136513,120712
227,512,177,136530,120710
229,512,177,136531,120715
231,512,177,136532,120710
233,511,177,136535,120698
235,509,177,136523,120713
237,509,177,136519,120710
239,502,177,136523,120710
241,490,177,136534,120719
243,490,177,136528,120719
245,483,177,136496,120711
247,483,177,136509,120713
249,481,177,136534,120713
250,486,177,136536,120719
252,486,178,136543,120719
254,510,177,136530,120715
257,523,177,136520,120716
259,547,177,136543,120720
261,564,178,136509,120727
263,584,177,136524,120713
265,613,178,136531,120723
267,638,178,136520,120720
269,663,178,136548,120717
271,683,178,136548,120723
273,697,178,136549,120732
275,709,178,136515,120726
277,717,178,136515,120710
279,718,178,136539,120720
281,702,178,136539,120694
283,669,178,136494,120714
285,625,178,136537,120714
287,561,178,136537,120713
289,516,178,136502,120715
291,477,178,136502,120730
292,439,178,136540,120718
294,422,178,136531,120715
296,411,178,136523,120707
299,410,178,136515,120715
301,413,178,136519,120717
303,422,178,136539,120722
305,430,178,136516,120719
307,438,178,136536,120714
309,450,178,136524,120722
311,463,178,136527,120724
313,469,178,136532,120722
315,469,178,136549,120722
317,478,178,136556,120722
319,480,178,136542,120735
321,480,178,136550,120735
323,483,178,136523,120716
325,483,178,136535,120716
327,484,178,136490,120717
329,485,178,136555,120728
331,486,178,136545,120728
333,487,178,136524,120723
335,488,178,136524,120734
336,489,178,136542,120738
338,491,178,136545,120732
340,492,178,136529,120726
343,493,178,136527,120731
345,493,178,136544,120731
347,494,178,136554,120731
349,494,178,136575,120735
351,495,178,136568,120735
353,496,178,136513,120733
355,496,178,136534,120732
357,497,178,136541,120728
359,497,178,136545,120728
361,498,178,136555,120733
363,499,178,136545,120740
365,499,178,136547,120740
367,500,178,136549,120737
369,500,178,136558,120737
371,500,178,136516,120733
373,500,178,136555,120742
375,500,178,136554,120742
377,500,178,136546,120741
378,500,178,136549,120746
380,500,178,136560,120736
382,501,178,136568,120743
385,502,178,136537,120751
387,503,178,136547,120739
389,504,178,136544,120740
391,504,178,136559,120739
393,505,178,136548,120746
395,506,178,136577,120748
397,505,178,136571,120746
399,505,178,136572,120741
401,504,178,136560,120745
403,505,178,136563,120735
405,505,178,136555,120736
407,506,178,136544,120740
409,507,178,136544,120769
411,507,178,136568,120746
413,508,178,136543,120747
415,508,178,136519,120739
417,509,178,136567,120734
419,509,178,136568,120734
420,508,178,136536,120743
422,508,178,136553,120738
424,509,178,136556,120738
427,509,178,136575,120749
429,509,178,136570,120749
431,509,178,136549,120739
433,509,178,136553,120737
435,509,178,136555,120742
437,510,178,136580,120745
439,510,178,136576,120742
441,510,178,136548,120744
443,511,178,136548,120740
445,511,178,136548,120730
447,511,178,136548,120738
449,511,178,136519,120737
451,511,178,136559,120745
453,511,178,136560,120745
455,512,178,136538,120730
457,512,178,136539,120746
459,513,178,136557,120746
461,515,178,136560,120736
463,515,178,136556,120736
464,516,178,136541,120742
466,516,178,136562,120751
468,516,178,136569,120740
471,516,178,136546,120740
473,517,178,136563,120735
475,517,178,136517,120744
477,517,178,136534,120739
479,517,178,136546,120740
481,517,178,136546,120727
483,517,178,136530,120731
485,517,178,136532,120733
487,518,178,136537,120732
489,518,178,136518,120734
491,517,178,136517,120727
493,517,178,136524,120724
495,517,178,136531,120736
497,517,178,136524,120736
