TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
4,0,0,0,0
6,437,19,0,57541
8,414,19,57526,57541
11,395,19,90366,73941
13,381,19,90366,90280
16,381,19,106709,106728
18,407,19,123095,113892
21,432,19,130529,113892
23,499,19,130511,113885
26,535,19,130506,113887
28,557,19,130520,113893
30,572,19,130520,113889
33,579,19,130510,113886
35,609,18,130511,113882
38,619,18,130530,113890
40,626,18,130522,113891
44,636,18,130522,113895
46,662,18,130517,113890
48,675,18,130507,113885
51,680,18,130524,113901
53,677,18,130531,113891
56,679,18,130518,113894
58,689,18,130516,113895
61,684,18,130525,113896
63,680,18,130538,113895
66,681,18,130531,113894
68,681,18,130536,113889
70,679,18,130531,113894
73,676,18,130521,113890
75,672,18,130525,113897
78,670,18,130523,113899
80,677,18,130526,113893
83,676,18,130532,113903
86,668,18,130535,113899
88,667,18,130532,113896
91,669,18,130529,113897
93,668,18,130523,113894
96,664,17,130526,113892
98,660,18,130520,113891
101,657,18,130519,113889
103,653,17,130522,113880
106,650,17,130524,113887
108,641,17,130518,113887
110,631,17,130521,113887
113,621,17,130519,113889
115,609,17,130518,113887
118,602,17,130514,113888
120,601,17,130524,113890
123,604,17,130517,113888
125,602,17,130517,113885
128,604,17,130533,113894
131,590,17,130522,113889
133,589,17,130528,113891
136,592,17,130530,113896
138,592,17,130527,113895
141,584,17,130518,113891
143,581,17,130526,113895
146,583,16,130525,113891
148,579,17,130522,113889
150,579,16,130531,113893
153,565,16,130521,113891
155,561,16,130516,113891
158,561,16,130518,113882
160,571,16,130527,113889
163,577,16,130518,113893
165,577,16,130518,113882
167,563,16,130511,113878
171,547,16,130514,113883
173,552,16,130510,113880
176,555,16,130501,113880
178,553,16,130510,113880
181,541,16,130511,113883
183,535,16,130501,113880
186,536,16,130517,113871
188,531,16,130504,113883
190,531,16,130509,113885
193,523,16,130505,113867
195,516,15,130504,113886
198,514,15,130508,113860
200,516,15,130504,113880
203,534,15,130512,113883
205,545,15,130515,113881
207,552,15,130522,113879
210,558,15,130506,113882
212,564,15,130506,113884
216,567,15,130523,113897
218,577,15,130517,113892
221,585,15,130524,113897
223,590,15,130528,113894
226,585,15,130531,113894
228,556,15,130539,113904
230,545,15,130537,113899
233,536,15,130545,113911
235,517,14,130552,113901
238,490,15,130554,113916
240,493,14,130559,113915
243,498,14,130565,113921
245,501,14,130567,113926
247,497,14,130570,113923
250,481,14,130580,113933
252,467,14,130580,113930
256,460,14,130581,113930
258,466,14,130584,113938
261,480,14,130584,113939
263,492,14,130591,113939
266,496,14,130590,113939
268,489,14,130592,113944
270,488,14,130592,113932
273,491,14,130592,113932
275,484,14,130600,113941
278,477,14,130589,113946
280,484,14,130608,113944
283,494,13,130602,113948
285,499,13,130610,113951
287,490,13,130592,113946
290,483,13,130609,113942
292,473,13,130597,113955
295,472,13,130599,113954
297,473,13,130588,113954
301,481,13,130604,113938
303,491,13,130602,113945
306,490,13,130602,113947
308,488,13,130597,113943
310,482,13,130599,113943
313,475,13,130608,113950
315,480,13,130607,113945
318,487,13,130605,113949
320,498,13,130603,113936
323,498,13,130603,113947
325,492,13,130591,113947
327,491,13,130593,113938
330,473,12,130595,113940
332,467,13,130595,113933
335,467,13,130588,113927
337,465,12,130588,113927
340,463,12,130589,113935
343,479,12,130589,113927
346,485,12,130579,113931
348,479,12,130574,113922
350,473,12,130566,113922
353,476,12,130565,113917
355,490,12,130565,113914
358,491,12,130560,113917
360,485,12,130559,113917
363,485,12,130558,113911
365,486,12,130558,113902
367,475,12,130554,113905
370,467,12,130546,113905
372,468,12,130544,113905
375,472,12,130540,113913
377,468,12,130540,113894
380,471,12,130540,113893
382,475,12,130540,113893
386,481,12,130546,113898
388,481,12,130546,113904
390,473,12,130522,113896
393,473,12,130539,113900
395,483,12,130539,113898
398,485,12,130540,113902
400,477,12,130541,113902
403,476,12,130546,113904
405,474,12,130546,113903
407,464,12,130528,113901
410,458,12,130544,113901
412,459,12,130548,113898
415,461,12,130548,113890
417,456,12,130542,113895
420,452,12,130495,113895
422,453,12,130523,113885
425,468,12,130523,113882
428,474,12,130524,113882
430,474,12,130510,113887
433,469,12,130510,113871
435,477,12,130511,113864
438,483,12,130496,113864
440,487,12,130496,113861
443,486,12,130484,113861
445,485,12,130486,113867
447,477,12,130486,113863
450,479,12,130489,113856
452,482,12,130476,113858
455,479,12,130466,113858
457,471,12,130463,113863
460,465,12,130463,113855
462,473,12,130470,113861
465,474,12,130462,113861
467,477,12,130459,113861
470,474,12,130461,113861
473,464,12,130461,113856
475,464,12,130459,113863
478,470,12,130452,113863
480,483,12,130459,113872
483,486,12,130466,113872
485,486,12,130484,113862
487,478,12,130484,113867
490,454,12,130468,113866
492,452,11,130476,113866
495,453,12,130494,113873
497,450,11,130494,113879
500,448,12,130476,113882
502,448,12,130479,113888
505,466,12,130481,113888
507,469,12,130481,113887
509,465,12,130507,113890
513,462,12,130491,113896
515,462,12,130502,113896
518,461,12,130494,113896
520,456,12,130528,113909
523,458,12,130512,113900
525,459,12,130530,113901
527,451,12,130528,113909
530,452,12,130519,113910
532,456,12,130530,113916
535,461,11,130525,113916
537,464,11,130546,113918
540,465,11,130541,113923
542,456,11,130551,113923
545,458,11,130542,113917
547,460,11,130543,113930
549,458,11,130547,113921
552,451,11,130558,113930
555,450,11,130557,113925
558,451,11,130550,113924
560,456,11,130559,113926
563,468,11,130564,113930
565,473,11,130569,113928
567,470,11,130564,113925
570,471,11,130558,113930
572,464,11,130561,113930
575,454,11,130575,113933
577,452,11,130562,113929
580,457,11,130574,113936
582,455,11,130576,113932
585,456,11,130569,113939
587,458,11,130586,113937
589,469,11,130588,113937
592,480,11,130595,113941
594,483,11,130572,113940
598,479,11,130581,113946
600,474,11,130585,113942
603,479,11,130593,113944
605,486,11,130585,113948
607,486,11,130589,113947
610,489,11,130591,113944
612,486,11,130587,113940
615,469,11,130597,113948
617,469,11,130577,113944
620,474,11,130589,113948
622,477,11,130593,113946
625,473,11,130599,113949
627,470,11,130602,113942
629,475,11,130584,113938
632,462,11,130603,113948
634,460,11,130580,113942
637,470,11,130593,113943
640,475,11,130586,113942
643,473,11,130592,113950
645,473,11,130601,113949
647,480,11,130587,113950
650,472,11,130589,113950
652,471,11,130596,113948
655,477,11,130594,113945
657,483,11,130587,113950
660,490,11,130588,113948
662,479,11,130584,113941
665,478,11,130602,113944
667,474,11,130593,113947
669,476,11,130596,113947
672,469,11,130597,113938
674,461,11,130597,113943
677,463,11,130594,113953
679,479,11,130600,113959
683,489,11,130606,113955
685,491,11,130613,113963
687,480,11,130607,113960
690,474,11,130610,113965
692,482,11,130613,113956
695,487,11,130614,113965
697,485,10,130624,113962
700,475,11,130607,113970
702,471,11,130618,113961
705,474,11,130618,113928
707,473,11,130618,113961
709,478,11,130602,113956
712,472,11,130602,113930
714,464,11,130607,113927
717,461,11,130601,113951
719,466,11,130599,113949
722,467,11,130590,113949
724,481,11,130598,113945
727,493,10,130592,113941
730,495,10,130584,113934
732,488,11,130581,113936
735,473,10,130571,113933
737,477,10,130569,113926
740,482,11,130579,113925
742,486,10,130569,113926
745,480,10,130570,113926
747,478,10,130565,113920
749,481,10,130559,113919
752,481,10,130559,113911
754,474,10,130551,113919
757,468,10,130542,113904
759,486,11,130539,113903
762,493,10,130539,113916
764,493,10,130536,113898
766,494,10,130537,113898
770,488,10,130531,113915
772,480,10,130531,113910
775,475,10,130526,113895
777,479,10,130526,113895
780,490,11,130531,113897
782,491,10,130525,113899
785,486,11,130525,113897
787,480,10,130531,113892
789,473,10,130530,113892
792,465,10,130532,113899
794,471,11,130535,113901
797,479,10,130537,113907
799,495,10,130537,113901
802,496,10,130537,113908
804,491,11,130535,113900
806,495,11,130535,113904
809,496,11,130543,113899
812,485,10,130530,113899
815,468,11,130547,113905
817,471,11,130547,113906
820,479,10,130536,113901
822,481,11,130533,113898
825,477,11,130533,113889
827,470,10,130530,113898
829,472,11,130530,113889
832,480,10,130525,113892
834,482,11,130521,113892
837,480,11,130520,113891
839,485,11,130520,113893
842,493,10,130528,113898
844,492,11,130518,113892
846,486,11,130524,113892
849,483,11,130519,113887
851,477,11,130519,113882
855,480,10,130514,113882
857,480,11,130514,113891
860,488,11,130527,113887
862,492,11,130517,113887
865,498,11,130527,113890
867,495,10,130527,113886
869,486,11,130515,113895
872,481,11,130530,113897
874,479,10,130522,113897
877,478,11,130530,113904
879,486,11,130530,113899
882,496,11,130525,113901
884,502,11,130534,113901
886,497,11,130547,113898
889,489,11,130547,113899
891,485,11,130541,113900
894,482,11,130543,113900
897,474,11,130556,113897
900,467,11,130556,113907
902,469,11,130526,113905
905,477,11,130527,113906
907,485,11,130559,113906
909,494,11,130561,113920
912,491,11,130561,113908
914,496,10,130557,113911
917,501,11,130557,113911
919,502,11,130561,113910
922,488,10,130561,113906
924,486,11,130531,113915
926,492,11,130572,113915
929,492,11,130562,113915
931,480,11,130562,113907
934,480,11,130559,113913
936,487,11,130564,113914
940,488,11,130559,113914
942,485,11,130571,113911
945,491,11,130571,113916
947,497,11,130565,113919
949,496,11,130577,113919
952,489,11,130571,113921
954,489,11,130571,113915
957,492,11,130561,113910
959,490,11,130569,113919
962,484,11,130573,113919
964,485,11,130578,113923
966,482,11,130569,113925
969,474,11,130569,113926
971,470,11,130589,113926
974,471,11,130595,113919
976,469,11,130595,113922
979,472,11,130568,113921
982,472,11,130583,113933
985,493,11,130577,113933
987,495,11,130572,113929
989,490,11,130604,113933
992,490,11,130589,113929
994,495,11,130581,113929
997,494,11,130588,113938
999,486,11,130613,113943
1002,487,11,130591,113933
1004,486,11,130616,113933
1006,486,11,130591,113932
1009,491,11,130593,113930
1011,480,11,130610,113932
1014,482,11,130588,113929
1016,484,11,130604,113928
1019,480,11,130604,113929
1021,477,11,130597,113933
1025,476,11,130581,113926
1027,474,11,130578,113923
1029,476,11,130590,113921
1032,488,11,130587,113925
1034,497,11,130581,113925
1037,497,11,130584,113927
1039,511,11,130598,113928
1042,522,11,130581,113916
1044,532,11,130583,113917
1046,543,11,130587,113921
1049,556,11,130585,113927
1051,549,11,130570,113920
1054,544,11,130581,113936
1056,546,11,130583,113926
1059,543,11,130579,113923
1061,510,11,130571,113928
1064,490,11,130578,113920
1067,474,11,130581,113928
1069,471,11,130580,113925
1072,466,11,130585,113928
1074,459,11,130581,113931
1077,456,11,130587,113931
1079,455,11,130590,113928
