TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
136379,508,76,126621,121421
136382,508,76,126637,121431
136384,507,76,126636,121428
136387,507,76,126636,121423
136379,508,76,126621,121421
136382,508,76,126637,121431
136384,507,76,126636,121428
136387,507,76,126636,121423
6,499,76,0,0
8,499,76,57548,57533
11,499,76,73962,73893
13,498,76,90294,90313
15,499,76,106712,106683
18,499,77,123034,121729
20,499,77,127163,121736
23,499,77,127175,121740
25,498,77,127175,121739
28,498,77,127169,121739
30,498,77,127172,121742
33,498,78,127180,121746
35,498,78,127174,121753
37,498,78,127180,121744
40,499,78,127187,121740
43,499,78,127180,121745
46,498,78,127185,121750
48,498,78,127181,121748
51,499,78,127183,121743
53,499,79,127200,121747
55,499,79,127201,121752
58,500,79,127186,121748
60,500,79,127195,121756
63,500,79,127195,121752
65,501,79,127199,121754
68,500,79,127197,121761
70,500,79,127200,121760
73,500,79,127201,121764
75,500,79,127207,121752
77,500,80,127204,121758
80,499,80,127195,121751
82,499,80,127198,121756
86,498,80,127194,121758
88,498,80,127187,121753
91,497,80,127181,121747
93,497,80,127173,121739
95,497,80,127162,121745
98,497,80,127159,121730
100,497,80,127157,121733
103,497,80,127151,121732
105,498,80,127132,121729
108,498,80,127129,121726
110,499,80,127111,121715
113,499,80,127104,121710
115,500,80,127086,121709
117,500,81,127078,121710
120,500,81,127066,121695
122,501,81,127065,121689
125,503,81,127048,121691
128,504,81,127031,121682
131,505,81,127030,121680
133,507,81,127020,121671
135,508,81,127008,121671
138,509,81,126996,121664
140,510,81,126992,121662
143,511,81,126984,121658
145,512,81,126971,121652
148,512,81,126970,121649
150,512,81,126964,121643
153,513,81,126955,121644
155,513,81,126953,121635
157,513,81,126952,121644
160,513,81,126940,121628
162,514,81,126946,121628
165,514,81,126935,121630
167,514,81,126929,121632
171,514,81,126935,121626
173,514,81,126936,121625
175,514,81,126934,121628
178,513,82,126931,121624
180,513,82,126928,121623
183,513,82,126923,121617
185,512,82,126926,121616
188,512,82,126928,121617
190,512,82,126927,121618
193,511,82,126926,121614
195,510,82,126929,121618
197,510,82,126932,121621
200,510,82,126927,121616
202,510,82,126936,121615
205,511,82,126926,121606
207,512,82,126926,121610
210,512,82,126928,121607
212,512,82,126941,121614
215,512,82,126941,121608
218,512,82,126936,121613
220,512,82,126938,121607
223,511,82,126944,121603
225,511,82,126940,121611
228,511,82,126940,121609
230,512,82,126940,121608
233,513,82,126952,121611
235,514,82,126951,121610
237,514,82,126949,121610
240,514,82,126956,121619
242,514,82,126952,121613
245,514,82,126952,121620
247,514,82,126958,121616
250,514,82,126966,121616
252,514,82,126968,121623
254,514,82,126972,121614
258,514,82,126969,121611
260,514,82,126974,121623
263,515,82,126984,121615
265,516,82,126983,121619
268,518,82,126983,121626
270,519,82,126993,121624
273,520,82,126996,121624
275,522,82,127004,121633
277,523,82,127006,121637
280,523,82,127004,121640
282,523,82,127004,121630
285,523,82,127015,121640
287,524,83,127014,121632
290,525,82,127014,121640
292,526,83,127023,121641
294,527,83,127036,121641
297,528,83,127043,121646
300,528,83,127043,121642
303,527,82,127037,121647
305,525,83,127034,121647
308,523,82,127044,121641
310,518,83,127042,121648
313,517,83,127045,121663
315,514,83,127052,121651
317,513,83,127052,121652
320,511,83,127053,121656
322,509,83,127050,121663
325,507,83,127050,121661
327,505,83,127050,121661
330,503,83,127061,121650
332,502,83,127056,121656
334,501,83,127056,121662
337,501,83,127061,121668
339,501,83,127062,121668
343,500,83,127066,121668
345,498,83,127066,121665
