TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
12742,520,92,118257,113630
12745,519,91,118257,113631
12747,517,92,118250,113627
12740,520,92,118260,113634
12742,520,92,118257,113630
12745,519,91,118257,113631
12747,517,92,118250,113627
6,517,100,0,0
8,520,100,57579,57592
11,521,100,73933,73930
13,520,100,90323,90354
15,519,100,106721,106739
18,518,101,118836,113841
20,517,101,118766,113826
23,517,101,118677,113800
25,516,101,118677,113766
28,516,102,118627,113766
30,515,102,118587,113752
33,516,102,118559,113735
35,516,103,118520,113728
37,517,103,118489,113705
40,517,103,118467,113698
43,517,103,118445,113689
46,516,103,118425,113684
48,515,103,118406,113677
51,515,104,118393,113665
53,515,104,118387,113657
55,515,104,118377,113665
58,514,104,118357,113654
60,514,104,118359,113662
63,514,104,118358,113658
65,513,105,118361,113662
68,512,105,118355,113660
70,510,105,118353,113657
73,508,105,118346,113664
75,508,105,118368,113662
77,507,106,118368,113664
80,505,105,118374,113672
82,504,106,118388,113672
86,504,106,118381,113669
88,503,106,118397,113677
91,503,106,118409,113686
93,503,106,118409,113684
95,503,107,118420,113698
98,503,107,118433,113691
100,502,107,118447,113698
103,502,107,118463,113702
105,501,107,118478,113709
108,501,107,118485,113714
110,501,107,118492,113712
113,501,107,118504,113722
115,502,107,118514,113733
117,502,108,118523,113734
120,502,108,118542,113735
122,502,108,118552,113732
125,503,108,118559,113744
128,503,108,118568,113741
131,503,108,118587,113751
133,503,108,118592,113752
135,503,108,118600,113757
138,503,109,118603,113747
140,504,109,118615,113760
143,504,109,118615,113768
145,504,109,118627,113770
148,504,109,118636,113763
150,504,109,118643,113765
153,504,109,118653,113773
155,505,110,118669,113778
157,506,110,118664,113780
160,506,110,118674,113778
162,507,110,118679,113789
165,507,110,118686,113786
167,508,110,118688,113787
171,508,110,118697,113786
173,510,110,118704,113808
175,511,110,118711,113798
178,511,110,118718,113810
180,510,111,118734,113808
183,510,111,118743,113810
185,510,111,118765,113818
188,510,111,118760,113820
190,510,111,118776,113826
193,510,111,118788,113839
195,511,111,118798,113835
197,512,111,118808,113840
200,512,111,118816,113850
202,512,111,118823,113848
205,513,111,118834,113849
207,513,111,118853,113854
210,514,112,118855,113857
212,515,112,118871,113861
215,516,112,118876,113861
218,518,112,118882,113870
220,518,112,118887,113860
223,518,112,118889,113862
225,518,112,118894,113870
228,519,112,118898,113872
230,518,112,118904,113874
233,518,112,118904,113870
235,518,112,118909,113875
237,518,112,118907,113875
240,519,112,118915,113873
242,520,112,118911,113872
245,520,113,118911,113873
247,521,113,118908,113869
250,522,113,118909,113869
252,522,113,118920,113862
254,522,113,118914,113862
258,521,113,118914,113858
260,520,113,118914,113865
263,518,113,118910,113867
265,516,113,118907,113869
268,515,113,118907,113861
270,514,114,118906,113864
273,513,113,118897,113864
275,511,114,118901,113862
277,510,114,118898,113861
280,509,114,118894,113856
282,508,114,118894,113855
285,507,114,118892,113851
287,505,114,118883,113849
290,504,114,118883,113851
292,505,114,118878,113848
294,505,114,118879,113848
297,503,114,118875,113843
300,502,114,118875,113847
303,501,115,118877,113844
305,501,114,118873,113844
308,501,114,118887,113846
