TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
33534,501,106,126854,113593
33537,501,106,126865,113599
33540,500,106,126859,113593
33542,499,107,126855,113591
33534,501,106,126854,113593
33537,501,106,126865,113599
33540,500,106,126859,113593
33542,499,107,126855,113591
6,516,126,0,57548
8,519,126,57523,57548
11,522,126,73920,73932
13,526,126,90273,90315
16,531,126,106699,106710
18,543,126,123089,113582
21,550,126,126954,113579
23,555,125,126936,113579
25,562,125,126954,113579
28,569,125,126946,113587
30,580,125,126956,113587
33,585,125,126941,113589
35,590,125,126962,113576
38,594,125,126951,113585
40,603,125,126962,113589
43,607,125,126964,113579
46,609,125,126951,113590
48,612,125,126968,113586
51,615,125,126963,113584
53,617,124,126970,113578
56,619,124,126978,113588
58,622,124,126961,113586
61,624,124,126952,113591
63,626,124,126961,113591
65,627,124,126963,113588
68,630,124,126970,113582
70,633,124,126952,113584
73,635,124,126962,113589
75,636,124,126969,113588
78,637,124,126976,113595
80,639,124,126966,113597
82,639,124,126965,113590
86,638,124,126974,113590
88,638,124,126972,113592
91,639,123,126966,113583
93,639,123,126965,113589
96,639,123,126966,113595
98,639,123,126971,113584
101,638,123,126984,113587
103,637,123,126966,113588
105,636,123,126977,113581
108,636,123,126974,113586
110,635,123,126980,113596
113,634,123,126976,113597
115,633,123,126979,113586
118,632,123,126980,113595
120,631,123,126988,113586
122,629,123,126993,113595
125,628,123,126985,113602
128,625,123,126988,113596
131,623,123,126994,113598
133,621,123,126995,113592
136,619,123,126992,113595
138,614,123,126993,113597
141,611,123,127005,113603
143,608,123,126997,113597
145,604,123,127006,113604
148,599,122,126991,113589
150,595,122,127003,113594
153,590,123,126997,113602
155,588,123,126999,113600
158,585,122,126998,113592
160,583,122,126999,113601
162,582,122,126999,113602
165,580,122,126994,113600
167,579,122,126992,113598
171,577,122,126992,113584
173,574,122,126992,113600
176,572,122,126990,113575
178,569,122,126992,113600
181,566,122,126983,113597
183,564,122,126987,113589
185,563,122,126990,113594
188,562,122,126974,113600
190,561,122,126982,113575
193,558,122,126980,113591
195,557,122,126990,113586
198,556,122,126979,113565
200,555,122,126979,113587
202,554,122,126982,113586
205,554,122,126980,113587
207,554,122,126978,113593
210,552,122,126985,113586
212,549,122,126986,113589
216,548,122,126976,113572
218,546,122,126988,113575
221,544,122,126984,113588
223,540,122,126985,113595
225,538,122,126995,113586
228,537,122,126983,113584
230,537,122,126978,113580
233,539,122,126977,113580
235,545,122,126982,113588
238,549,122,126980,113584
240,556,122,126979,113586
242,561,122,126982,113586
245,575,122,126982,113580
247,584,122,126971,113581
250,591,122,126971,113592
252,601,122,126969,113590
256,609,122,126976,113591
258,610,122,126977,113582
261,609,122,126977,113582
263,597,122,126981,113584
265,588,122,126975,113571
268,557,122,126970,113601
270,537,122,126977,113583
273,524,122,126977,113598
275,511,122,126977,113607
278,504,122,126983,113607
280,495,122,126986,113588
282,492,122,126986,113579
285,488,122,126986,113590
287,488,122,126991,113590
290,488,122,126991,113597
292,488,122,126991,113583
295,489,122,126997,113591
297,489,122,127000,113585
301,489,122,127000,113591
303,488,122,126997,113590
305,488,122,126999,113590
308,487,122,127018,113586
310,487,122,127018,113589
313,486,122,127006,113594
315,485,122,127007,113594
318,485,122,127011,113593
320,484,122,127008,113593
322,484,122,127001,113593
325,484,122,127009,113603
327,482,122,127009,113599
330,482,122,127012,113602
332,481,122,127009,113590
335,480,122,127009,113592
337,480,122,127005,113592
340,480,122,127006,113596
343,479,122,127006,113594
345,479,122,127005,113592
348,480,122,127003,113590
350,480,122,127000,113597
353,481,122,127000,113590
355,481,122,126993,113590
358,482,122,126999,113591
360,482,122,126999,113579
362,482,122,126995,113578
365,483,122,126998,113578
367,484,122,126997,113586
370,485,122,126997,113588
372,485,122,126999,113588
375,485,122,127005,113588
377,485,122,127005,113590
380,485,122,127003,113594
382,486,122,127012,113600
385,487,122,127012,113592
388,487,122,126984,113592
390,487,122,127021,113592
393,488,122,127021,113598
395,488,122,127015,113600
398,488,122,127019,113600
400,488,122,127019,113596
402,488,122,127025,113597
405,488,122,127023,113600
407,487,122,127023,113598
410,488,122,127031,113598
412,487,122,126999,113598
415,487,122,126999,113594
417,487,122,127032,113609
420,487,122,127003,113609
422,486,122,127053,113602
424,486,122,127053,113605
428,486,122,127040,113596
430,487,122,127041,113601
433,488,122,127043,113601
435,488,122,127043,113608
438,488,122,127050,113608
440,488,122,127057,113612
442,488,122,127057,113606
445,489,122,127055,113607
447,490,122,127055,113604
450,490,122,127055,113605
452,491,122,127055,113615
455,492,122,127059,113615
457,492,122,127073,113611
460,492,122,127073,113609
462,492,122,127063,113608
464,493,122,127060,113608
467,493,122,127070,113612
470,495,122,127068,113619
473,495,122,127068,113612
475,496,122,127074,113612
478,496,122,127065,113612
480,496,122,127086,113612
482,496,122,127086,113610
485,496,122,127064,113609
487,496,122,127058,113609
490,496,122,127049,113607
492,496,122,127059,113611
495,496,122,127059,113607
497,497,122,127052,113602
500,497,122,127034,113606
502,497,122,127032,113594
504,497,122,127021,113592
507,497,122,127018,113592
509,496,122,127014,113577
513,496,122,127005,113590
515,493,122,127000,113587
518,491,122,127003,113583
520,490,122,126997,113584
522,489,122,126985,113579
525,488,122,126988,113579
527,487,122,126991,113579
530,485,122,126985,113576
532,482,122,126981,113576
535,479,122,126975,113573
