TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,514,4,0,0
8,538,4,57557,57493
11,559,4,73942,73979
13,562,4,90328,90346
15,549,4,106733,106725
18,530,4,123047,116766
20,493,4,124856,116759
23,478,4,124857,116759
25,462,4,124868,116767
28,451,5,124873,116767
30,431,5,124877,116770
33,424,5,124892,116767
35,421,5,124889,116769
37,420,5,124908,116773
40,420,5,124924,116783
43,423,5,124918,116782
46,422,5,124931,116787
48,420,5,124943,116788
51,419,5,124959,116792
53,419,5,124970,116794
55,420,5,124983,116799
58,423,5,124985,116800
60,427,5,124998,116808
63,431,5,125015,116807
65,433,5,125015,116815
68,433,5,125021,116815
70,434,5,125031,116815
73,433,5,125031,116821
75,434,5,125048,116819
77,438,5,125059,116827
80,447,5,125074,116827
82,449,5,125082,116823
86,450,5,125080,116832
88,450,6,125084,116828
91,450,6,125088,116838
93,450,6,125084,116839
95,452,6,125085,116835
98,456,6,125088,116830
100,460,6,125090,116833
103,464,6,125106,116832
105,466,6,125104,116829
108,465,6,125090,116836
110,466,6,125082,116833
113,465,6,125082,116826
115,467,6,125079,116830
117,471,6,125072,116823
120,474,6,125081,116818
122,478,6,125082,116818
125,478,6,125061,116823
128,478,6,125073,116827
131,477,6,125065,116822
133,476,6,125058,116817
135,478,6,125057,116818
138,481,6,125060,116823
140,484,6,125056,116819
143,490,6,125043,116816
145,489,6,125041,116823
148,488,6,125040,116807
150,488,6,125045,116815
153,487,6,125038,116817
155,489,6,125043,116820
157,494,6,125042,116819
160,497,6,125038,116818
162,501,6,125038,116822
165,502,6,125032,116816
167,500,6,125037,116825
171,500,6,125053,116818
173,500,7,125053,116823
175,501,6,125057,116818
178,504,7,125056,116830
180,508,6,125059,116837
183,513,6,125059,116824
185,512,6,125081,116834
188,511,7,125083,116835
190,511,6,125094,116838
193,508,7,125099,116845
195,507,7,125110,116845
197,510,7,125117,116851
200,512,6,125130,116854
202,515,7,125138,116857
205,512,7,125153,116862
207,511,7,125159,116865
210,510,7,125159,116873
212,508,7,125185,116876
215,507,7,125198,116876
218,511,7,125211,116884
220,514,7,125228,116881
223,515,7,125241,116888
225,515,7,125244,116891
228,513,7,125256,116900
230,511,7,125274,116905
233,509,7,125274,116908
235,509,7,125298,116914
237,512,7,125311,116914
240,518,7,125339,116924
242,520,7,125348,116929
245,519,7,125348,116936
247,516,7,125371,116937
250,515,7,125385,116937
252,512,7,125409,116965
254,512,7,125416,116956
258,516,7,125425,116963
260,518,7,125425,116965
263,520,7,125445,116972
265,518,7,125467,116978
268,517,7,125467,116977
270,516,7,125486,116984
273,514,7,125501,116984
275,513,7,125522,116999
277,515,7,125522,116993
280,517,7,125547,117003
282,517,7,125562,117003
285,515,7,125572,117006
287,510,7,125588,117017
290,508,7,125596,117031
292,509,7,125596,117035
294,515,7,125606,117036
297,525,7,125627,117036
300,532,7,125631,117036
303,549,7,125643,117042
305,553,7,125643,117051
308,558,7,125655,117052
310,563,7,125672,117052
313,571,7,125690,117055
315,588,7,125706,117068
317,595,7,125706,117066
320,596,7,125712,117079
