TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
34420,510,7,136319,113900
34422,509,7,136345,113908
34425,506,7,136337,113913
34427,504,7,136350,113908
34430,506,7,136374,113922
16,483,4,106679,106662
18,444,4,123084,114628
20,417,4,138514,114626
23,393,4,138310,114620
25,369,4,138291,114613
28,358,5,138251,114596
30,352,5,138221,114551
33,348,4,138177,114551
35,345,5,138113,114534
37,351,5,138055,114507
40,356,5,137966,114478
43,362,5,137875,114437
46,365,5,137772,114401
48,365,5,137655,114352
51,365,5,137528,114311
53,367,5,137408,114265
56,368,5,137275,114222
58,381,5,137139,114166
60,387,5,136998,114120
63,394,5,136847,114070
65,397,5,136702,114025
68,397,5,136564,113972
70,399,5,136443,113936
73,399,5,136331,113907
75,401,5,136230,113869
77,405,5,136143,113839
80,417,5,136074,113812
82,421,5,136012,113797
86,422,5,135980,113776
88,420,5,135938,113757
91,418,5,135900,113748
93,417,5,135872,113736
96,416,5,135844,113731
98,424,5,135815,113710
100,427,5,135797,113704
103,431,6,135776,113700
105,431,5,135752,113690
108,431,5,135736,113688
110,430,6,135726,113685
113,430,6,135719,113679
115,432,6,135701,113672
117,435,6,135694,113674
120,441,5,135698,113670
122,446,6,135695,113663
125,448,6,135684,113659
128,444,6,135682,113660
131,445,6,135682,113665
133,446,6,135676,113663
136,447,6,135687,113655
138,457,6,135685,113659
140,460,6,135677,113668
143,463,6,135702,113668
145,465,6,135712,113661
148,468,6,135707,113668
150,466,6,135715,113678
153,466,6,135722,113675
155,465,6,135728,113689
157,472,6,135756,113679
160,478,6,135760,113691
162,482,6,135774,113693
165,482,6,135785,113697
167,478,6,135798,113710
171,477,6,135814,113704
173,480,6,135826,113716
176,482,6,135850,113722
178,485,6,135862,113733
180,491,6,135879,113737
183,496,6,135890,113743
185,496,6,135903,113745
188,492,6,135921,113753
190,489,6,135947,113762
193,489,6,135959,113759
195,494,6,135973,113774
197,500,6,136002,113776
200,503,6,136013,113783
202,507,6,136023,113760
205,509,7,136038,113783
207,508,7,136049,113787
210,507,7,136071,113799
212,505,7,136086,113796
216,503,6,136095,113805
218,509,7,136106,113813
220,515,7,136125,113815
223,518,7,136131,113817
225,519,7,136146,113818
228,515,7,136153,113821
230,512,7,136161,113825
233,511,7,136161,113830
235,512,7,136175,113830
237,515,7,136183,113830
240,525,7,136204,113844
242,528,7,136212,113834
245,527,7,136220,113843
247,524,7,136218,113843
250,522,7,136236,113849
252,518,7,136241,113851
256,518,7,136241,113857
258,524,7,136271,113857
260,528,7,136278,113857
263,534,7,136294,113870
265,530,7,136309,113875
268,526,7,136309,113879
270,526,7,136341,113884
273,525,7,136350,113884
275,525,7,136371,113918
277,528,7,136371,113904
280,534,7,136402,113908
282,535,7,136420,113908
285,535,7,136437,113916
287,528,7,136440,113926
290,526,7,136440,113931
292,526,7,136471,113939
295,525,7,136480,113939
297,532,7,136496,113953
300,533,7,136496,113945
303,537,7,136498,113948
305,537,7,136507,113948
308,534,7,136511,113944
310,529,7,136519,113949
313,528,7,136512,113950
315,525,7,136512,113944
317,530,7,136518,113952
320,538,7,136517,113945
322,537,7,136517,113949
325,536,7,136511,113947
327,535,7,136507,113947
330,533,7,136512,113945
332,529,7,136502,113943
335,528,7,136499,113938
337,531,7,136484,113932
339,534,7,136483,113932
343,542,7,136478,113927
345,538,7,136478,113925
348,533,7,136464,113921
350,533,7,136446,113921
353,533,7,136432,113918
355,532,7,136432,113900
357,535,7,136415,113908
360,539,7,136402,113908
362,541,7,136390,113904
365,540,7,136380,113887
367,532,7,136380,113886
370,530,7,136354,113886
372,529,7,136354,113880
375,527,7,136348,113880
377,530,7,136321,113880
379,536,7,136322,113876
382,540,7,136303,113862
385,539,8,136289,113862
388,533,7,136289,113856
390,530,7,136290,113858
393,528,7,136240,113858
395,527,7,136279,113854
397,528,7,136261,113853
400,537,7,136261,113846
402,538,7,136262,113846
405,535,7,136247,113846
407,532,7,136257,113844
410,528,7,136257,113842
412,527,8,136246,113842
415,525,7,136254,113848
417,532,7,136254,113844
419,537,7,136259,113847
422,539,7,136271,113847
424,536,7,136242,113852
428,531,7,136242,113854
430,530,7,136265,113850
433,529,8,136284,113850
435,528,7,136304,113856
437,530,7,136309,113861
440,539,7,136309,113862
442,540,7,136315,113874
445,538,7,136335,113874
447,535,7,136345,113875
450,532,7,136345,113884
452,531,7,136356,113889
455,528,7,136370,113889
457,532,7,136403,113893
459,541,7,136403,113902
462,541,7,136412,113906
464,539,7,136420,113916
467,536,7,136440,113912
470,533,7,136452,113926
473,531,7,136475,113926
475,530,8,136484,113932
477,533,7,136510,113933
480,539,7,136516,113936
482,544,7,136541,113950
485,544,7,136574,113947
487,539,7,136574,113967
490,535,7,136586,113969
492,526,7,136601,113973
495,527,7,136618,113973
497,530,7,136641,113980
499,536,7,136655,113981
502,539,7,136689,113993
504,541,7,136693,113997
507,537,7,136730,113994
509,534,7,136730,114018
513,531,7,136748,114018
