TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
61681,497,164,144481,121445
61684,497,164,144484,121456
61674,495,164,144479,121453
61676,495,164,144478,121454
61679,496,164,144485,121456
61681,497,164,144481,121445
61684,497,164,144484,121456
3,0,0,0,0
6,492,158,0,0
8,494,158,57497,57553
11,493,158,73877,73939
13,491,158,90325,90280
15,490,158,106662,106708
18,488,159,123048,121483
20,486,159,139407,121491
23,485,159,144630,121495
25,485,159,144630,121491
28,484,159,144630,121493
30,483,159,144638,121488
33,482,159,144634,121495
35,482,159,144628,121490
37,483,159,144633,121490
40,482,160,144638,121497
43,482,160,144643,121491
46,482,160,144644,121495
48,482,160,144648,121493
51,482,160,144643,121498
53,482,160,144650,121498
55,482,160,144656,121503
58,483,160,144666,121505
60,483,160,144671,121500
63,484,160,144670,121514
65,484,161,144683,121509
68,484,161,144674,121520
70,484,161,144679,121505
73,484,161,144683,121507
75,484,161,144683,121510
77,484,161,144677,121512
80,485,161,144696,121520
82,485,161,144694,121519
86,486,161,144696,121513
88,487,161,144697,121521
91,487,161,144686,121524
93,487,161,144685,121517
95,488,161,144690,121514
98,489,161,144687,121514
100,489,161,144673,121516
103,489,161,144686,121516
105,489,161,144689,121509
108,489,161,144693,121518
110,490,161,144697,121507
113,490,161,144688,121512
115,490,161,144683,121506
117,491,161,144687,121506
120,492,161,144668,121512
122,492,161,144669,121511
125,492,162,144680,121513
128,493,161,144681,121508
131,493,161,144665,121508
133,494,162,144678,121503
135,494,162,144662,121511
138,494,162,144671,121500
140,495,162,144667,121499
143,495,162,144660,121502
145,496,162,144645,121506
148,496,162,144647,121499
150,497,162,144649,121497
153,497,162,144652,121505
155,498,162,144634,121500
157,498,162,144639,121505
160,498,162,144643,121500
162,499,162,144630,121486
165,499,162,144635,121503
167,500,162,144635,121499
171,500,162,144630,121495
173,500,162,144631,121493
175,500,162,144622,121492
178,500,162,144618,121499
180,501,162,144626,121499
183,501,162,144622,121502
185,501,162,144630,121496
188,501,162,144621,121487
