TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
256609,510,847,126843,116542
256612,507,847,126864,116553
256614,505,847,126864,116559
256607,510,846,126838,116542
256609,510,847,126843,116542
256612,507,847,126864,116553
256614,505,847,126864,116559
6,509,87,0,0
8,512,87,57543,57585
11,514,87,73970,73946
13,515,87,90332,90308
15,517,87,106704,106723
18,518,87,123081,116854
20,519,88,127662,116841
23,519,88,127656,116835
25,519,88,127653,116836
28,518,88,127649,116835
30,519,89,127646,116831
33,519,89,127634,116830
35,520,89,127625,116833
37,520,89,127625,116826
40,521,89,127623,116824
43,523,89,127623,116823
46,524,90,127623,116828
48,524,90,127615,116818
51,524,90,127624,116821
53,522,90,127616,116832
55,520,90,127626,116828
58,519,90,127641,116839
60,518,91,127644,116836
63,517,91,127650,116841
65,517,91,127658,116843
68,516,91,127660,116845
70,517,91,127667,116848
73,516,91,127682,116845
75,513,91,127676,116854
77,511,92,127690,116858
80,510,91,127709,116871
82,509,91,127720,116868
86,507,91,127729,116870
88,506,92,127747,116875
91,506,92,127747,116891
93,506,92,127760,116886
95,505,92,127783,116902
98,505,92,127787,116903
100,505,92,127802,116907
103,506,92,127828,116911
105,505,92,127837,116920
108,506,92,127869,116934
110,506,92,127880,116936
113,506,92,127880,116949
115,506,92,127904,116951
117,506,92,127933,116962
120,505,93,127943,116963
122,505,93,127964,116984
125,505,93,127981,116987
128,505,93,128003,116995
131,505,93,128018,117003
133,506,93,128042,117011
135,506,93,128068,117020
138,507,93,128086,117024
140,507,93,128103,117044
143,507,93,128128,117049
145,507,93,128145,117056
148,508,93,128169,117062
150,507,93,128203,117075
153,507,93,128218,117081
155,505,93,128246,117094
157,503,93,128260,117111
160,499,94,128289,117109
162,493,93,128303,117103
165,485,94,128329,117132
167,481,94,128354,117149
171,482,94,128378,117154
173,495,94,128397,117158
175,507,94,128415,117162
178,520,94,128435,117174
180,540,94,128455,117185
183,577,94,128486,117194
185,601,94,128518,117205
188,627,94,128535,117214
190,648,94,128560,117219
193,676,94,128572,117202
195,718,95,128589,117236
197,742,95,128622,117245
200,759,95,128639,117253
202,774,95,128657,117258
205,777,95,128672,117264
207,751,95,128700,117278
210,732,95,128721,117281
212,673,95,128733,117296
215,637,95,128733,117309
218,588,95,128772,117310
220,532,95,128790,117315
223,503,95,128816,117320
225,471,95,128831,117331
228,452,95,128841,117336
230,429,95,128870,117350
233,424,95,128870,117354
235,423,95,128896,117366
237,424,95,128915,117366
240,431,95,128938,117379
242,436,95,128961,117377
245,440,95,128961,117391
247,446,95,128985,117399
250,450,95,128999,117399
252,456,95,129024,117416
254,458,95,129038,117418
258,462,95,129051,117421
260,463,95,129051,117423
263,465,95,129081,117433
265,468,95,129099,117443
268,469,95,129099,117438
270,471,95,129121,117446
273,472,95,129133,117446
275,475,95,129147,117463
277,476,95,129147,117462
280,478,95,129176,117462
282,479,95,129185,117462
285,480,95,129200,117475
287,483,95,129203,117474
290,484,95,129217,117498
292,486,95,129217,117490
294,487,95,129232,117502
297,487,95,129246,117499
300,488,95,129263,117499
303,490,95,129272,117513
305,491,95,129272,117521
308,492,95,129293,117519
310,493,95,129298,117519
313,494,95,129320,117526
315,496,95,129331,117530
317,496,95,129331,117538
320,497,95,129349,117546
322,498,95,129359,117546
325,499,95,129366,117546
327,500,95,129366,117550
330,501,95,129367,117555
332,502,95,129389,117555
334,503,95,129408,117560
337,506,95,129405,117562
339,508,95,129405,117570
343,508,95,129423,117570
345,510,95,129430,117576
348,510,95,129440,117575
350,510,95,129440,117582
353,511,95,129450,117584
355,512,95,129462,117584
357,513,95,129480,117593
360,515,95,129485,117599
362,515,95,129488,117599
365,518,95,129488,117605
367,519,95,129506,117612
370,520,95,129521,117612
372,522,95,129521,117615
374,523,95,129536,117624
377,524,95,129539,117624
379,525,95,129529,117626
382,528,95,129572,117634
385,529,95,129583,117634
388,532,95,129583,117638
390,534,95,129588,117639
393,536,95,129597,117639
395,538,95,129597,117650
397,540,95,129613,117656
400,541,96,129620,117656
402,542,95,129626,117657
405,544,95,129626,117669
407,546,96,129629,117652
410,548,96,129628,117652
412,549,95,129623,117649
414,552,96,129623,117637
417,553,96,129581,117637
419,555,96,129548,117638
422,556,96,129548,117588
424,556,96,129516,117569
428,557,96,129409,117569
430,557,96,129339,117542
433,558,96,129339,117472
435,558,96,129258,117428
437,558,96,129156,117428
440,557,96,128945,117383
