TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
0,0,0,0,0
12,509,873,57719,57831
22,509,871,74290,74246
31,509,870,90547,90560
41,510,869,106840,106858
53,509,868,120211,115862
61,510,867,120399,116040
72,509,866,120429,116041
80,509,865,120460,116064
92,509,865,120442,116060
103,509,864,120443,116063
111,508,864,120456,116043
121,509,863,120451,116056
133,509,863,120444,116049
141,509,862,120457,116053
152,509,862,120490,116059
160,510,862,120514,116070
172,509,861,120506,116077
183,509,861,120568,116076
191,509,861,120509,116074
201,509,861,120488,116090
212,509,861,120489,116081
221,509,860,120486,116094
232,509,860,120512,116071
240,510,860,120524,116100
251,509,860,120515,116102
263,509,860,120494,116096
271,509,860,120520,116088
282,508,860,120494,116101
292,509,860,120498,116086
302,508,860,120470,116095
312,508,860,120486,116073
320,509,859,120474,116084
331,509,860,120487,116091
343,509,859,120485,116080
351,509,859,120570,116081
362,509,859,120515,116120
373,509,859,120529,116111
381,509,859,120520,116112
393,509,859,120539,116094
401,508,859,120541,116136
411,509,859,120526,116112
422,509,859,120520,116111
431,509,860,120591,116101
442,509,859,120526,116133
453,509,859,120518,116112
461,509,859,120505,116123
473,509,859,120534,116123
481,509,859,120524,116125
491,509,859,120519,116111
502,509,859,120509,116120
510,509,859,120572,116108
522,509,859,120530,116110
533,509,859,120528,116113
541,510,859,120508,116110
552,510,859,120533,116110
561,509,859,120519,116118
571,509,859,120510,116110
582,509,859,120517,116108
591,510,859,120508,116096
602,509,859,120528,116116
613,509,859,120525,116099
621,509,859,120517,116107
632,509,859,120540,116098
641,509,859,120550,116107
652,509,859,120575,116120
663,509,859,120555,116113
671,510,859,120563,116093
681,509,859,120518,116091
693,509,859,120493,116069
701,509,859,120448,116069
712,508,859,120463,116049
720,509,859,120446,116074
732,509,859,120464,116046
743,509,859,120457,116054
751,510,859,120535,116047
761,510,859,120503,116068
773,510,859,120493,116066
781,510,859,120494,116063
792,510,859,120498,116064
800,509,859,120486,116074
812,509,860,120466,116070
823,510,859,120455,116062
831,510,859,120503,116048
842,510,859,120441,116053
852,509,859,120449,116042
861,509,859,120438,116032
872,508,859,120440,116037
880,508,859,120429,116028
891,508,859,120423,116025
903,509,859,120417,116034
911,509,859,120407,116000
922,509,859,120399,116034
