TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
12620,510,7,126398,116654
12622,508,7,126399,116653
12625,506,7,126405,116659
12627,506,7,126414,116662
12620,510,7,126398,116654
12622,508,7,126399,116653
12625,506,7,126405,116659
12627,506,7,126414,116662
6,492,4,0,0
8,519,4,57545,57525
11,541,4,73922,73926
13,543,4,90317,90307
15,529,4,106721,106708
18,508,4,123112,117056
20,473,4,127381,117043
23,461,4,127382,117050
25,450,5,127391,117046
28,438,5,127395,117046
30,422,5,127402,117050
33,418,5,127416,117052
35,413,5,127410,117054
37,412,5,127423,117056
40,413,5,127426,117062
43,416,5,127433,117063
46,417,5,127435,117072
48,416,5,127435,117063
51,415,5,127441,117070
53,415,5,127436,117070
55,415,5,127441,117080
58,417,5,127458,117075
60,421,5,127465,117083
63,429,5,127463,117079
65,430,5,127474,117079
68,430,5,127480,117088
70,431,5,127474,117080
73,433,5,127491,117083
75,433,5,127479,117084
77,436,5,127486,117089
80,439,5,127493,117100
82,443,5,127504,117093
86,446,6,127509,117090
88,445,6,127512,117087
91,445,6,127507,117097
93,446,6,127517,117093
95,445,5,127522,117101
98,448,6,127510,117102
100,452,6,127522,117112
103,456,6,127533,117110
105,459,6,127538,117101
108,458,6,127546,117107
110,457,6,127552,117117
113,457,6,127542,117110
115,457,6,127549,117103
117,457,6,127556,117112
120,464,6,127557,117114
122,468,6,127562,117120
125,469,6,127573,117119
128,468,6,127581,117116
131,467,6,127572,117122
133,466,6,127593,117125
135,466,6,127594,117131
138,468,6,127594,117129
140,472,6,127606,117131
143,475,6,127598,117132
145,478,6,127602,117129
148,477,6,127611,117137
150,476,6,127615,117130
153,476,6,127601,117125
155,475,6,127592,117124
157,477,6,127566,117115
160,480,6,127543,117102
162,484,6,127501,117057
165,486,6,127452,117055
167,485,6,127396,117033
171,484,6,127316,117004
173,482,6,127241,116975
175,481,6,127160,116936
178,482,6,127058,116902
180,486,6,126975,116869
183,492,6,126893,116842
185,492,6,126813,116813
188,490,6,126713,116774
190,489,7,126631,116742
193,488,6,126531,116697
195,486,6,126474,116692
197,488,6,126408,116669
200,492,6,126340,116639
202,496,6,126266,116616
205,497,6,126203,116595
207,495,6,126152,116578
210,494,7,126112,116553
212,492,7,126056,116541
215,490,7,126056,116525
218,491,7,125983,116522
220,497,7,125948,116505
223,499,7,125924,116496
225,499,7,125895,116484
228,498,7,125869,116480
230,495,7,125862,116481
233,494,7,125862,116471
235,492,7,125834,116470
237,493,7,125826,116470
240,499,7,125825,116468
242,502,7,125826,116468
245,501,7,125826,116472
247,499,7,125833,116462
250,498,7,125840,116462
252,496,7,125852,116473
254,495,7,125858,116478
258,497,7,125872,116487
260,500,7,125872,116491
263,503,7,125912,116498
265,502,7,125925,116504
268,500,7,125925,116513
270,498,7,125970,116524
273,498,7,125999,116524
275,495,7,126030,116558
277,496,7,126030,116549
280,499,7,126087,116561
282,501,7,126106,116561
285,503,7,126144,116569
287,504,7,126165,116592
290,503,7,126199,116614
292,500,7,126199,116619
294,498,7,126236,116628
297,500,7,126283,116636
300,502,7,126311,116636
303,508,7,126341,116653
305,508,7,126341,116665
308,506,7,126362,116674
310,505,7,126415,116674
313,503,7,126443,116684
315,501,7,126459,116695
317,503,7,126459,116708
320,507,7,126495,116706
322,509,7,126508,116706
325,511,7,126528,116718
327,509,7,126528,116723
330,507,7,126540,116725
332,506,7,126562,116725
334,505,7,126579,116731
337,506,7,126593,116734
339,510,7,126593,116746
343,512,7,126616,116746
345,513,7,126635,116746
348,511,7,126639,116760
350,508,7,126639,116759
353,506,7,126647,116766
355,504,7,126675,116766
357,504,7,126692,116767
360,509,7,126708,116781
362,511,7,126719,116781
365,511,7,126719,116789
367,509,7,126731,116800
370,508,7,126764,116800
372,506,7,126764,116804
374,505,7,126782,116806
377,506,7,126804,116806
379,508,7,126788,116821
382,513,7,126831,116820
385,514,7,126841,116820
388,512,7,126841,116837
390,510,7,126858,116839
393,508,7,126860,116839
395,506,7,126860,116842
397,507,7,126881,116852
400,510,7,126891,116852
402,512,7,126903,116853
405,514,7,126903,116862
407,511,7,126899,116856
410,510,7,126916,116856
412,509,7,126917,116853
414,505,7,126917,116857
417,506,7,126913,116857
419,509,7,126920,116860
422,513,7,126920,116858
424,513,7,126911,116855
428,512,7,126909,116855
430,509,7,126900,116858
433,505,7,126900,116853
435,503,7,126901,116848
437,504,7,126890,116848
440,507,7,126895,116849
442,510,7,126878,116854
445,512,7,126878,116837
447,509,7,126876,116836
450,507,7,126854,116836
452,506,7,126847,116837
454,505,7,126847,116826
457,509,7,126845,116827
459,512,7,126828,116827
462,515,7,126828,116826
464,518,7,126815,116826
467,516,7,126815,116821
470,508,7,126805,116822
473,504,7,126802,116819
475,499,7,126804,116819
477,498,7,126804,116821
480,500,7,126801,116814
482,503,7,126798,116814
485,503,7,126787,116815
487,501,7,126794,116811
490,499,7,126787,116812
492,498,7,126798,116818
494,496,7,126793,116823
497,494,7,126798,116820
499,499,7,126798,116823
502,499,7,126803,116825
504,500,7,126818,116820
507,498,7,126823,116825
509,498,7,126829,116826
513,498,7,126836,116829
515,498,7,126840,116837
517,498,7,126857,116838
520,502,7,126860,116848
522,508,7,126868,116853
525,509,7,126870,116860
527,508,7,126885,116853
530,507,7,126890,116860
532,505,7,126902,116861
534,503,7,126912,116860
537,504,7,126923,116870
539,507,7,126935,116869
542,510,7,126938,116871
544,511,7,126952,116877
547,510,7,126967,116879
549,506,7,126976,116881
552,505,7,126985,116899
555,503,7,126992,116888
557,503,7,127001,116893
560,508,7,127006,116909
562,511,7,127019,116908
565,512,7,127035,116905
567,511,7,127050,116909
570,509,7,127062,116915
572,508,7,127076,116925
574,506,7,127081,116926
577,507,7,127091,116928
579,509,7,127101,116936
582,511,7,127106,116931
584,513,7,127129,116939
587,512,7,127136,116949
589,509,7,127144,116952
