TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
195253,499,850,126404,121242
195255,499,850,126397,121245
195258,499,850,126394,121245
195260,498,850,126400,121237
195253,499,850,126404,121242
195255,499,850,126397,121245
195258,499,850,126394,121245
195260,498,850,126400,121237
6,509,238,0,0
8,508,230,57534,57531
11,508,226,73872,73885
13,508,223,90325,90334
15,508,219,106700,106684
18,508,216,123058,121145
20,509,209,126184,121139
23,509,207,126188,121144
25,510,204,126188,121147
28,509,201,126185,121147
30,510,195,126184,121144
33,511,192,126188,121148
35,511,189,126195,121149
37,511,186,126184,121146
40,511,184,126189,121147
43,511,178,126183,121147
46,511,176,126192,121150
48,510,174,126198,121148
51,510,171,126195,121154
53,510,166,126209,121151
55,510,164,126211,121149
58,510,162,126204,121149
60,511,160,126219,121158
63,512,158,126225,121157
65,511,155,126225,121164
68,511,153,126229,121159
70,510,151,126233,121165
73,509,149,126233,121157
75,509,147,126243,121164
77,510,145,126246,121168
80,511,143,126258,121175
82,511,140,126262,121169
86,511,138,126260,121179
88,511,136,126265,121181
91,511,135,126282,121173
93,510,132,126279,121178
95,509,130,126279,121176
98,508,129,126280,121169
100,508,127,126286,121175
103,507,126,126298,121181
105,505,123,126295,121180
108,505,122,126298,121185
110,505,120,126295,121183
113,505,119,126305,121184
115,506,118,126302,121182
117,505,116,126306,121190
120,505,115,126310,121186
122,504,113,126314,121183
125,505,112,126310,121187
128,505,111,126321,121185
131,505,109,126320,121190
133,505,108,126326,121186
135,504,107,126325,121188
138,504,105,126318,121186
140,503,105,126320,121185
143,503,104,126316,121184
145,503,102,126318,121187
148,503,101,126323,121177
150,503,101,126317,121181
153,502,102,126328,121182
155,501,105,126320,121180
157,501,106,126330,121189
160,501,109,126320,121188
162,501,111,126322,121188
165,501,114,126321,121193
167,502,118,126313,121184
171,503,119,126326,121178
173,507,122,126327,121188
175,510,126,126321,121187
178,511,130,126323,121182
180,512,135,126325,121166
183,512,143,126325,121193
185,512,147,126330,121190
188,513,150,126325,121193
190,514,151,126331,121188
193,517,155,126325,121187
195,519,162,126327,121190
197,518,164,126338,121195
200,518,165,126338,121188
202,518,164,126337,121194
205,516,164,126335,121193
207,513,161,126344,121198
210,511,160,126336,121195
212,509,159,126342,121194
215,508,156,126356,121197
218,507,152,126349,121195
220,506,150,126347,121195
223,504,149,126351,121199
225,500,146,126348,121190
228,499,145,126356,121197
230,496,141,126360,121194
233,496,139,126367,121199
235,495,138,126366,121200
237,495,136,126363,121197
240,494,134,126366,121207
242,495,131,126367,121200
245,494,130,126367,121207
247,494,128,126371,121208
250,494,126,126365,121208
252,493,124,126375,121210
254,493,123,126372,121199
258,494,120,126368,121203
260,495,119,126368,121206
263,494,118,126375,121206
265,495,116,126369,121202
268,494,115,126369,121188
270,494,113,126378,121191
273,495,112,126375,121191
275,495,111,126390,121205
277,495,109,126378,121196
280,495,108,126387,121201
282,495,107,126387,121200
285,496,105,126389,121200
287,496,104,126372,121198
290,497,103,126372,121204
292,497,102,126381,121208
294,496,101,126394,121208
297,493,101,126395,121205
300,491,99,126395,121204
303,489,98,126398,121204
305,489,97,126402,121204
308,490,97,126407,121212
310,493,95,126411,121204
313,496,95,126406,121217
315,510,94,126413,121217
317,520,93,126408,121217
320,559,93,126406,121216
322,580,91,126406,121222
325,609,91,126408,121211
327,626,90,126405,121211
330,640,89,126414,121212
332,650,88,126407,121211
334,650,88,126407,121209
337,640,87,126411,121214
339,623,87,126411,121214
343,598,86,126408,121214
345,550,85,126408,121207
348,520,85,126408,121214
350,500,84,126408,121214
353,481,84,126421,121212
355,456,83,126416,121212
357,448,83,126416,121210
360,443,82,126412,121213
362,444,82,126414,121213
365,447,81,126425,121211
367,461,80,126425,121213
370,469,80,126425,121214
372,473,80,126424,121214
374,476,79,126434,121217
377,480,79,126433,121213
379,481,78,126433,121213
382,483,78,126433,121216
385,485,77,126433,121219
388,486,77,126427,121219
390,487,77,126427,121212
393,488,76,126432,121215
395,489,76,126434,121215
397,489,76,126436,121217
400,489,75,126435,121221
402,490,75,126435,121221
405,490,74,126435,121218
407,491,74,126437,121214
410,491,74,126427,121214
412,492,74,126427,121213
414,494,73,126420,121210
417,495,73,126435,121210
419,495,73,126437,121208
422,496,73,126437,121204
424,496,73,126432,121204
428,497,72,126432,121203
430,498,72,126426,121202
433,498,72,126425,121202
435,499,72,126425,121207
437,500,71,126431,121195
440,500,71,126424,121214
442,501,71,126424,121204
445,501,71,126428,121208
447,501,70,126425,121206
450,502,70,126434,121206
452,502,70,126430,121203
454,503,70,126430,121206
457,504,70,126428,121206
459,504,69,126432,121207
462,504,69,126432,121214
464,505,69,126435,121212
467,505,69,126437,121212
470,506,69,126433,121211
473,506,69,126433,121206
475,505,69,126439,121217
477,505,68,126436,121217
480,505,68,126432,121219
482,506,68,126436,121223
485,506,68,126433,121215
487,507,68,126432,121218
490,508,68,126423,121214
492,508,68,126419,121219
494,508,68,126419,121216
497,509,67,126417,121219
499,509,68,126407,121219
502,509,67,126414,121218
504,509,67,126399,121216
507,508,67,126401,121221
509,508,67,126388,121223
513,507,67,126376,121218
515,507,67,126372,121221
517,508,67,126372,121220
520,508,66,126362,121220
522,508,66,126353,121209
525,507,66,126352,121213
527,507,66,126334,121202
530,507,66,126325,121204
532,507,66,126322,121207
534,507,66,126300,121197
537,506,66,126297,121206
539,506,66,126281,121199
542,506,66,126287,121192
544,507,66,126265,121193
547,507,66,126265,121189
549,508,66,126259,121181
552,508,66,126254,121177
555,508,66,126241,121174
557,508,65,126245,121173
560,508,65,126227,121176
562,508,65,126213,121165
565,509,65,126217,121162
567,510,66,126204,121159
570,510,65,126182,121159
572,510,65,126191,121152
574,509,65,126176,121142
577,510,65,126174,121132
579,511,65,126166,121133
582,511,65,126158,121134
584,511,65,126148,121130
587,510,65,126139,121117
589,509,65,126129,121115
592,508,65,126119,121115
594,508,65,126112,121097
596,507,65,126111,121105
600,507,65,126099,121095
602,506,65,126096,121092
605,506,65,126094,121087
607,505,65,126085,121082
610,506,65,126081,121091
612,506,65,126073,121079
614,506,65,126061,121071
617,505,64,126057,121069
619,505,65,126049,121073
622,504,65,126041,121063
624,503,65,126040,121058
627,503,64,126039,121056
629,502,65,126035,121057
632,502,64,126018,121059
634,502,65,126013,121059
636,502,65,126019,121062
640,503,64,126012,121056
642,504,64,126008,121053
645,504,64,126007,121053
647,504,64,126002,121060
650,504,64,126000,121056
652,504,64,126004,121062
654,504,64,126002,121057
657,504,64,126002,121064
659,505,64,126005,121062
662,505,64,126001,121057
664,506,64,126003,121060
667,506,64,126001,121062
669,507,64,126001,121064
672,508,64,126011,121060
674,507,64,126014,121060
676,507,64,126024,121069
679,507,64,126022,121076
681,508,64,126021,121077
685,508,64,126032,121077
687,509,64,126035,121080
690,510,64,126035,121074
692,509,65,126044,121079
694,509,64,126044,121077
697,508,64,126041,121080
699,508,64,126061,121085
702,509,64,126054,121082
704,509,64,126057,121078
707,509,64,126059,121082
709,509,65,126061,121082
712,509,64,126066,121086
714,509,64,126069,121084
716,509,64,126063,121079
719,509,64,126069,121082
721,509,64,126088,121081
724,509,65,126083,121091
727,509,65,126088,121080
730,508,64,126088,121084
732,508,64,126095,121088
734,508,64,126099,121093
737,507,64,126108,121089
739,507,64,126099,121089
742,508,65,126112,121087
744,508,65,126112,121089
747,507,64,126112,121091
749,506,64,126117,121098
752,506,64,126122,121098
754,506,64,126128,121101
756,506,65,126127,121097
759,506,65,126130,121091
761,506,64,126135,121099
764,506,65,126133,121104
766,505,65,126132,121097
770,505,65,126132,121103
772,505,65,126145,121105
774,505,65,126146,121105
777,504,65,126141,121109
779,504,65,126147,121103
782,504,65,126145,121101
784,503,65,126145,121105
787,503,65,126144,121099
789,504,65,126144,121100
792,504,65,126144,121098
794,503,66,126144,121099
796,504,66,126145,121099
799,503,66,126154,121106
801,503,68,126154,121107
804,503,72,126152,121098
806,501,76,126145,121098
809,500,79,126148,121104
812,500,83,126140,121103
814,500,87,126140,121104
817,499,100,126144,121099
819,498,108,126146,121099
822,496,117,126146,121099
824,496,122,126146,121095
827,499,121,126141,121107
829,502,119,126139,121107
832,505,118,126143,121106
834,509,117,126142,121099
836,511,115,126142,121107
839,513,114,126139,121099
841,515,113,126141,121099
844,517,112,126152,121099
846,519,110,126142,121102
849,519,110,126142,121103
851,519,108,126142,121096
854,520,107,126146,121106
857,521,106,126143,121095
859,521,105,126143,121095
862,523,104,126152,121103
864,523,103,126152,121105
867,524,102,126153,121107
869,523,101,126160,121107
872,521,100,126162,121107
874,515,99,126162,121104
876,512,98,126162,121110
879,509,97,126179,121114
881,508,97,126179,121119
884,506,96,126189,121112
886,505,95,126192,121112
889,502,94,126192,121110
891,502,94,126191,121110
893,500,93,126205,121127
897,498,92,126205,121131
899,498,91,126208,121128
902,498,91,126221,121128
904,498,91,126224,121131
907,498,90,126219,121132
909,496,89,126219,121131
912,495,89,126221,121131
914,496,88,126233,121131
916,496,88,126236,121137
919,496,87,126236,121141
921,497,87,126236,121136
924,497,86,126232,121136
926,497,86,126239,121146
929,497,85,126239,121147
931,497,85,126235,121147
933,497,84,126235,121142
936,498,84,126234,121150
939,498,83,126245,121150
942,499,83,126252,121152
944,499,83,126250,121155
947,499,82,126250,121149
949,500,81,126250,121143
952,500,81,126244,121143
954,501,81,126244,121152
956,501,80,126250,121152
959,501,80,126256,121152
961,499,80,126256,121144
964,497,80,126254,121155
966,495,79,126261,121151
969,494,79,126255,121151
971,493,78,126258,121147
973,493,78,126258,121155
976,494,78,126251,121155
978,497,78,126251,121147
982,511,77,126259,121147
984,527,77,126262,121155
987,544,76,126268,121155
989,563,76,126266,121158
992,588,76,126266,121147
994,612,76,126268,121155
996,641,75,126270,121153
999,647,75,126275,121159
1001,650,75,126275,121164
1004,641,75,126282,121162
1006,623,74,126279,121162
1009,598,74,126287,121162
1011,575,74,126281,121176
1013,548,74,126291,121165
1016,522,74,126290,121165
1018,484,73,126292,121162
1021,471,73,126293,121173
1024,459,73,126293,121174
1027,452,73,126300,121174
1029,444,72,126302,121164
1032,448,72,126312,121163
1034,454,72,126300,121173
1036,461,72,126303,121168
1039,468,72,126317,121174
1041,479,72,126309,121167
1044,482,71,126313,121164
1046,484,71,126312,121164
1049,486,71,126314,121172
1051,487,71,126314,121166
1053,489,71,126317,121167
1056,491,71,126326,121175
1058,492,70,126328,121173
1061,492,70,126317,121179
1063,493,70,126331,121175
1067,494,70,126331,121165
1069,495,70,126327,121173
1072,495,70,126333,121172
1074,496,70,126339,121173
1076,496,70,126335,121173
1079,497,70,126325,121177
1081,498,70,126330,121182
1084,499,70,126333,121175
1086,500,70,126339,121176
1089,501,69,126341,121183
1091,502,69,126346,121184
1093,503,69,126351,121183
1096,504,69,126343,121181
1098,504,69,126340,121179
1101,504,69,126346,121186
1103,504,69,126350,121186
1106,504,69,126350,121183
1108,504,69,126350,121189
1112,504,68,126340,121189
1114,504,68,126354,121186
1116,505,68,126361,121193
1119,506,68,126373,121196
1121,507,68,126370,121202
1124,507,68,126371,121193
1126,508,68,126361,121195
1129,508,68,126364,121200
1131,508,68,126363,121191
1133,508,68,126375,121194
1136,509,68,126374,121195
1138,508,67,126378,121200
1141,508,68,126383,121200
1143,508,68,126379,121200
1146,509,67,126388,121202
1148,510,67,126385,121198
1152,510,67,126384,121203
1154,510,67,126382,121201
1156,510,67,126389,121208
1159,510,67,126385,121208
1161,511,67,126385,121204
1164,511,67,126384,121197
1166,511,67,126387,121203
1169,512,67,126387,121193
1171,512,67,126387,121197
1173,511,67,126376,121201
1176,510,67,126368,121192
1178,510,67,126359,121196
1181,510,67,126359,121201
1183,510,67,126353,121195
1186,509,67,126345,121199
1188,509,66,126336,121198
1191,508,67,126329,121196
1193,508,67,126314,121200
1196,507,67,126316,121194
1199,506,66,126294,121188
1201,505,66,126282,121186
1204,505,66,126268,121184
1206,506,66,126265,121178
1209,506,66,126250,121178
1211,507,66,126237,121178
1213,507,66,126234,121180
1216,507,66,126216,121176
1218,507,66,126207,121162
1221,507,66,126192,121162
1223,507,66,126183,121149
1226,507,66,126180,121163
1228,508,66,126171,121155
1231,508,66,126165,121156
1233,509,66,126165,121152
1235,509,66,126146,121152
1239,509,66,126144,121144
1241,509,66,126139,121141
1244,509,66,126128,121134
1246,510,66,126135,121138
1249,510,66,126135,121140
1251,510,66,126110,121133
1253,511,66,126114,121133
1256,510,66,126106,121136
1258,511,66,126110,121123
1261,510,66,126111,121125
1263,510,66,126099,121120
1266,510,66,126097,121125
1268,509,66,126099,121121
1271,508,66,126099,121118
1273,507,66,126094,121127
1275,507,66,126094,121127
1278,505,66,126101,121117
1281,505,66,126098,121114
1284,504,66,126098,121110
1286,504,66,126085,121114
1289,505,66,126087,121114
1291,504,66,126084,121105
1293,504,66,126084,121107
1296,504,66,126081,121104
1298,504,66,126080,121104
1301,504,66,126085,121096
1303,504,66,126078,121097
1306,503,66,126078,121098
1308,503,66,126081,121093
1311,503,66,126075,121093
1313,503,66,126077,121092
1315,503,66,126077,121090
1318,504,66,126072,121098
1320,505,66,126078,121098
1324,505,66,126084,121097
1326,505,66,126083,121088
1329,505,66,126073,121097
1331,505,66,126073,121090
1333,506,66,126086,121101
1336,507,66,126087,121089
1338,507,66,126088,121089
1341,507,66,126091,121101
1343,507,66,126091,121101
1346,507,66,126098,121099
1348,507,66,126094,121099
1351,508,66,126100,121105
1353,509,66,126100,121100
1355,509,66,126099,121104
1358,510,66,126104,121105
1360,510,66,126104,121108
1363,510,66,126109,121109
1366,511,66,126118,121109
1369,511,66,126126,121111
1371,511,66,126126,121111
1373,511,66,126124,121119
1631,495,65,126300,121161
1633,497,66,126292,121153
1635,501,65,126305,121156
1638,516,65,126301,121160
1640,530,65,126310,121163
1631,495,65,126300,121161
1633,497,66,126292,121153
1635,501,65,126305,121156
1638,516,65,126301,121160
1640,530,65,126310,121163
1643,543,66,126320,121166
1645,566,65,126321,121164
1648,599,65,126315,121170
1650,634,66,126328,121169
1652,644,66,126320,121175
1655,650,66,126319,121173
1657,652,66,126330,121168
1660,647,66,126323,121169
1662,618,66,126321,121170
1666,596,66,126329,121163
1668,569,65,126330,121175
1671,542,66,126326,121166
1673,498,66,126333,121169
1675,483,66,126338,121174
1678,471,66,126343,121172
1680,458,66,126337,121162
1683,448,65,126328,121170
1685,447,66,126335,121165
1688,450,66,126332,121174
1690,462,65,126333,121165
1692,469,65,126343,121172
1695,475,65,126339,121182
1697,480,66,126341,121177
1700,485,66,126339,121170
1702,487,65,126341,121172
1705,488,66,126350,121171
1708,489,66,126351,121183
1711,491,65,126347,121179
1713,492,65,126345,121181
1715,492,65,126348,121180
1718,492,66,126348,121180
1720,493,65,126348,121177
1723,493,65,126352,121180
1725,494,65,126359,121182
1728,494,65,126352,121183
1730,496,66,126352,121180
1732,496,65,126352,121184
1735,496,65,126354,121186
1737,497,66,126352,121183
1740,497,66,126362,121185
1742,498,65,126355,121182
1745,499,65,126360,121182
1747,499,65,126370,121194
1751,500,65,126362,121188
1753,500,65,126374,121186
1755,500,66,126362,121186
1758,500,66,126359,121183
1760,501,66,126360,121177
1763,501,65,126360,121176
1765,502,65,126362,121177
1768,503,65,126367,121177
1770,504,65,126361,121189
1772,504,65,126372,121179
1775,505,65,126366,121182
1777,505,66,126366,121176
1780,505,65,126364,121184
1782,505,66,126378,121190
1785,505,66,126378,121183
1787,505,66,126379,121196
1790,506,65,126381,121196
1793,507,65,126382,121191
1795,508,65,126384,121194
1798,508,65,126394,121188
1800,508,66,126394,121192
1803,508,66,126382,121194
1805,509,65,126396,121198
1808,508,66,126396,121195
1810,508,66,126398,121191
1812,508,66,126397,121191
1815,508,66,126401,121189
1817,508,65,126401,121196
1820,508,65,126396,121195
1822,509,65,126394,121195
1825,510,66,126394,121190
1827,510,65,126383,121183
1830,511,66,126380,121190
1832,510,65,126376,121185
1835,510,66,126371,121185
1838,509,65,126365,121185
1840,508,66,126365,121185
1843,508,65,126365,121181
1845,508,65,126345,121181
1848,507,65,126340,121179
1850,508,65,126328,121165
1852,507,65,126328,121170
1855,507,65,126312,121165
1857,507,65,126300,121165
