,feat_nn20,feat_nn50,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20,peak vlf,peak lf,peak hf,norm power lf,norm power hf,power ratio,total power
S201,8.0,5.0,0.23011656464936658,82.17038779437051,174.3368999874978,0.4166666666666667,0.6666666666666666,0.0390625,0.1259765625,0.150390625,58.79469181812503,41.20530818187497,1.4268717893969578,1482.7744249226555
S211,8.0,2.0,0.1624771259577275,80.34901810571007,120.34119706308029,0.16666666666666666,0.6666666666666666,0.0390625,0.1494140625,0.2587890625,10.963005482088588,89.03699451791141,0.12312865614397149,383.3487261697965
S221,7.0,4.0,0.07425275096192677,74.01038867381527,59.81416800288659,0.36363636363636365,0.6363636363636364,0.0390625,0.1494140625,0.2216796875,20.10061551610002,79.89938448389998,0.25157409717155416,606.3336874425676
S301,6.0,4.0,0.06349554944553859,51.04780993237485,74.73735770283508,0.5,0.75,0.0009765625,0.0400390625,0.3720703125,19.095955188508597,80.90404481149139,0.23603214441259013,765.822360009888
S311,5.0,4.0,0.11309337685918386,50.169851560514175,135.69142050746495,0.5,0.625,0.0009765625,0.0400390625,0.3681640625,24.66042496871266,75.33957503128732,0.32732365371680927,627.1942315687817
S321,7.0,6.0,0.22931272697694624,58.30078450114969,235.28525620130642,0.6666666666666666,0.7777777777777778,0.0390625,0.1494140625,0.31640625,10.37667157918053,89.62332842081946,0.11578092179814685,3207.3954166683084
S401,7.0,6.0,0.2450349513794869,60.60980750358426,246.13951732664927,0.6666666666666666,0.7777777777777778,0.0390625,0.138671875,0.150390625,47.428589189417494,52.57141081058252,0.9021745556782778,1076.8006766641524
S411,9.0,4.0,0.25365293140265516,72.41357466054983,223.33993289061155,0.4,0.9,0.0390625,0.1005859375,0.150390625,49.440407288676106,50.55959271132389,0.9778640340511068,2945.6704094111865
S421,8.0,4.0,0.08650408308570474,70.78862312986854,66.97181862392499,0.36363636363636365,0.7272727272727273,0.0390625,0.1435546875,0.150390625,28.311891010724455,71.68810898927553,0.3949314804071605,675.5672030372876
S501,5.0,2.0,0.050818584354660926,62.75837363477896,43.48938411396825,0.2222222222222222,0.5555555555555556,0.0390625,0.1494140625,0.1669921875,31.301053243622185,68.69894675637781,0.45562639198273125,743.8463301786093
