TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,521,4,0,57568
8,527,4,57567,57568
11,516,4,73926,73922
13,486,4,90312,90295
16,457,4,106703,106718
18,420,4,123070,116572
20,393,4,138080,116564
23,373,4,137890,116562
25,354,4,137911,116568
28,350,4,137894,116560
30,347,5,137894,116569
33,346,5,137891,116558
35,348,5,137894,116560
38,350,5,137894,116557
40,352,5,137884,116554
43,355,5,137886,116548
46,360,5,137888,116552
48,363,5,137872,116544
51,366,5,137840,116542
53,370,5,137835,116530
56,373,5,137811,116518
58,379,5,137778,116499
60,383,5,137743,116489
63,387,5,137689,116456
65,391,5,137635,116431
68,394,5,137565,116411
70,400,5,137480,116380
73,403,5,137405,116344
75,406,5,137306,116299
78,409,5,137200,116261
80,414,5,137100,116222
82,416,5,136980,116182
86,418,5,136865,116135
88,421,5,136754,116099
91,425,5,136646,116052
93,428,5,136535,116024
96,431,5,136451,115986
98,434,6,136365,115957
100,435,6,136298,115935
103,437,6,136243,115913
105,438,6,136186,115893
108,439,6,136128,115874
110,441,6,136095,115861
113,443,6,136063,115847
115,444,6,136029,115832
118,445,6,135993,115815
120,448,6,135965,115811
122,448,6,135935,115803
125,449,6,135917,115783
128,451,6,135896,115779
131,453,6,135867,115767
133,455,6,135841,115760
136,455,6,135825,115747
138,457,6,135806,115744
140,457,6,135791,115751
143,459,6,135781,115732
145,460,6,135778,115725
148,462,6,135758,115720
150,463,6,135752,115714
153,465,6,135739,115714
155,468,6,135739,115708
158,469,6,135729,115700
160,471,6,135722,115709
162,472,6,135717,115694
165,474,6,135719,115690
167,475,6,135722,115709
171,478,6,135722,115699
173,480,6,135719,115710
176,482,6,135725,115708
178,482,6,135729,115703
180,485,6,135725,115701
183,489,6,135741,115701
185,489,6,135743,115723
188,490,6,135757,115720
190,493,6,135765,115722
193,493,6,135773,115730
195,492,6,135790,115729
198,493,6,135795,115715
200,493,6,135806,115718
202,494,6,135825,115745
205,494,7,135832,115748
207,495,6,135854,115757
210,496,6,135862,115762
212,497,7,135881,115769
216,498,6,135890,115777
218,502,7,135905,115779
220,503,7,135938,115765
223,502,7,135945,115775
225,503,7,135953,115781
228,504,7,135970,115786
230,505,7,135997,115807
233,505,7,136009,115818
235,506,7,136029,115817
238,506,7,136042,115829
240,507,7,136060,115840
242,510,7,136072,115845
245,511,7,136099,115844
247,511,7,136105,115857
250,510,7,136117,115867
252,510,7,136147,115868
256,512,7,136147,115872
258,516,7,136169,115872
260,517,7,136192,115872
263,519,7,136218,115885
265,518,7,136226,115890
268,519,7,136242,115919
270,521,7,136258,115912
273,521,7,136280,115909
275,521,7,136293,115923
278,521,7,136314,115924
280,520,7,136329,115931
282,519,7,136329,115940
285,520,7,136368,115949
287,520,7,136388,115951
290,518,7,136388,115979
292,519,7,136431,115963
295,520,7,136448,115963
297,520,7,136465,115996
300,520,7,136465,115986
303,521,7,136492,115994
305,520,7,136510,115994
308,521,7,136532,116005
310,520,7,136538,116004
313,520,7,136538,116011
315,521,7,136559,116013
318,521,7,136566,116013
320,521,7,136570,116025
322,519,7,136570,116025
325,520,7,136573,116020
327,521,7,136571,116020
330,522,7,136582,116016
332,522,7,136568,116015
335,521,7,136564,116025
337,521,7,136564,116015
339,522,7,136547,116010
