TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
117190,483,163,128073,117449
117192,483,163,128083,117459
117195,484,163,128087,117467
117197,485,163,128093,117468
117200,487,164,128101,117465
3,0,0,0,0
6,519,143,0,0
8,525,143,57545,57588
11,532,143,73935,73959
13,534,143,90311,90306
15,530,143,106720,106690
18,519,144,123096,117183
20,488,144,127366,117174
23,472,144,127378,117176
25,453,144,127403,117178
28,435,144,127407,117188
30,406,144,127429,117195
33,396,144,127440,117187
35,386,144,127431,117193
37,380,144,127459,117204
40,374,144,127468,117209
43,366,144,127478,117213
46,362,144,127483,117219
48,358,144,127491,117217
51,355,144,127505,117224
53,350,144,127516,117234
55,349,144,127528,117240
58,350,144,127555,117241
60,352,144,127572,117246
63,355,144,127585,117248
65,356,144,127598,117254
68,356,144,127614,117267
70,357,144,127614,117258
73,358,145,127636,117268
75,362,144,127639,117272
77,366,144,127648,117279
80,370,144,127662,117282
82,373,144,127673,117288
86,379,144,127681,117288
88,381,145,127691,117297
91,384,144,127695,117297
93,386,144,127700,117284
95,389,144,127703,117299
98,398,144,127694,117298
100,404,144,127699,117298
103,408,145,127708,117296
105,411,145,127711,117298
108,414,144,127705,117298
110,418,144,127710,117293
113,420,144,127697,117295
115,423,145,127692,117287
117,428,145,127696,117290
120,437,145,127673,117284
122,439,144,127682,117283
125,440,145,127674,117278
128,442,144,127669,117273
131,444,144,127655,117270
133,447,145,127644,117271
135,449,145,127640,117269
138,453,145,127629,117267
140,457,145,127632,117259
143,461,144,127613,117255
145,464,145,127610,117258
148,466,145,127607,117250
150,468,145,127593,117243
153,469,145,127584,117248
155,475,145,127574,117243
157,480,145,127573,117242
160,484,145,127564,117238
162,488,145,127560,117222
165,492,145,127556,117240
167,493,145,127556,117247
171,495,145,127545,117245
173,498,145,127539,117245
175,501,145,127543,117238
178,505,145,127541,117239
180,510,145,127538,117232
183,513,145,127536,117233
185,513,145,127546,117229
188,513,145,127547,117239
190,512,145,127549,117233
193,512,144,127535,117216
195,513,145,127535,117231
197,515,145,127539,117225
200,517,145,127547,117237
202,518,145,127543,117236
205,519,144,127549,117243
207,518,145,127559,117245
210,517,145,127567,117240
212,516,145,127578,117247
215,517,145,127578,117249
218,519,145,127598,117258
220,522,145,127608,117263
