TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
11295,516,143,119045,114821
11297,516,143,118988,114800
11299,516,143,118927,114777
11302,516,143,118880,114753
11304,515,143,118832,114735
6,517,140,0,0
8,519,140,57570,57542
11,519,140,73937,73960
13,517,140,90349,90330
15,516,141,106717,106700
18,514,141,119157,114743
20,514,141,119075,114702
23,513,141,118968,114682
25,513,141,118968,114634
28,512,141,118915,114634
30,512,142,118856,114615
33,511,142,118826,114603
35,511,142,118778,114589
37,510,142,118742,114566
40,510,142,118709,114554
43,510,142,118674,114538
46,509,142,118645,114527
48,507,143,118620,114512
51,506,143,118595,114512
53,503,143,118588,114505
55,503,143,118569,114505
58,502,143,118554,114493
60,502,143,118549,114493
63,501,143,118532,114492
65,501,143,118539,114488
68,501,143,118525,114485
70,501,144,118524,114481
73,500,144,118531,114487
75,499,144,118538,114485
77,498,144,118545,114485
80,497,144,118554,114492
82,498,144,118567,114502
86,498,144,118573,114511
88,498,144,118580,114504
91,498,144,118605,114514
93,498,144,118605,114523
95,497,144,118629,114533
98,496,145,118657,114538
100,495,145,118671,114546
103,495,145,118697,114553
105,496,145,118719,114564
108,496,145,118734,114576
110,497,145,118754,114587
113,496,145,118781,114595
115,497,145,118791,114603
117,498,145,118814,114615
120,499,145,118843,114614
122,501,145,118872,114628
125,502,145,118884,114638
128,502,145,118908,114641
131,501,145,118937,114655
133,499,145,118954,114665
135,499,145,118979,114675
138,499,145,119002,114682
140,500,145,119025,114691
143,501,145,119044,114705
145,501,146,119059,114718
148,501,146,119085,114715
150,501,146,119115,114727
153,502,146,119134,114734
155,502,146,119150,114738
157,503,146,119174,114759
160,503,146,119197,114766
162,504,146,119220,114777
165,504,146,119236,114782
167,505,146,119254,114791
171,505,146,119277,114795
173,506,146,119300,114808
175,507,146,119320,114812
178,506,146,119338,114826
180,507,146,119365,114835
183,507,146,119388,114842
185,507,146,119414,114851
188,508,146,119430,114863
190,508,146,119462,114873
193,508,146,119482,114880
195,508,146,119499,114887
197,508,146,119519,114894
200,507,146,119547,114903
202,507,146,119567,114909
205,507,146,119584,114922
207,507,146,119613,114927
210,507,146,119627,114935
212,508,146,119646,114946
215,508,146,119673,114951
218,509,146,119677,114959
220,510,146,119690,114955
223,510,146,119708,114957
225,510,147,119718,114956
228,509,147,119725,114962
230,508,146,119744,114978
233,508,146,119744,114972
235,508,147,119762,114980
237,508,147,119767,114980
240,508,147,119770,114978
242,508,146,119772,114978
245,507,147,119772,114979
247,507,147,119779,114977
250,507,146,119775,114977
252,508,147,119777,114982
254,508,147,119766,114972
258,506,147,119763,114966
260,505,147,119763,114959
263,504,147,119736,114958
265,505,147,119735,114948
268,505,147,119735,114951
270,505,147,119714,114935
273,505,147,119711,114935
275,505,147,119701,114934
277,506,147,119692,114925
280,506,147,119684,114925
282,506,147,119684,114923
285,506,147,119659,114915
287,505,147,119648,114903
290,505,147,119648,114904
292,504,147,119638,114901
294,505,147,119629,114901
297,505,147,119625,114899
300,504,147,119625,114895
303,504,147,119605,114891
305,505,147,119606,114891
308,505,147,119607,114893
310,507,147,119598,114885
313,507,147,119594,114892
315,507,147,119588,114889
317,506,147,119586,114889
320,506,147,119587,114879
322,507,147,119587,114886
325,507,147,119599,114889
327,508,147,119584,114889
330,507,147,119595,114884
332,507,147,119595,114880
334,506,147,119591,114887
337,506,147,119600,114887
339,506,147,119608,114889
343,506,147,119616,114894
345,505,147,119616,114897
348,505,147,119624,114900
350,505,147,119641,114900
353,505,147,119654,114913
355,505,147,119654,114913
357,506,147,119667,114920
360,506,147,119689,114920
362,507,147,119700,114924
365,507,147,119710,114940
367,509,147,119710,114942
370,508,147,119736,114950
372,507,147,119751,114950
374,506,147,119777,114955
377,505,147,119785,114963
379,505,147,119797,114963
382,506,147,119797,114979
385,507,147,119813,114984
388,508,147,119850,114984
390,509,147,119850,115000
393,509,147,119871,115012
395,509,147,119901,115012
397,510,147,119928,115018
400,510,147,119928,115033
402,511,147,119951,115040
405,511,147,119983,115040
407,511,147,120016,115052
410,511,147,120016,115070
412,511,147,120057,115070
414,511,147,120076,115080
417,512,147,120076,115102
419,514,147,120106,115111
422,515,147,120151,115111
424,516,147,120172,115122
428,518,147,120172,115143
430,519,147,120206,115148
433,519,147,120221,115148
435,519,147,120279,115162
437,518,147,120305,115179
440,518,147,120305,115195
442,516,147,120330,115207
445,515,147,120370,115207
447,513,147,120390,115212
450,512,147,120390,115231
452,510,147,120419,115243
454,510,147,120446,115243
457,509,147,120494,115252
459,509,147,120516,115263
462,509,147,120516,115286
464,509,147,120545,115286
467,509,147,120581,115286
470,508,147,120600,115297
473,507,147,120600,115314
475,504,147,120633,115318
477,504,147,120640,115318
480,503,147,120659,115323
482,503,147,120680,115332
485,503,147,120704,115339
487,502,147,120721,115353
490,501,147,120751,115353
492,500,147,120762,115360
494,499,147,120762,115368
497,498,147,120781,115368
499,497,147,120784,115372
502,497,147,120818,115380
504,499,147,120836,115389
507,500,147,120853,115395
509,500,147,120856,115401
513,500,147,120870,115399
515,500,147,120890,115409
517,499,147,120895,115416
520,498,147,120910,115427
522,497,147,120942,115431
525,493,147,120958,115441
527,479,147,120987,115452
530,470,147,120996,115458
532,460,147,121001,115464
534,452,147,121024,115475
537,444,147,121050,115473
539,439,147,121059,115482
542,438,147,121082,115497
544,449,147,121095,115495
547,464,147,121108,115504
549,482,147,121141,115506
552,513,147,121156,115522
555,597,147,121171,115525
557,646,147,121188,115532
560,685,147,121198,115542
