TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,505,82,0,0
8,504,83,57519,57579
11,504,83,73880,73955
13,503,83,90304,90316
15,503,83,106696,106709
18,504,83,123083,120057
20,505,84,127473,120060
23,505,84,127479,120056
25,505,84,127479,120055
28,505,84,127477,120055
30,506,84,127477,120060
33,507,85,127479,120054
35,508,85,127479,120055
37,508,85,127480,120054
40,509,85,127485,120053
43,511,86,127479,120055
46,511,86,127477,120055
48,511,86,127480,120050
51,511,86,127473,120061
53,511,86,127483,120057
55,510,86,127484,120051
58,510,86,127464,120047
60,510,86,127467,120050
63,511,87,127454,120047
65,511,87,127451,120039
68,511,87,127436,120033
70,509,87,127414,120027
73,509,87,127401,120027
75,509,87,127384,120015
77,509,88,127351,120004
80,509,88,127331,119993
82,508,88,127307,119976
86,508,88,127281,119969
88,508,88,127249,119951
91,507,88,127218,119937
93,507,88,127183,119922
95,506,88,127145,119911
98,506,88,127116,119887
100,506,89,127086,119879
103,506,89,127053,119856
105,506,89,127025,119839
108,507,89,126994,119839
110,508,89,126964,119821
113,509,89,126952,119812
115,510,89,126923,119802
117,511,89,126898,119795
120,511,89,126884,119786
122,512,89,126866,119777
125,513,89,126848,119775
128,513,89,126837,119772
131,513,89,126833,119768
133,513,89,126824,119768
135,514,89,126811,119766
138,514,90,126804,119764
140,514,89,126807,119757
143,515,89,126799,119758
145,516,90,126787,119757
148,516,90,126792,119751
150,515,90,126796,119749
153,514,90,126784,119755
155,514,90,126778,119753
157,514,90,126787,119750
160,514,90,126786,119744
162,514,90,126789,119757
165,514,90,126782,119749
167,513,90,126782,119738
171,513,90,126793,119745
173,513,90,126792,119744
175,512,90,126781,119741
178,511,90,126783,119743
180,511,90,126794,119739
183,511,90,126787,119746
185,512,90,126784,119742
188,512,90,126786,119735
190,510,90,126792,119734
193,510,90,126803,119744
195,509,90,126801,119740
197,509,90,126806,119742
200,509,90,126809,119741
202,509,90,126814,119748
205,510,90,126823,119746
207,510,90,126818,119742
210,511,90,126812,119747
212,512,90,126833,119753
215,513,90,126829,119753
218,512,89,126833,119761
220,513,90,126838,119751
223,513,90,126847,119757
225,513,89,126842,119750
228,513,90,126845,119755
230,513,89,126858,119769
233,513,90,126862,119766
235,513,90,126863,119766
237,513,90,126871,119766
240,513,89,126878,119773
242,514,89,126888,119772
245,514,89,126888,119782
247,514,89,126892,119790
250,514,89,126903,119790
