TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
4,0,0,0,0
6,509,145,0,57618
9,511,144,73923,57618
11,511,143,73923,73901
13,512,143,90293,106704
16,512,143,106631,123127
18,512,142,123085,123127
21,511,142,132857,124795
23,511,142,132659,124796
26,510,141,132659,124797
28,510,141,132660,124792
31,510,141,132658,124792
33,510,140,132658,124799
35,509,140,132666,124794
38,508,139,132686,124802
40,508,139,132673,124797
44,508,139,132687,124804
46,508,138,132680,124799
49,509,138,132701,124800
51,511,138,132683,124810
53,514,137,132700,124810
56,516,137,132688,124807
58,517,137,132699,124806
61,518,136,132720,124813
63,519,136,132720,124816
66,519,136,132721,124815
68,519,135,132725,124816
71,519,135,132734,124822
73,518,135,132738,124819
75,517,135,132734,124818
78,516,134,132733,124828
80,516,134,132749,124820
83,514,134,132758,124821
86,512,134,132769,124830
89,509,134,132767,124834
91,508,133,132771,124827
93,507,133,132780,124826
96,505,133,132780,124840
98,504,133,132804,124844
101,503,132,132798,124838
103,503,132,132803,124841
106,502,132,132804,124845
108,502,132,132823,124838
111,501,132,132822,124844
113,501,132,132838,124852
115,502,132,132834,124856
118,502,132,132844,124857
120,502,131,132846,124861
123,503,131,132859,124870
125,503,131,132855,124863
129,502,131,132865,124865
131,502,131,132883,124866
133,502,131,132886,124872
136,502,131,132891,124880
138,502,131,132894,124874
141,502,130,132891,124885
143,503,130,132908,124883
146,503,130,132900,124890
148,503,130,132912,124885
151,503,130,132920,124886
153,502,130,132935,124887
155,499,130,132929,124891
158,493,130,132950,124892
160,478,129,132945,124904
163,468,129,132959,124894
165,453,129,132957,124903
168,437,129,132961,124903
171,410,129,132958,124890
173,396,129,132960,124907
176,388,129,132967,124909
178,386,129,132989,124910
181,393,128,132985,124913
183,426,128,132989,124918
186,458,129,132993,124903
188,505,129,133008,124920
191,555,128,133015,124925
193,608,129,132999,124922
195,654,128,133008,124930
198,679,128,133019,124931
200,702,128,133036,124929
203,698,129,133030,124915
205,686,128,133040,124941
208,665,129,133045,124945
210,656,129,133050,124941
212,645,129,133054,124952
216,617,128,133055,124916
218,602,128,133064,124959
221,582,129,133064,124950
223,557,129,133075,124951
226,537,129,133084,124951
228,506,129,133087,124959
231,496,129,133091,124958
233,486,128,133104,124959
235,478,128,133103,124967
238,470,128,133100,124949
240,467,128,133106,124961
243,468,128,133110,124959
245,470,128,133104,124965
248,473,128,133121,124965
250,477,128,133125,124975
252,479,128,133123,124970
256,480,128,133134,124975
258,480,128,133125,124977
261,481,128,133147,124976
263,482,128,133158,124978
266,482,128,133139,124981
268,482,128,133166,124980
271,483,128,133152,124980
273,484,128,133167,124987
275,484,128,133167,125000
278,485,128,133180,124987
280,485,128,133174,124987
283,485,128,133188,124990
285,486,128,133196,124993
288,486,128,133183,124996
290,486,128,133197,124998
292,487,128,133195,124998
295,489,128,133213,124998
297,489,128,133206,124996
301,490,128,133219,124996
303,490,128,133223,124996
306,490,128,133235,125006
308,491,128,133229,125019
311,492,128,133229,125021
313,492,128,133242,125016
315,493,128,133246,125016
318,494,128,133263,125036
320,494,128,133263,125024
323,493,128,133271,125030
325,494,128,133276,125030
328,494,128,133286,125034
330,494,129,133292,125036
332,495,128,133292,125045
335,495,128,133301,125046
337,496,129,133294,125052
340,497,129,133313,125049
343,497,129,133320,125049
346,498,129,133320,125049
348,498,129,133320,125058
351,498,129,133331,125054
353,499,129,133337,125060
355,500,129,133337,125067
358,500,129,133326,125058
360,499,129,133326,125048
363,499,129,133325,125044
365,499,129,133289,125044
368,500,129,133283,125037
370,501,129,133243,125014
372,502,129,133224,125014
375,501,129,133224,124983
377,502,129,133189,124977
380,502,129,133128,124961
