TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
17699,518,220,135603,121016
17702,519,220,135616,121014
17704,520,220,135616,121015
17707,520,221,135616,121016
17710,519,220,135611,121017
17702,519,220,135616,121014
17704,520,220,135616,121015
17707,520,221,135616,121016
17710,519,220,135611,121017
6,501,216,0,0
8,499,216,57531,57523
11,495,216,73897,73878
13,490,217,90290,90290
15,485,217,106662,106668
18,481,217,123083,121222
20,479,217,135927,121239
23,479,217,135750,121237
25,479,217,135750,121233
28,479,217,135743,121233
30,481,217,135741,121236
33,483,217,135750,121238
35,484,218,135751,121237
37,486,217,135747,121228
40,488,217,135752,121231
43,491,218,135743,121234
46,492,218,135744,121235
48,494,218,135746,121230
51,495,218,135755,121227
53,497,218,135747,121225
55,498,218,135747,121230
58,499,218,135742,121235
60,500,218,135740,121222
63,501,218,135747,121225
65,501,218,135749,121228
68,502,218,135741,121231
70,504,218,135741,121229
73,505,219,135740,121234
75,507,219,135740,121228
77,508,219,135739,121225
80,510,218,135740,121238
82,510,219,135739,121231
86,510,219,135746,121239
88,509,219,135745,121230
91,509,219,135749,121233
93,510,219,135734,121231
95,510,219,135735,121230
98,510,219,135734,121226
100,510,219,135735,121227
103,511,219,135742,121224
105,511,219,135733,121231
108,511,219,135728,121230
110,512,219,135719,121223
113,512,219,135715,121220
115,513,219,135715,121231
117,514,219,135703,121235
120,515,219,135707,121226
122,515,220,135711,121214
125,516,219,135684,121223
128,516,219,135684,121223
131,516,219,135693,121216
133,516,220,135691,121224
135,516,219,135674,121222
138,515,220,135678,121210
140,514,219,135671,121216
143,512,220,135666,121215
145,511,220,135664,121216
148,511,220,135662,121209
150,511,220,135667,121213
153,511,220,135657,121213
155,511,220,135650,121215
157,510,220,135655,121215
160,509,220,135647,121209
162,508,220,135641,121210
165,507,220,135645,121208
167,505,220,135639,121209
171,505,220,135647,121216
173,504,220,135648,121213
175,504,220,135634,121217
178,504,220,135645,121213
180,504,220,135638,121218
183,504,220,135640,121217
185,503,220,135648,121216
188,503,220,135640,121212
190,502,220,135633,121212
193,502,220,135646,121217
195,502,220,135652,121222
197,502,220,135653,121224
200,503,220,135644,121226
202,504,220,135645,121226
205,504,220,135649,121225
207,505,220,135656,121233
210,505,220,135658,121232
212,505,220,135671,121238
215,505,220,135655,121234
218,506,220,135655,121231
220,506,220,135664,121234
223,506,220,135666,121235
225,507,220,135673,121235
228,508,220,135668,121237
230,508,220,135673,121234
233,509,220,135668,121228
235,509,220,135672,121234
237,509,220,135674,121234
240,508,220,135671,121237
242,508,220,135679,121233
245,508,220,135679,121239
247,510,220,135678,121246
250,511,220,135690,121246
252,512,220,135695,121247
254,513,220,135696,121242
258,514,220,135693,121244
260,515,220,135695,121245
263,513,220,135697,121248
265,512,220,135697,121244
268,511,220,135694,121246
270,511,220,135702,121240
273,511,220,135702,121244
275,512,220,135700,121245
277,512,220,135696,121243
280,511,220,135706,121250
282,511,220,135711,121249
285,511,220,135712,121248
287,511,220,135698,121249
290,511,220,135698,121256
292,512,220,135715,121248
294,512,220,135715,121248
297,511,220,135717,121256
300,512,221,135721,121255
303,514,221,135718,121248
305,515,221,135718,121256
308,517,221,135712,121255
310,519,220,135721,121258
313,519,221,135721,121251
315,519,221,135725,121262
317,519,220,135720,121262
320,520,221,135732,121258
322,520,221,135732,121262
325,521,220,135733,121254
327,522,221,135728,121254
330,522,221,135729,121255
332,522,221,135734,121253
334,522,221,135734,121260
337,523,220,135727,121263
339,524,221,135728,121263
343,523,221,135736,121262
345,520,221,135736,121261
348,518,221,135730,121264
350,517,221,135734,121264
353,516,221,135738,121261
355,513,221,135733,121255
357,512,221,135733,121257
360,511,221,135725,121261
362,510,221,135724,121261
365,508,221,135738,121259
367,506,221,135738,121257
370,505,221,135737,121267
372,505,220,135729,121267
374,505,221,135735,121263
377,505,221,135729,121256
379,504,221,135730,121256
382,504,221,135726,121263
385,504,221,135726,121255
388,504,221,135739,121265
390,504,221,135727,121265
393,504,221,135730,121258
395,504,221,135730,121256
397,504,221,135728,121257
400,504,221,135720,121257
402,504,221,135726,121260
405,504,221,135728,121268
407,503,221,135728,121257
410,503,221,135721,121257
412,504,221,135727,121257
414,503,221,135732,121266
417,502,221,135732,121255
419,502,221,135727,121255
422,502,221,135725,121255
424,502,221,135739,121259
428,502,221,135739,121262
430,502,221,135736,121262
433,502,221,135729,121268
435,503,221,135729,121255
437,504,221,135730,121260
440,505,221,135733,121260
442,505,221,135742,121264
445,505,221,135742,121256
447,506,221,135742,121255
450,507,221,135729,121255
452,507,221,135738,121261
454,507,221,135737,121262
457,508,221,135737,121265
459,507,220,135735,121255
462,505,221,135734,121255
464,500,221,135739,121259
467,488,221,135739,121263
470,483,221,135738,121263
473,473,221,135738,121256
475,469,220,135737,121265
477,470,221,135743,121265
480,475,221,135742,121265
482,486,221,135748,121261
485,518,221,135748,121259
487,544,221,135745,121263
490,566,221,135741,121263
492,594,221,135741,121263
494,617,221,135741,121254
497,664,221,135737,121262
499,679,221,135749,121262
502,695,221,135746,121265
504,707,221,135752,121268
507,700,221,135752,121261
509,671,221,135753,121261
513,626,221,135751,121255
515,592,221,135751,121264
517,511,221,135757,121264
520,472,221,135756,121266
522,447,221,135754,121271
525,417,221,135754,121263
527,417,221,135760,121265
530,422,221,135751,121265
532,429,221,135757,121269
534,441,221,135766,121266
537,452,221,135760,121267
539,468,221,135762,121268
542,473,221,135764,121266
544,477,221,135764,121271
547,479,221,135769,121271
549,485,221,135761,121262
552,486,221,135786,121270
555,486,221,135759,121270
557,487,221,135765,121279
560,488,221,135767,121269
562,491,221,135770,121275
565,493,221,135781,121272
567,494,221,135776,121273
570,495,221,135773,121279
572,496,221,135762,121279
574,496,221,135767,121279
577,496,221,135777,121282
579,497,221,135778,121281
582,497,221,135781,121279
584,497,221,135784,121286
587,497,221,135793,121285
589,499,221,135791,121287
592,499,221,135789,121278
594,500,221,135786,121272
596,501,221,135786,121287
600,502,221,135779,121283
602,503,221,135786,121284
605,503,221,135785,121287
607,503,221,135794,121282
610,503,221,135794,121284
612,503,221,135797,121284
614,504,221,135797,121286
617,505,221,135799,121290
619,505,221,135800,121288
622,505,221,135789,121283
624,506,220,135792,121284
627,506,221,135790,121291
629,507,221,135788,121290
632,507,221,135790,121293
634,508,221,135803,121281
636,508,221,135799,121290
640,509,221,135803,121288
642,509,221,135810,121289
645,509,221,135797,121287
647,509,221,135800,121292
650,510,221,135792,121289
652,511,221,135795,121283
654,511,221,135789,121291
657,512,220,135794,121290
659,512,221,135786,121287
662,512,221,135797,121286
664,513,221,135806,121291
667,513,221,135805,121288
669,512,221,135808,121287
672,511,221,135790,121281
674,511,221,135792,121289
676,511,221,135805,121290
679,511,221,135791,121290
681,511,221,135799,121288
685,511,221,135807,121284
687,511,221,135795,121296
690,511,221,135788,121294
692,512,221,135789,121291
694,512,221,135795,121297
697,512,221,135785,121286
699,512,221,135795,121297
702,513,221,135789,121288
704,513,221,135788,121284
707,513,221,135789,121293
709,513,221,135778,121293
712,513,221,135789,121287
714,513,221,135776,121287
716,513,221,135775,121280
719,513,221,135764,121280
721,514,221,135764,121284
724,515,221,135755,121284
727,515,221,135750,121283
730,515,221,135751,121275
732,514,221,135736,121274
734,514,221,135739,121276
737,514,221,135740,121277
739,514,221,135728,121276
742,513,221,135724,121275
744,512,221,135729,121272
747,511,221,135729,121271
749,510,221,135726,121269
752,509,221,135719,121273
754,507,221,135711,121265
756,506,221,135715,121270
759,505,221,135720,121268
761,504,221,135710,121274
764,503,221,135713,121264
766,503,221,135716,121265
770,503,221,135703,121263
772,502,221,135707,121268
774,502,221,135703,121268
777,502,221,135704,121264
779,501,221,135710,121264
782,500,221,135703,121268
784,500,221,135703,121268
787,500,221,135700,121267
789,501,221,135718,121270
792,501,221,135718,121258
794,500,221,135709,121265
796,500,221,135703,121265
799,501,221,135711,121274
801,502,221,135721,121266
804,501,221,135721,121275
806,501,221,135715,121272
809,502,221,135711,121272
812,503,221,135715,121272
814,504,221,135717,121266
817,505,221,135724,121270
819,505,221,135724,121267
822,505,221,135725,121272
824,505,221,135717,121274
827,505,221,135717,121273
829,505,221,135727,121264
832,506,221,135731,121264
834,507,221,135735,121277
836,507,221,135729,121265
839,508,221,135734,121272
841,508,221,135734,121281
844,509,221,135735,121278
846,509,221,135742,121276
849,509,221,135742,121280
851,509,221,135741,121286
854,509,221,135750,121286
857,509,221,135748,121284
859,508,221,135748,121278
862,508,221,135743,121286
864,508,221,135750,121286
867,508,221,135769,121287
869,507,221,135760,121280
872,508,221,135755,121291
874,508,221,135763,121285
876,508,221,135763,121285
879,508,221,135759,121291
881,509,221,135759,121288
884,509,221,135761,121286
886,510,221,135760,121286
889,510,221,135770,121283
891,509,221,135763,121285
893,509,221,135763,121295
897,509,221,135775,121292
899,510,221,135775,121292
902,511,221,135777,121292
904,514,221,135777,121293
907,516,221,135779,121294
909,517,221,135775,121294
912,517,221,135790,121288
914,518,221,135785,121293
916,519,221,135785,121295
919,520,221,135779,121294
921,520,221,135790,121294
924,519,221,135788,121302
926,518,221,135788,121297
929,519,221,135786,121289
931,520,221,135786,121289
933,520,221,135798,121292
936,520,221,135783,121290
939,519,221,135794,121290
942,516,221,135794,121303
944,515,221,135784,121302
947,514,221,135790,121302
949,514,221,135790,121293
952,512,221,135796,121299
954,511,221,135780,121299
956,509,221,135796,121297
959,506,221,135789,121299
961,505,221,135791,121299
964,504,221,135791,121297
966,503,221,135793,121308
969,503,221,135783,121308
971,501,221,135783,121303
973,500,221,135788,121298
976,499,221,135786,121298
978,499,221,135786,121296
982,500,221,135786,121295
984,500,221,135780,121295
987,500,221,135780,121295
989,500,221,135782,121300
992,501,221,135775,121300
994,500,221,135775,121298
996,500,221,135784,121297
999,501,221,135774,121303
1001,501,221,135774,121294
1004,501,221,135777,121302
1006,501,221,135779,121306
1009,501,221,135779,121306
1011,501,221,135787,121297
1013,501,221,135787,121298
1016,502,221,135774,121298
1018,502,221,135778,121301
1021,502,221,135778,121294
