TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
161698,496,53,142047,117891
161701,496,53,142050,117901
161703,496,53,142049,117899
161696,495,53,142036,117894
161698,496,53,142047,117891
161701,496,53,142050,117901
161703,496,53,142049,117899
6,494,48,0,0
8,495,48,57551,57546
11,495,48,73880,73896
13,494,48,90318,90339
15,494,49,106706,106706
18,494,49,123067,117881
20,495,49,139454,117884
23,495,49,142047,117884
25,496,49,142047,117879
28,496,50,142045,117879
30,496,50,142044,117886
33,496,50,142055,117881
35,496,50,142049,117881
37,497,51,142054,117879
40,497,51,142050,117876
43,497,51,142060,117879
46,497,51,142053,117882
48,498,51,142054,117881
51,498,51,142050,117873
53,498,51,142064,117878
55,498,52,142067,117880
58,499,52,142051,117879
60,499,52,142058,117877
63,499,52,142066,117886
65,499,52,142063,117878
68,499,52,142071,117880
70,500,52,142070,117882
73,500,52,142063,117881
75,500,53,142074,117887
77,500,52,142072,117887
80,501,53,142072,117890
82,502,53,142077,117894
86,502,53,142087,117899
88,503,53,142086,117897
91,503,53,142092,117894
93,504,53,142088,117900
95,504,54,142093,117908
98,504,54,142094,117895
100,504,54,142103,117908
103,505,54,142112,117898
105,505,54,142108,117889
108,506,54,142100,117908
110,506,54,142103,117900
113,506,54,142110,117899
115,507,54,142101,117900
117,507,54,142103,117906
120,508,54,142110,117897
122,508,54,142115,117906
125,509,54,142102,117907
128,509,55,142101,117900
131,509,55,142099,117895
133,510,55,142093,117897
135,510,55,142088,117901
138,510,55,142070,117896
140,511,55,142071,117904
143,512,55,142051,117887
145,513,55,142039,117889
148,513,55,142028,117878
150,513,55,142017,117872
153,514,55,141997,117880
155,515,55,141971,117865
157,516,55,141953,117861
160,516,55,141920,117848
162,516,55,141894,117839
165,517,55,141866,117823
167,519,55,141827,117814
171,519,55,141794,117805
173,520,55,141739,117789
175,521,55,141700,117777
178,523,56,141656,117761
180,524,56,141597,117746
183,524,56,141547,117733
185,525,56,141494,117704
188,527,56,141443,117700
190,528,56,141405,117675
193,529,56,141334,117660
195,532,56,141280,117649
197,533,56,141224,117628
200,534,56,141183,117620
202,536,56,141138,117598
205,538,56,141096,117592
207,540,56,141058,117581
210,541,56,141010,117565
212,543,56,140975,117551
215,545,56,140939,117523
218,547,56,140894,117534
220,548,56,140867,117518
223,549,56,140834,117509
225,551,56,140793,117504
228,552,56,140767,117496
230,554,56,140738,117487
233,555,56,140714,117477
235,555,57,140679,117476
237,556,56,140660,117462
240,556,57,140641,117455
242,556,56,140621,117455
245,555,56,140621,117446
247,555,56,140583,117439
250,554,57,140557,117439
252,551,57,140552,117435
254,549,57,140538,117427
258,546,57,140520,117426
260,544,57,140517,117431
263,541,57,140512,117426
265,537,57,140502,117429
268,534,57,140502,117419
270,529,57,140484,117413
273,526,57,140482,117413
275,518,57,140480,117422
277,515,57,140475,117411
280,509,57,140470,117413
282,506,57,140470,117415
285,501,57,140468,117411
287,498,57,140453,117411
290,495,57,140467,117415
292,489,57,140456,117411
294,486,57,140456,117419
297,482,57,140458,117418
300,480,57,140468,117418
303,475,57,140465,117417
305,473,57,140465,117410
308,470,57,140462,117414
310,469,57,140458,117414
313,468,57,140467,117425
315,466,57,140458,117405
317,465,57,140458,117404
320,464,57,140452,117405
322,464,57,140456,117405
325,464,57,140455,117403
327,463,57,140455,117396
330,463,57,140447,117397
332,463,57,140434,117397
334,464,57,140438,117398
337,464,57,140438,117381
339,464,57,140438,117384
343,465,57,140411,117374
345,465,57,140407,117374
348,465,57,140404,117372
350,467,57,140404,117362
353,468,57,140387,117355
355,468,57,140373,117355
357,469,57,140375,117349
360,471,57,140352,117350
362,473,57,140341,117350
365,477,57,140328,117342
367,479,57,140328,117332
370,481,57,140322,117333
372,483,57,140303,117323
374,484,57,140303,117317
377,486,57,140280,117317
379,487,57,140280,117317
382,488,57,140264,117311
385,491,57,140264,117320
388,492,57,140249,117320
390,494,57,140249,117310
393,496,57,140249,117311
395,497,57,140223,117311
397,498,57,140235,117313
400,500,57,140212,117304
402,500,57,140215,117304
405,502,57,140215,117299
407,503,57,140213,117302
410,503,57,140198,117302
412,502,57,140198,117304
414,501,57,140183,117300
417,500,57,140186,117308
419,500,57,140186,117304
422,499,57,140192,117304
424,497,58,140154,117306
428,494,57,140154,117309
430,493,57,140152,117302
433,492,57,140179,117302
435,491,57,140189,117304
437,490,57,140187,117301
440,489,57,140187,117301
442,489,57,140187,117300
445,489,57,140190,117300
447,489,57,140192,117298
450,489,57,140192,117301
452,489,57,140199,117301
454,490,57,140199,117302
457,490,57,140202,117302
459,491,57,140212,117302
462,491,57,140223,117302
464,491,57,140224,117303
467,491,57,140224,117316
470,492,57,140237,117310
473,492,58,140247,117310
475,493,57,140246,117313
477,493,57,140246,117317
480,494,57,140262,117312
482,494,57,140281,117323
485,495,57,140281,117326
487,496,57,140294,117336
490,497,58,140291,117336
492,497,57,140311,117336
494,497,57,140328,117341
497,498,57,140336,117342
499,498,57,140351,117349
502,498,57,140373,117350
504,498,57,140373,117360
507,498,57,140385,117364
509,498,58,140391,117364
513,499,57,140399,117366
515,499,57,140416,117378
517,499,57,140429,117374
520,500,58,140439,117375
522,501,58,140453,117379
525,501,57,140467,117385
527,501,57,140467,117394
530,501,57,140474,117394
532,502,57,140484,117401
534,503,57,140498,117393
537,502,58,140496,117400
539,503,58,140495,117397
542,503,57,140504,117398
544,503,57,140510,117396
547,504,57,140510,117400
549,504,58,140524,117393
552,504,58,140528,117396
555,505,58,140521,117393
557,505,57,140536,117402
560,505,58,140515,117396
562,505,58,140533,117411
565,504,58,140538,117401
567,505,58,140539,117401
570,505,58,140542,117407
572,505,58,140544,117401
574,506,58,140542,117406
577,506,58,140530,117403
579,506,58,140538,117408
582,506,58,140548,117397
584,506,58,140537,117391
587,506,58,140539,117399
589,506,58,140545,117397
592,506,58,140553,117396
594,507,58,140548,117391
596,507,57,140552,117393
600,507,58,140550,117395
602,507,58,140555,117399
605,507,58,140565,117400
607,508,58,140570,117399
610,508,58,140565,117403
612,508,58,140573,117408
614,508,58,140585,117407
617,508,58,140581,117408
619,508,58,140582,117408
622,508,58,140596,117409
624,508,58,140607,117410
627,508,58,140612,117415
629,508,58,140603,117429
632,508,58,140621,117422
634,509,58,140626,117426
636,509,58,140631,117432
640,509,58,140630,117429
642,509,58,140637,117428
645,509,58,140638,117431
647,509,58,140649,117441
650,509,58,140664,117435
652,509,58,140661,117431
654,509,58,140674,117434
657,509,58,140671,117431
659,509,58,140676,117439
662,509,58,140678,117445
664,509,58,140696,117450
667,509,58,140695,117450
669,510,58,140705,117451
672,510,58,140712,117449
674,510,58,140720,117453
676,510,58,140712,117454
679,510,58,140725,117457
681,510,58,140741,117458
685,511,58,140733,117453
687,511,58,140751,117453
690,511,58,140761,117465
692,511,58,140766,117461
694,511,58,140765,117460
697,511,58,140765,117463
699,512,58,140772,117469
702,512,58,140777,117466
704,512,58,140788,117465
707,513,58,140791,117460
709,513,58,140811,117468
712,513,58,140821,117471
714,513,58,140823,117476
716,513,58,140828,117474
719,513,58,140833,117481
721,513,58,140845,117486
724,513,58,140853,117485
727,514,58,140861,117493
730,514,58,140865,117489
732,514,58,140877,117498
734,514,58,140879,117495
737,514,58,140893,117493
739,514,58,140898,117497
742,514,58,140908,117497
744,514,58,140916,117498
747,514,58,140916,117495
749,514,58,140919,117506
752,514,58,140928,117506
754,514,58,140939,117499
756,514,58,140941,117506
759,514,58,140943,117514
761,514,58,140955,117515
764,514,58,140965,117516
766,514,58,140974,117518
770,514,58,140982,117522
772,515,58,140983,117521
774,515,58,140983,117519
777,515,58,141000,117524
779,515,58,141001,117524
782,515,58,141025,117533
784,515,58,141024,117525
787,515,58,141024,117526
789,515,58,141026,117535
792,515,58,141034,117535
794,515,58,141046,117540
796,515,58,141046,117545
799,515,58,141052,117542
801,515,58,141064,117542
804,515,58,141078,117549
806,514,58,141080,117555
809,514,58,141080,117550
812,514,58,141089,117554
814,514,58,141097,117554
817,514,58,141097,117554
819,514,58,141097,117554
822,514,58,141101,117562
824,515,58,141111,117562
827,515,58,141125,117564
829,514,58,141122,117558
832,514,58,141123,117573
834,514,58,141133,117571
836,515,58,141132,117571
839,515,58,141132,117569
841,515,58,141132,117569
844,514,58,141142,117572
846,515,58,141157,117572
849,514,58,141163,117579
851,515,58,141166,117579
854,514,58,141166,117578
857,515,58,141174,117578
859,515,58,141180,117584
862,514,58,141183,117579
864,514,58,141183,117580
867,514,58,141182,117582
869,514,58,141183,117582
872,514,58,141188,117578
874,513,58,141188,117581
876,513,58,141203,117582
879,513,58,141200,117582
881,513,58,141213,117582
884,513,58,141206,117584
886,514,58,141206,117581
889,514,58,141208,117580
891,514,58,141209,117580
893,513,58,141219,117584
897,513,58,141223,117582
899,513,58,141212,117582
902,513,58,141212,117582
904,513,58,141225,117575
907,513,58,141234,117575
909,513,58,141234,117579
912,513,58,141218,117581
914,513,58,141226,117581
916,513,58,141230,117579
919,513,58,141240,117580
921,513,58,141236,117580
924,513,58,141236,117583
926,513,58,141237,117587
929,513,58,141245,117587
931,513,59,141245,117591
933,513,58,141255,117588
936,513,59,141248,117590
939,513,59,141248,117590
942,513,58,141260,117590
944,512,58,141259,117593
947,512,59,141259,117590
949,512,58,141264,117594
952,512,59,141273,117594
954,512,59,141276,117600
956,512,59,141272,117601
959,512,58,141272,117603
961,512,58,141278,117603
964,512,59,141289,117603
966,512,58,141291,117600
969,512,59,141291,117604
971,512,58,141295,117604
973,512,58,141300,117604
976,512,58,141306,117604
978,512,58,141316,117607
982,512,59,141316,117615
984,512,58,141325,117614
987,512,59,141330,117614
989,512,58,141336,117624
992,513,59,141336,117629
994,512,59,141339,117630
996,512,58,141350,117630
999,512,59,141353,117631
1001,512,59,141352,117636
1004,512,59,141356,117629
1006,512,59,141368,117639
1009,512,58,141374,117634
1011,512,58,141377,117642
1013,512,59,141377,117636
1016,512,59,141381,117639
1018,512,58,141390,117639
1021,512,58,141385,117643
1024,512,58,141400,117647
1027,512,58,141405,117645
1029,512,58,141419,117653
1032,511,59,141405,117651
1034,511,58,141413,117654
1036,511,58,141410,117647
1039,511,59,141429,117654
1041,511,59,141426,117653
1044,511,58,141431,117662
1046,511,58,141441,117662
1049,511,58,141448,117662
1051,511,59,141452,117664
1053,511,58,141459,117667
1056,511,58,141444,117671
1058,511,58,141471,117666
1061,511,58,141471,117670
1063,511,58,141477,117677
1067,511,58,141482,117682
1069,511,58,141485,117675
1072,511,59,141493,117675
1074,512,58,141506,117681
1076,511,59,141515,117689
1079,511,59,141507,117680
1081,511,58,141512,117683
1084,511,59,141516,117685
1086,511,59,141520,117684
1089,510,58,141529,117691
1091,511,59,141530,117689
1093,510,58,141529,117689
1096,511,59,141547,117696
1098,511,59,141552,117695
1101,511,58,141546,117691
1103,511,59,141550,117707
1106,511,59,141552,117700
1108,511,58,141560,117704
1112,511,59,141566,117706
1114,511,59,141575,117715
1116,511,59,141575,117714
1119,511,58,141587,117713
1121,510,59,141594,117716
1124,510,58,141599,117712
1126,510,58,141600,117719
1129,510,58,141599,117722
1131,510,58,141599,117721
1133,510,59,141617,117721
1136,510,59,141601,117719
1138,510,59,141608,117721
1141,509,58,141624,117730
1143,509,59,141631,117734
1146,509,59,141642,117724
1148,510,59,141636,117731
1152,510,59,141637,117731
1154,510,58,141643,117733
1156,510,58,141652,117738
1159,510,59,141659,117736
1161,510,59,141652,117741
1164,510,58,141664,117749
1166,510,59,141673,117758
1169,510,58,141670,117750
1171,510,59,141677,117756
1173,510,59,141681,117752
1176,510,59,141687,117751
1178,510,59,141692,117754
1181,510,59,141699,117753
1183,510,59,141711,117761
1186,510,59,141702,117759
1188,510,59,141712,117763
1191,510,59,141712,117756
1193,510,59,141719,117766
1196,510,59,141719,117765
1199,510,59,141726,117773
1201,511,59,141734,117777
1204,511,59,141738,117767
1206,511,59,141736,117773
1209,511,59,141748,117777
1211,511,59,141754,117776
1213,511,59,141748,117775
1216,510,59,141753,117778
1218,510,59,141760,117782
1221,510,59,141762,117788
1223,510,58,141761,117780
1226,510,59,141762,117782
1228,510,59,141772,117783
1231,510,59,141779,117781
1233,510,59,141773,117774
1235,510,59,141769,117779
1239,510,59,141778,117786
1241,510,59,141783,117777
1244,510,59,141786,117783
1246,511,59,141788,117790
1249,511,59,141793,117790
1251,510,59,141812,117794
1253,510,59,141804,117784
1256,510,59,141808,117785
1258,510,59,141811,117785
1261,510,59,141814,117798
1263,510,59,141812,117791
1266,510,59,141812,117789
1268,510,59,141821,117793
1271,510,59,141822,117793
1273,510,59,141838,117797
1275,510,59,141830,117802
1278,510,59,141838,117800
1281,510,59,141838,117798
1284,510,59,141846,117805
1286,511,59,141837,117801
1289,512,59,141837,117799
1291,513,59,141841,117792
1293,514,59,141849,117792
1296,515,59,141859,117797
1298,515,59,141858,117805
1301,515,59,141856,117804
1303,515,59,141856,117804
1306,516,59,141854,117806
1308,517,59,141859,117801
1311,518,59,141859,117805
1313,518,59,141872,117808
1315,519,59,141875,117808
1318,519,59,141872,117811
1320,518,59,141872,117811
1324,518,59,141881,117808
1326,518,59,141877,117808
1329,517,59,141892,117810
1331,517,59,141884,117809
1333,517,59,141884,117816
1336,517,59,141893,117815
1338,517,59,141894,117815
1341,517,59,141897,117823
1343,515,59,141897,117815
1346,514,59,141901,117825
1348,514,59,141913,117825
1351,513,59,141926,117818
1353,511,59,141916,117822
1355,510,59,141916,117829
1358,508,59,141915,117831
1360,508,59,141920,117831
1363,507,59,141929,117830
1366,507,59,141929,117826
1369,506,59,141928,117833
1371,506,59,141933,117833
1373,506,59,141943,117835
1376,506,59,141941,117829
1543,491,58,142040,117833
1546,491,59,142032,117830
1548,492,59,142046,117838
1551,492,59,142043,117835
1553,493,59,142051,117833
1543,491,58,142040,117833
1546,491,59,142032,117830
1548,492,59,142046,117838
1551,492,59,142043,117835
1553,493,59,142051,117833
1555,493,59,142049,117831
1558,494,59,142039,117832
1560,494,59,142044,117823
1563,495,58,142044,117825
1565,496,59,142042,117819
1568,496,59,142043,117822
1570,496,58,142049,117818
1572,496,58,142041,117825
1575,497,58,142038,117823
1577,497,59,142044,117827
1581,498,58,142042,117821
1583,499,59,142048,117829
1586,499,58,142044,117828
1588,499,59,142059,117829
1591,500,59,142061,117827
1593,501,59,142057,117823
1595,501,58,142055,117822
1598,502,58,142059,117823
1600,502,58,142057,117828
1603,503,59,142060,117826
1605,503,59,142062,117833
1608,503,58,142059,117829
1610,504,59,142063,117823
1612,504,58,142062,117830
1615,505,58,142064,117825
1617,506,58,142072,117820
1620,506,59,142066,117827
1623,506,58,142062,117825
1626,507,58,142066,117826
1628,507,59,142066,117828
1631,508,58,142072,117821
1633,508,59,142061,117821
1635,508,59,142061,117822
1638,508,59,142065,117815
1640,508,59,142074,117820
1643,509,59,142076,117817
1645,510,59,142074,117818
1648,510,58,142071,117819
1650,511,59,142068,117813
1652,511,59,142075,117820
1655,512,58,142058,117811
1657,512,59,142058,117820
1660,512,59,142072,117808
1662,512,58,142063,117813
1666,513,59,142066,117812
1668,513,59,142062,117812
1671,514,59,142056,117809
1673,515,59,142050,117815
1675,515,59,142059,117805
1678,515,59,142048,117808
1680,515,59,142037,117801
1683,516,59,142028,117806
1685,516,59,142015,117797
1688,517,59,141997,117793
1690,517,59,141978,117783
1692,518,59,141951,117788
1695,519,59,141938,117774
1697,519,59,141924,117762
1700,520,59,141900,117758
1702,520,59,141872,117753
1705,521,59,141828,117739
1708,522,59,141797,117725
1711,523,59,141758,117704
1713,524,59,141714,117691
1715,525,59,141660,117674
1718,526,59,141603,117665
1720,527,59,141571,117647
1723,527,59,141504,117635
1725,529,59,141452,117624
1728,530,59,141388,117599
1730,531,59,141341,117572
1732,533,59,141283,117569
1735,534,59,141219,117542
1737,535,59,141172,117534
1740,537,59,141116,117518
1742,538,59,141081,117503
1745,539,59,141027,117492
1747,542,59,140983,117466
1751,543,59,140933,117454
1753,544,59,140887,117448
1755,546,59,140849,117436
1758,547,59,140818,117429
1760,549,59,140761,117412
1763,551,59,140717,117397
1765,552,59,140685,117382
1768,552,59,140685,117379
1770,554,59,140613,117373
1772,555,59,140577,117373
1775,556,59,140562,117351
1777,557,59,140525,117344
1780,557,59,140501,117333
1782,557,59,140465,117328
1785,557,59,140452,117333
1787,556,59,140434,117319
1790,556,59,140434,117316
1793,555,59,140394,117318
1795,554,59,140374,117318
1798,550,59,140360,117306
1800,548,59,140355,117303
1803,545,59,140355,117310
1805,542,59,140325,117305
1808,540,59,140321,117305
1810,533,59,140308,117309
1812,529,59,140308,117294
1815,525,60,140290,117292
1817,521,60,140286,117292
