TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
4,0,0,0,0
6,477,4,0,57525
8,474,4,57542,57525
11,475,4,90282,73939
13,480,4,90282,106687
16,490,4,106697,113441
18,509,4,123079,113443
21,526,4,130710,113444
23,541,4,130714,113437
25,563,4,130714,113437
28,569,5,130713,113439
30,575,5,130713,113432
33,577,5,130711,113438
35,589,5,130713,113433
38,592,5,130716,113434
40,596,5,130704,113433
44,598,5,130717,113427
46,601,5,130711,113436
48,603,5,130707,113434
51,599,5,130710,113427
53,595,5,130711,113431
56,597,5,130717,113431
58,599,5,130715,113428
61,597,5,130705,113432
63,593,6,130711,113426
65,591,6,130712,113429
68,593,6,130716,113431
70,592,6,130721,113426
73,588,6,130704,113445
75,584,6,130717,113435
78,582,6,130716,113437
80,584,6,130712,113434
83,586,6,130718,113434
86,576,6,130716,113444
88,573,6,130700,113435
91,573,6,130708,113428
93,574,6,130699,113434
96,568,6,130706,113430
98,563,6,130705,113432
101,561,6,130687,113437
103,559,6,130691,113425
105,558,6,130688,113413
108,552,6,130684,113417
110,553,6,130663,113412
113,552,7,130669,113411
115,548,7,130648,113404
118,547,6,130655,113407
120,543,7,130648,113399
123,545,7,130619,113401
125,545,7,130632,113390
128,539,7,130626,113390
131,533,7,130628,113393
133,528,7,130621,113387
136,531,6,130612,113388
138,531,7,130604,113389
141,532,7,130611,113389
143,531,7,130604,113381
145,532,7,130604,113381
148,529,7,130602,113382
150,531,7,130603,113383
153,532,7,130608,113389
155,527,7,130596,113385
158,523,7,130604,113391
160,521,7,130606,113387
163,526,7,130614,113383
165,528,7,130613,113391
167,522,7,130617,113386
171,516,7,130597,113388
173,511,7,130615,113395
176,517,7,130612,113393
178,519,7,130614,113402
181,521,7,130617,113388
183,520,7,130616,113389
185,521,7,130618,113400
188,517,7,130618,113392
190,519,7,130619,113398
193,520,7,130620,113395
195,516,7,130624,113391
198,515,7,130624,113397
200,513,7,130622,113394
203,517,7,130633,113396
205,518,7,130625,113392
207,511,7,130623,113394
210,509,7,130616,113392
212,505,7,130620,113388
216,506,7,130612,113380
218,507,7,130619,113384
221,508,7,130620,113385
223,508,7,130612,113385
225,512,7,130615,113388
228,514,7,130614,113386
230,507,7,130610,113376
233,503,7,130595,113381
235,502,7,130608,113374
238,503,7,130608,113359
240,505,7,130609,113369
243,507,7,130593,113364
245,504,7,130606,113372
247,504,7,130602,113366
250,501,7,130616,113373
252,498,7,130602,113375
256,501,7,130602,113372
258,502,7,130610,113368
261,503,7,130610,113382
263,502,7,130620,113384
265,504,7,130621,113384
268,502,8,130635,113382
270,504,7,130629,113382
273,505,7,130633,113389
275,503,7,130627,113387
278,502,7,130644,113389
280,500,7,130643,113392
283,501,7,130642,113392
285,500,7,130650,113397
287,500,7,130650,113393
290,501,7,130648,113397
292,498,7,130645,113397
295,500,7,130655,113389
297,499,7,130655,113396
301,503,7,130645,113392
303,504,7,130651,113393
305,499,7,130650,113393
308,496,7,130652,113400
310,494,7,130652,113388
313,494,7,130653,113388
315,497,7,130653,113389
318,496,7,130655,113393
320,503,7,130655,113386
323,505,7,130649,113397
325,501,7,130655,113392
327,495,7,130653,113404
330,492,7,130659,113398
332,490,7,130658,113398
