TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
298500,497,312,111324,112394
298502,497,312,111293,112372
298505,496,312,111254,112359
298507,495,312,111241,112355
298510,493,313,111219,112353
6,520,309,0,0
8,523,308,57590,57561
11,524,309,73957,73924
13,523,309,90346,90346
16,523,309,106736,106771
18,522,309,115286,114050
20,520,309,115150,113997
23,518,309,115027,113948
25,518,309,114915,113844
28,517,310,114798,113844
30,515,310,114661,113790
33,515,310,114544,113731
35,514,310,114426,113674
37,514,310,114295,113614
40,514,310,114165,113558
43,514,311,114034,113501
46,513,311,113908,113440
48,513,311,113797,113384
51,512,311,113666,113327
53,511,311,113552,113268
56,511,311,113426,113226
58,510,311,113298,113169
60,509,311,113184,113118
63,508,311,113074,113069
65,507,311,112967,113019
68,506,311,112852,112981
70,504,312,112752,112933
73,503,311,112657,112894
75,503,312,112570,112849
77,502,312,112485,112826
80,500,312,112417,112788
82,499,312,112344,112761
86,499,312,112271,112741
88,498,312,112211,112711
91,497,312,112167,112690
93,495,312,112112,112675
96,494,312,112079,112662
98,493,312,112047,112644
100,493,313,112027,112636
103,493,312,112010,112635
105,493,312,111988,112631
108,493,312,111981,112621
110,493,312,111973,112625
113,493,312,111979,112631
115,493,313,111976,112624
117,493,313,111980,112628
120,493,313,112006,112639
122,493,313,112016,112645
125,494,313,112027,112645
128,494,313,112037,112656
131,495,313,112054,112667
133,496,313,112085,112676
136,497,313,112107,112695
138,497,313,112124,112697
140,497,313,112142,112700
143,496,313,112159,112713
145,496,313,112178,112713
148,496,313,112219,112719
150,496,313,112230,112742
153,497,313,112245,112745
155,498,313,112268,112756
157,499,313,112293,112766
160,499,313,112311,112777
162,500,313,112333,112768
165,501,313,112350,112768
167,502,313,112368,112786
171,503,314,112393,112810
173,502,313,112407,112815
176,502,313,112414,112826
178,502,313,112429,112834
180,503,313,112454,112842
183,504,313,112464,112847
185,505,313,112477,112849
188,505,313,112477,112852
190,505,313,112501,112867
193,505,313,112519,112871
195,506,313,112537,112875
197,506,313,112558,112886
200,507,314,112570,112892
202,507,314,112582,112899
205,507,314,112604,112899
207,507,313,112617,112898
210,506,314,112643,112918
212,506,313,112653,112926
216,506,313,112669,112926
218,507,314,112696,112936
220,507,314,112714,112947
223,508,314,112732,112953
225,509,313,112740,112962
228,510,314,112755,112969
230,510,314,112777,112976
233,510,314,112777,112986
235,509,314,112818,112999
237,509,314,112830,112999
240,509,314,112852,113011
242,509,314,112862,113003
245,509,314,112862,113016
247,510,314,112894,113019
250,510,314,112904,113019
252,510,314,112924,113032
256,509,314,112933,113037
258,509,314,112937,113045
260,509,314,112937,113049
263,510,314,112958,113048
265,511,314,112964,113048
268,510,314,112981,113074
270,508,314,112984,113059
273,508,314,112984,113060
275,508,314,112984,113056
277,508,314,112988,113056
280,508,314,112990,113056
282,508,314,112990,113056
285,509,314,112987,113060
287,509,314,112984,113060
290,509,314,112988,113065
292,509,314,112985,113060
295,509,314,112985,113056
297,509,314,112982,113053
300,509,314,112978,113053
303,509,314,112988,113061
