TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
6,508,321,0,57535
8,509,320,57597,73985
11,509,320,73945,73985
13,510,320,90352,90370
16,510,320,106731,106715
18,510,319,123087,122629
21,510,319,129706,122621
23,510,319,129713,122621
25,510,318,129704,122625
28,510,318,129707,122628
30,510,318,129710,122624
33,509,317,129721,122627
35,509,317,129723,122630
38,509,317,129724,122625
40,508,317,129730,122632
43,507,317,129719,122633
46,507,316,129713,122634
48,506,316,129728,122627
51,506,316,129738,122632
53,507,316,129733,122638
56,507,315,129723,122629
58,507,315,129743,122636
61,506,315,129742,122643
63,506,315,129758,122643
65,506,315,129741,122640
68,506,314,129738,122641
70,507,314,129747,122645
73,507,314,129754,122648
75,507,314,129764,122652
78,507,314,129771,122653
80,506,314,129777,122663
82,506,313,129770,122658
86,506,313,129786,122665
88,506,313,129776,122655
91,507,313,129782,122656
93,507,313,129795,122655
96,507,313,129776,122663
98,507,313,129786,122658
101,506,313,129792,122662
103,506,312,129799,122664
105,506,312,129803,122676
108,505,312,129807,122677
110,505,312,129819,122673
113,505,312,129809,122669
115,505,312,129815,122682
118,506,311,129825,122681
120,507,311,129822,122677
122,506,311,129819,122684
125,506,311,129833,122682
128,506,311,129834,122683
131,505,311,129839,122687
133,506,311,129849,122698
136,506,311,129851,122702
138,505,311,129850,122696
141,505,311,129864,122702
143,505,311,129859,122699
145,505,311,129869,122705
148,506,311,129865,122709
150,506,311,129880,122699
153,506,310,129886,122707
155,506,310,129882,122708
158,506,310,129886,122713
160,507,310,129899,122723
162,507,310,129915,122708
165,507,310,129920,122721
167,507,310,129916,122738
171,507,310,129926,122736
173,507,310,129932,122749
176,507,309,129927,122738
178,506,310,129936,122744
181,507,309,129946,122744
183,507,309,129956,122756
185,507,309,129963,122758
188,507,309,129963,122733
190,508,309,129973,122770
193,508,309,129983,122763
195,507,309,129987,122772
198,507,309,129995,122743
200,507,309,129998,122779
202,507,309,130009,122784
205,507,309,130010,122765
207,508,309,130017,122789
210,508,309,130028,122788
212,508,309,130031,122792
216,507,309,130038,122781
218,506,309,130044,122798
221,505,309,130054,122806
223,505,309,130063,122804
225,504,309,130062,122804
228,504,309,130073,122804
230,504,309,130094,122821
233,505,309,130090,122830
235,505,309,130099,122828
238,507,309,130108,122835
240,509,309,130107,122827
242,510,309,130113,122829
245,512,309,130122,122845
247,513,309,130127,122828
250,513,309,130135,122841
252,513,309,130146,122842
256,512,309,130146,122861
258,512,309,130156,122868
261,513,309,130167,122868
263,511,309,130179,122862
265,511,308,130186,122865
268,509,309,130193,122888
270,509,309,130193,122876
273,508,308,130208,122871
275,507,308,130211,122882
278,507,309,130223,122882
280,507,308,130230,122882
282,508,308,130230,122891
285,508,308,130244,122889
287,508,308,130259,122909
290,509,308,130259,122899
292,509,308,130270,122899
295,509,308,130277,122904
297,509,308,130276,122914
301,509,308,130291,122914
303,508,308,130307,122927
305,508,308,130307,122920
308,508,308,130312,122926
310,508,308,130316,122926
313,508,308,130332,122932
315,509,308,130325,122936
318,509,308,130343,122936
320,509,308,130355,122945
322,508,308,130355,122949
325,508,308,130369,122953
327,508,308,130371,122953
330,507,308,130382,122960
332,508,308,130390,122960
335,506,308,130399,122964
337,500,308,130399,122970
340,490,308,130403,122984
343,480,308,130424,122984
345,469,308,130436,122992
348,442,308,130423,122987
350,431,308,130441,122987
353,413,308,130450,123003
355,391,308,130450,123001
358,388,308,130464,123000
360,398,308,130475,123017
362,414,308,130475,123011
365,438,308,130489,123011
367,477,308,130501,123017
370,553,308,130481,123025
372,590,308,130507,123025
375,639,308,130486,123022
377,697,308,130486,123036
380,713,308,130494,123034
382,715,308,130545,123034
385,707,308,130517,123037
388,681,308,130520,123040
390,673,308,130558,123040
393,648,308,130558,123050
395,625,308,130570,123055
398,607,308,130576,123055
400,586,308,130586,123057
402,560,308,130593,123065
405,524,308,130593,123071
407,507,308,130593,123068
410,497,308,130607,123068
412,488,308,130611,123078
415,478,308,130611,123078
417,475,308,130614,123078
420,471,308,130614,123074
422,472,308,130615,123089
424,474,308,130627,123089
428,476,308,130646,123089
430,478,308,130638,123101
433,479,308,130638,123084
435,479,308,130647,123093
438,479,308,130647,123093
440,479,308,130658,123091
442,480,308,130658,123099
445,480,308,130660,123099
447,481,308,130659,123102
450,482,308,130653,123104
452,483,308,130663,123107
455,484,308,130671,123107
457,484,308,130675,123111
460,486,308,130679,123110
462,487,308,130681,123114
464,487,308,130694,123114
467,487,308,130696,123112
470,488,308,130693,123121
473,488,308,130707,123127
475,489,308,130715,123130
478,490,308,130721,123133
480,490,308,130721,123134
482,491,308,130735,123137
