TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
7356,530,7,128670,117488
7359,532,7,128677,117484
6,513,4,0,0
8,514,4,57546,57544
11,516,4,73896,73910
13,518,4,90308,90316
15,521,4,106706,106714
18,523,4,123072,117384
20,528,4,127869,117370
23,530,5,127875,117369
25,533,5,127884,117369
28,534,5,127897,117369
30,539,5,127893,117382
33,541,5,127906,117385
35,543,5,127911,117385
37,545,5,127905,117387
40,546,5,127911,117381
43,551,5,127913,117387
46,553,5,127917,117393
48,555,5,127926,117386
51,557,5,127925,117384
53,562,5,127942,117392
55,563,5,127957,117400
58,565,6,127947,117404
60,567,6,127961,117403
63,568,6,127968,117414
65,570,6,127966,117411
68,572,6,127972,117413
70,575,6,127975,117419
73,576,6,127975,117415
75,577,6,127989,117417
77,579,6,127990,117419
80,582,6,127999,117422
82,584,6,128007,117424
86,585,6,128009,117433
88,587,6,128005,117424
91,589,6,128016,117425
93,591,6,128003,117426
95,592,6,127998,117431
98,593,6,128001,117421
100,594,6,128000,117422
103,595,6,127998,117419
105,598,7,127992,117417
108,599,6,127974,117411
110,599,7,127949,117409
113,599,7,127948,117394
115,600,6,127916,117391
117,600,6,127892,117383
120,600,7,127876,117372
122,599,7,127857,117362
125,599,7,127816,117350
128,598,7,127794,117337
131,597,7,127755,117325
133,595,7,127718,117316
135,593,7,127688,117299
138,590,7,127656,117283
140,587,7,127616,117280
143,581,7,127574,117265
145,578,7,127540,117248
148,575,7,127499,117227
150,571,7,127469,117214
153,566,7,127419,117199
155,558,7,127379,117186
157,553,7,127348,117169
160,549,7,127307,117156
162,544,7,127259,117138
165,538,7,127220,117120
167,530,7,127176,117108
171,527,7,127139,117089
173,520,7,127097,117080
175,517,7,127065,117059
178,513,7,127029,117047
180,510,7,126986,117029
183,505,7,126943,117016
185,502,7,126916,117005
188,499,7,126882,116994
190,497,7,126853,116983
193,496,7,126814,116959
195,493,7,126791,116952
197,492,7,126765,116936
200,491,7,126745,116923
202,490,7,126714,116926
205,489,7,126684,116916
207,488,7,126666,116907
210,488,7,126666,116902
212,488,7,126641,116899
215,488,7,126616,116899
218,488,7,126607,116882
220,489,7,126585,116869
223,489,7,126576,116870
225,489,7,126566,116865
228,490,7,126556,116859
230,490,7,126556,116862
233,491,7,126556,116854
235,492,7,126534,116852
237,493,7,126533,116852
240,494,7,126534,116853
242,495,7,126531,116846
245,495,7,126531,116853
247,495,7,126525,116847
250,496,7,126526,116847
252,497,7,126535,116851
254,498,7,126535,116845
258,499,7,126538,116852
260,499,7,126546,116852
263,500,7,126548,116863
265,501,7,126561,116869
268,501,7,126561,116867
270,502,7,126567,116868
273,502,7,126576,116868
275,502,7,126588,116873
277,502,7,126588,116876
280,502,7,126594,116883
282,503,7,126605,116883
285,503,7,126617,116892
287,503,7,126614,116886
290,504,7,126621,116893
292,504,7,126621,116896
294,504,7,126632,116899
297,505,7,126642,116904
300,505,7,126655,116904
303,505,7,126662,116907
305,505,7,126662,116915
308,505,7,126674,116918
310,506,7,126685,116918
313,506,7,126707,116925
315,507,7,126702,116927
317,507,7,126702,116936
320,507,7,126730,116940
322,507,7,126730,116946
325,507,7,126741,116944
327,507,7,126751,116944
330,507,7,126763,116955
332,508,7,126763,116966
334,508,7,126778,116965
337,508,7,126803,116970
339,508,7,126808,116970
343,507,7,126808,116978
345,507,7,126814,116978
348,507,7,126832,116990
350,508,7,126832,116992
353,508,7,126838,116993
355,508,7,126857,116993
357,508,7,126871,116994
360,507,7,126881,117004
362,507,7,126883,117004
365,506,7,126883,117014
367,507,7,126888,117013
370,507,7,126897,117013
372,507,7,126897,117014
374,507,7,126903,117019
377,507,7,126904,117019
379,506,7,126882,117013
382,506,7,126882,117013
385,506,7,126918,117021
388,506,8,126914,117021
390,506,7,126923,117018
393,507,7,126923,117019
395,507,7,126916,117019
397,507,7,126916,117031
400,507,7,126916,117025
402,506,7,126917,117020
405,506,7,126910,117020
407,506,7,126903,117024
410,506,7,126903,117018
412,506,7,126892,117014
414,506,7,126898,117014
417,505,7,126892,117020
419,505,7,126886,117028
422,505,7,126886,117014
424,505,7,126884,117016
428,506,7,126863,117016
430,506,7,126865,117013
433,507,7,126865,117009
435,508,7,126859,117008
437,509,7,126850,117008
440,509,7,126841,117003
442,509,7,126835,116998
445,511,7,126835,117001
447,512,7,126834,117001
450,512,7,126809,116997
452,513,7,126818,117000
454,513,7,126818,116997
457,512,7,126814,116996
459,512,7,126803,116996
