TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
192055,499,7,134858,116684
6,507,4,0,57537
8,469,4,57543,57537
11,415,4,73961,73922
13,361,4,90299,90329
16,317,4,106704,116940
18,274,4,123071,116926
21,205,4,135794,116926
23,191,4,135588,116922
25,185,4,135605,116916
28,184,4,135601,116923
30,189,4,135620,116929
33,194,4,135618,116929
35,226,4,135594,116930
38,237,4,135622,116932
40,243,4,135603,116931
43,244,4,135613,116931
46,241,4,135619,116936
48,236,4,135625,116943
51,229,4,135636,116941
53,220,4,135642,116944
56,215,4,135644,116940
58,215,4,135639,116946
61,213,4,135638,116952
63,213,4,135655,116951
65,216,4,135659,116956
68,226,5,135674,116958
70,234,5,135682,116960
73,242,5,135673,116958
75,249,4,135678,116962
78,256,4,135695,116972
80,278,5,135705,116968
82,286,5,135704,116972
86,295,5,135716,116972
88,302,5,135723,116974
91,308,5,135734,116981
93,316,5,135737,116986
96,325,5,135734,116986
98,335,5,135747,116988
101,343,5,135752,116993
103,353,5,135771,116991
105,359,5,135773,116999
108,365,5,135767,117001
110,373,5,135780,117005
113,381,5,135789,117008
115,386,5,135792,117001
118,387,5,135805,117007
120,395,5,135799,117015
122,401,5,135811,117020
125,404,5,135821,117022
128,411,5,135832,117025
131,420,5,135847,117026
133,423,5,135838,117027
136,428,5,135844,117033
138,434,5,135851,117029
141,439,5,135862,117034
143,442,5,135861,117028
145,443,5,135871,117043
148,451,6,135871,117047
150,452,5,135884,117052
153,456,5,135890,117051
155,458,5,135892,117052
158,459,5,135895,117054
160,458,6,135907,117057
162,463,5,135919,117058
165,469,6,135921,117059
167,473,6,135920,117059
171,475,6,135919,117070
173,482,6,135930,117071
176,486,6,135933,117070
178,489,6,135935,117070
181,491,6,135948,117063
183,499,6,135934,117079
185,503,6,135952,117082
188,500,6,135945,117078
190,497,6,135955,117059
193,504,6,135957,117067
195,504,6,135975,117089
198,505,6,135963,117064
200,514,6,135968,117088
202,515,6,135982,117091
