TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,449,202,0,57530
8,442,201,57561,73915
11,442,201,73971,73915
13,417,201,90330,90323
16,403,201,106702,106695
18,389,201,123077,107733
21,376,201,123297,107747
23,360,201,123366,107778
25,344,201,123407,107791
28,329,201,123464,107809
30,307,200,123521,107824
33,295,200,123580,107847
35,284,200,123628,107872
38,275,200,123681,107886
40,257,200,123748,107911
43,251,200,123806,107936
46,246,200,123853,107946
48,243,200,123918,107973
51,238,199,123981,107987
53,233,199,124032,108012
56,230,199,124077,108030
58,229,199,124133,108047
61,228,199,124201,108074
63,228,199,124260,108089
65,229,199,124313,108110
68,230,199,124368,108127
70,231,199,124424,108141
73,231,199,124477,108165
75,232,198,124532,108184
78,234,198,124587,108203
80,237,198,124642,108220
82,238,198,124696,108241
86,239,198,124739,108255
88,242,198,124790,108275
91,247,198,124839,108287
93,250,198,124895,108307
96,254,198,124942,108334
98,258,198,124993,108336
101,262,197,125046,108357
103,271,198,125083,108370
105,276,197,125141,108393
108,282,197,125190,108404
110,287,197,125231,108425
113,296,197,125277,108440
115,300,197,125331,108456
118,304,197,125373,108474
120,309,197,125412,108485
122,315,197,125472,108501
125,321,197,125505,108518
128,328,197,125542,108526
131,334,197,125583,108539
133,339,197,125622,108560
136,345,197,125659,108564
138,356,197,125678,108581
141,361,197,125722,108588
143,366,197,125739,108593
145,372,197,125762,108605
148,380,197,125776,108614
150,384,197,125802,108610
153,387,197,125809,108614
155,389,197,125818,108608
158,390,197,125824,108613
160,391,197,125837,108616
162,394,197,125847,108621
165,397,197,125845,108631
167,400,197,125841,108631
171,406,197,125839,108625
173,410,197,125830,108633
176,414,197,125830,108618
178,416,197,125817,108628
181,419,197,125813,108624
183,423,197,125802,108619
185,427,197,125801,108594
188,430,197,125774,108591
190,433,197,125751,108602
193,434,197,125735,108601
195,437,197,125709,108590
198,440,197,125685,108577
200,441,197,125650,108564
202,443,197,125603,108528
205,445,197,125574,108539
207,448,197,125532,108520
210,450,197,125476,108480
212,454,197,125432,108473
216,457,197,125380,108455
218,462,197,125330,108443
221,466,197,125283,108422
223,467,197,125232,108406
225,469,197,125178,108385
228,469,197,125122,108366
230,471,197,125077,108344
233,472,197,125025,108332
235,472,197,124979,108308
238,472,197,124928,108308
240,473,197,124891,108284
242,474,197,124891,108276
245,477,197,124813,108265
247,480,197,124774,108239
250,481,197,124774,108248
252,482,197,124721,108238
256,482,197,124704,108220
258,481,197,124692,108212
261,481,197,124667,108212
263,481,197,124656,108211
