TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,504,872,0,0
8,505,870,57556,57530
11,506,870,73942,73923
13,506,869,90315,90348
15,506,869,106698,106750
18,506,869,123105,123099
20,506,868,137179,124737
23,506,868,137007,124742
25,507,868,137027,124758
28,507,867,137048,124758
30,507,867,137051,124765
33,507,867,137075,124771
35,507,866,137075,124775
37,507,866,137070,124764
40,507,866,137081,124769
43,507,865,137078,124769
46,507,865,137065,124765
48,507,865,137060,124755
51,506,865,137054,124753
53,507,864,137042,124749
55,507,864,137030,124740
58,507,864,136996,124735
60,507,864,136982,124714
63,507,864,136956,124711
65,507,863,136924,124693
68,507,863,136889,124682
70,507,863,136860,124669
73,507,863,136823,124659
75,507,863,136788,124631
77,507,862,136754,124619
80,507,862,136708,124600
82,507,862,136671,124579
86,507,862,136625,124560
88,507,862,136572,124537
91,507,861,136523,124513
93,508,861,136465,124491
95,508,861,136421,124479
98,508,861,136381,124446
100,508,861,136339,124428
103,508,861,136292,124405
105,507,861,136245,124387
108,507,860,136198,124374
110,507,860,136157,124349
113,508,860,136123,124330
115,509,860,136078,124317
117,509,860,136044,124302
120,509,860,136014,124296
122,509,860,136001,124279
125,509,859,135963,124271
128,509,859,135937,124260
131,510,859,135912,124248
133,510,859,135892,124242
135,511,859,135885,124238
138,511,859,135872,124235
140,512,859,135864,124231
143,513,859,135850,124225
145,514,859,135839,124226
148,514,859,135839,124215
150,514,859,135843,124229
153,513,858,135831,124226
155,513,858,135837,124228
157,514,858,135852,124241
160,514,858,135853,124234
162,515,858,135874,124241
165,515,858,135874,124246
167,516,858,135888,124256
171,515,858,135909,124262
173,514,858,135913,124269
175,514,858,135936,124274
178,513,858,135956,124289
180,512,858,135978,124305
183,510,858,136005,124321
185,509,858,136037,124322
188,508,857,136055,124340
190,507,857,136085,124348
193,507,857,136112,124359
195,506,857,136141,124374
197,506,857,136177,124386
200,506,857,136200,124398
202,506,857,136235,124410
205,506,857,136266,124424
207,506,857,136299,124429
210,506,857,136299,124456
212,506,857,136368,124466
215,506,857,136391,124466
218,506,857,136438,124498
220,506,857,136471,124506
223,506,857,136507,124519
225,506,857,136534,124535
228,506,857,136578,124554
230,506,857,136622,124571
233,506,857,136622,124586
235,506,857,136678,124594
237,507,857,136725,124594
240,507,857,136762,124630
242,507,857,136790,124645
245,507,857,136790,124661
247,506,856,136852,124672
250,507,857,136896,124672
252,507,856,136921,124700
254,508,857,136921,124712
258,508,856,136994,124728
260,509,856,137027,124728
263,510,856,137059,124751
265,514,856,137088,124762
268,517,856,137088,124774
270,524,856,137153,124799
273,531,856,137176,124799
275,550,856,137206,124818
277,559,856,137206,124828
280,568,856,137254,124838
282,573,856,137289,124838
285,573,856,137330,124848
287,552,856,137351,124874
290,539,856,137365,124887
292,503,856,137365,124893
294,483,856,137387,124906
297,468,856,137438,124916
300,462,856,137456,124916
303,447,856,137477,124927
305,444,856,137477,124933
308,444,856,137507,124940
310,446,856,137533,124940
313,449,856,137561,124958
315,460,856,137561,124967
317,468,856,137578,124974
320,477,856,137617,124988
322,483,856,137617,124993
325,490,856,137651,125004
327,495,856,137661,125004
330,499,856,137692,125016
332,506,856,137692,125015
334,510,856,137700,125024
337,514,856,137727,125026
339,515,856,137745,125026
343,517,856,137745,125040
345,518,856,137767,125040
348,518,856,137780,125049
350,519,856,137780,125055
353,520,856,137782,125072
355,520,856,137819,125072
357,520,856,137830,125078
360,520,856,137830,125078
362,521,856,137855,125086
365,521,856,137863,125086
367,521,856,137871,125087
370,521,856,137871,125086
372,521,856,137889,125086
374,521,856,137899,125104
377,521,856,137899,125110
379,521,856,137905,125112
382,521,856,137926,125112
385,520,856,137932,125109
388,520,856,137932,125115
390,520,856,137936,125115
393,520,856,137947,125115
395,520,856,137947,125123
