TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
114447,504,7,135420,116799
114450,503,7,135431,116804
114452,504,7,135433,116804
114455,505,7,135436,116806
114457,501,7,135436,116802
8,463,4,57548,57529
11,404,4,73926,73920
13,343,4,90296,90323
16,292,4,106710,116062
18,241,4,123133,116052
21,158,4,134080,116052
23,139,4,133880,116053
25,126,4,133910,116057
28,116,4,133904,116052
30,101,4,133901,116055
33,105,4,133899,116058
35,110,4,133899,116060
38,112,4,133901,116055
40,126,4,133913,116061
43,129,4,133914,116058
46,132,4,133926,116071
48,136,4,133915,116060
51,141,4,133928,116059
53,153,4,133930,116064
56,158,4,133935,116062
58,165,4,133940,116064
61,172,4,133944,116063
63,184,4,133960,116073
65,200,4,133966,116079
68,212,4,133957,116077
70,221,5,133980,116071
73,231,4,133987,116083
75,244,4,133990,116084
78,249,4,133986,116083
80,256,4,133997,116087
82,260,4,134005,116086
86,277,5,134010,116089
88,291,5,134012,116094
91,301,5,134028,116097
93,311,5,134033,116099
96,315,5,134045,116096
98,325,5,134038,116103
101,332,5,134054,116101
103,336,5,134064,116102
105,344,5,134060,116108
108,354,5,134070,116103
110,364,5,134065,116111
113,374,5,134077,116122
115,379,5,134083,116110
118,381,5,134100,116118
120,390,5,134102,116118
122,397,5,134098,116117
125,399,5,134108,116122
128,406,5,134127,116125
131,412,5,134125,116128
133,419,5,134110,116126
136,429,5,134128,116131
138,439,5,134128,116129
141,444,5,134135,116131
143,444,5,134134,116134
145,450,5,134141,116132
148,455,5,134136,116127
150,460,5,134146,116138
153,463,5,134151,116141
155,464,5,134156,116139
158,463,5,134151,116129
160,471,5,134160,116150
162,474,5,134160,116143
165,473,6,134164,116145
167,479,5,134176,116149
171,486,6,134173,116152
173,488,6,134183,116154
176,494,6,134186,116147
178,501,6,134190,116159
181,504,6,134186,116153
183,503,6,134194,116162
185,511,6,134194,116164
188,511,6,134198,116161
190,510,6,134208,116166
193,514,6,134197,116172
195,518,6,134211,116165
198,526,6,134213,116166
200,536,6,134219,116174
202,542,6,134225,116173
205,547,6,134225,116165
207,545,6,134215,116168
210,542,6,134228,116168
212,545,6,134239,116176
216,547,6,134234,116171
218,551,6,134233,116177
221,553,6,134232,116172
223,556,6,134238,116178
225,559,6,134250,116176
228,560,6,134243,116181
230,561,6,134247,116166
233,564,7,134252,116166
235,559,6,134257,116187
238,559,7,134256,116187
240,563,6,134259,116183
242,563,7,134261,116183
245,568,7,134267,116186
247,565,7,134264,116184
250,564,7,134277,116181
252,566,7,134269,116184
256,566,7,134272,116196
258,569,7,134273,116188
261,570,7,134284,116188
263,574,7,134285,116203
265,580,7,134285,116197
268,574,7,134298,116191
270,574,7,134290,116196
273,574,7,134290,116190
275,575,7,134292,116212
278,579,7,134294,116212
280,575,7,134309,116197
282,575,7,134309,116194
285,579,7,134297,116197
287,580,7,134308,116197
290,584,7,134310,116207
292,582,7,134313,116202
295,579,7,134315,116220
297,584,7,134325,116210
301,584,7,134325,116204
303,590,7,134321,116220
305,594,7,134332,116220
308,588,7,134338,116207
310,588,7,134338,116216
313,589,7,134338,116213
315,588,7,134336,116213
318,583,7,134349,116220
320,587,7,134356,116221
322,587,8,134349,116221
325,587,7,134358,116221
327,587,7,134358,116228
330,594,8,134358,116226
332,595,7,134362,116232
335,595,7,134362,116230
337,600,8,134372,116230
340,601,7,134388,116228
343,597,8,134388,116233
345,597,8,134379,116237
348,596,8,134384,116235
350,590,7,134384,116234
353,590,7,134394,116242
355,592,7,134399,116242
358,592,8,134410,116241
360,587,8,134410,116246
362,588,8,134407,116244
365,590,8,134413,116244
367,590,8,134424,116248
370,589,8,134424,116241
372,592,8,134416,116241
375,593,8,134432,116258
377,591,8,134432,116256
380,591,8,134429,116260
382,595,8,134441,116263
385,591,8,134441,116263
388,593,8,134427,116263
390,598,8,134460,116262
393,595,8,134460,116264
395,597,8,134447,116273
398,601,8,134464,116273
400,601,8,134464,116276
402,611,8,134464,116272
405,622,8,134466,116272
407,633,8,134477,116277
410,658,8,134477,116275
412,674,8,134483,116269
415,679,8,134448,116269
417,678,8,134494,116275
420,663,8,134494,116284
422,655,8,134488,116284
424,643,8,134497,116289
428,631,8,134501,116289
430,612,8,134475,116288
433,593,8,134475,116291
435,575,8,134499,116290
438,568,8,134512,116290
440,569,8,134520,116292
442,576,8,134520,116296
445,572,8,134520,116301
447,573,8,134528,116301
450,580,8,134532,116299
452,584,8,134532,116300
455,585,8,134532,116306
457,589,8,134544,116301
460,588,8,134542,116301
462,589,8,134555,116306
464,592,8,134555,116318
467,589,8,134558,116317
470,588,8,134567,116317
473,594,8,134603,116317
475,596,8,134592,116327
478,594,8,134592,116330
480,596,8,134596,116331
482,593,8,134599,116335
485,593,8,134612,116335
487,589,8,134612,116340
490,584,8,134619,116332
492,586,8,134653,116340
495,585,8,134647,116347
497,582,8,134647,116354
500,578,8,134649,116349
502,581,8,134677,116361
504,582,8,134698,116364
507,580,8,134703,116367
509,572,8,134711,116367
513,571,8,134704,116375
515,576,8,134711,116377
518,578,8,134727,116382
520,578,8,134732,116387
522,573,8,134728,116385
525,571,8,134728,116396
527,577,8,134752,116398
530,578,8,134746,116399
532,584,8,134765,116393
535,590,8,134771,116401
537,590,8,134779,116410
540,587,8,134786,116415
542,587,8,134803,116428
544,590,8,134802,116415
547,590,8,134821,116425
549,586,8,134814,116424
552,582,8,134825,116428
555,579,8,134838,116428
558,578,8,134845,116436
560,576,8,134833,116431
562,573,8,134850,116446
565,573,8,134870,116446
567,573,8,134878,116441
570,572,8,134872,116447
572,570,8,134874,116441
575,573,8,134874,116436
577,581,8,134875,116429
580,583,8,134883,116441
582,580,8,134889,116442
584,583,8,134893,116446
587,582,7,134890,116451
589,587,8,134904,116449
592,590,7,134909,116465
594,590,8,134912,116455
598,587,8,134919,116459
600,590,8,134907,116456
602,590,8,134911,116455
605,586,7,134914,116451
607,587,8,134915,116451
610,584,8,134896,116441
612,589,7,134865,116440
615,594,8,134859,116435
