TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
165707,444,146,128125,110354
165710,442,145,128141,110350
165712,441,145,128155,110351
165715,440,145,128157,110354
6,456,145,0,57531
8,445,145,57558,57531
11,427,144,90326,73943
13,399,144,90326,90289
16,372,144,106701,106698
18,332,144,123075,109623
21,301,144,125905,109623
23,234,143,125906,109633
26,204,143,125939,109646
28,180,143,125977,109670
30,153,142,126027,109687
33,134,142,126072,109687
35,89,142,126083,109702
38,74,142,126130,109711
40,61,141,126160,109717
44,50,141,126220,109735
46,38,141,126257,109751
48,26,141,126287,109765
51,10,140,126329,109780
53,6,140,126377,109788
56,4,140,126397,109807
58,3,139,126447,109816
61,2,139,126487,109831
63,1,139,126523,109842
66,1,139,126556,109852
68,0,138,126573,109863
70,0,138,126626,109872
73,0,138,126665,109890
75,0,138,126695,109898
78,0,137,126719,109912
80,0,137,126756,109918
83,0,137,126787,109931
86,0,136,126827,109937
88,0,136,126859,109951
91,0,136,126887,109966
93,0,136,126917,109970
96,0,136,126956,109981
98,0,136,126988,109993
101,0,135,127018,109995
103,0,135,127051,110009
106,3,135,127095,110023
108,15,135,127108,110033
110,20,135,127149,110045
113,28,135,127180,110054
115,34,135,127222,110059
118,43,134,127241,110067
120,49,134,127272,110079
123,56,134,127286,110093
125,62,134,127322,110106
128,68,133,127346,110105
131,76,133,127371,110111
133,81,133,127381,110125
136,89,133,127401,110126
138,96,133,127425,110126
141,106,133,127450,110132
143,115,133,127474,110140
146,126,132,127477,110149
148,136,132,127497,110151
150,144,132,127518,110157
153,152,132,127518,110156
155,164,132,127532,110163
158,175,132,127554,110158
160,183,132,127562,110174
163,193,132,127582,110174
165,205,132,127584,110175
167,215,132,127581,110183
171,228,132,127582,110176
173,234,131,127584,110183
176,242,131,127590,110178
178,249,131,127584,110182
181,259,131,127583,110173
183,267,131,127578,110175
186,277,131,127576,110171
188,286,131,127557,110167
190,294,131,127557,110169
193,303,131,127545,110174
195,309,131,127533,110170
198,313,131,127532,110162
200,321,131,127523,110141
203,328,131,127506,110156
205,337,131,127495,110151
207,343,130,127494,110120
210,347,130,127480,110140
212,352,130,127463,110139
216,359,131,127459,110143
