TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
55085,506,322,130344,121440
55087,506,322,130362,121449
55090,505,322,130375,121453
55092,506,322,130393,121466
55085,506,322,130344,121440
55087,506,322,130362,121449
55090,505,322,130375,121453
55092,506,322,130393,121466
55085,506,322,130344,121440
55087,506,322,130362,121449
55090,505,322,130375,121453
55092,506,322,130393,121466
6,503,328,0,0
8,504,327,57581,57483
11,505,327,73957,73933
13,505,327,90340,90325
15,506,328,106713,106731
18,506,328,123119,121793
20,506,328,131402,121782
23,506,328,131208,121797
25,506,328,131235,121809
28,506,328,131255,121809
30,508,328,131268,121819
33,509,328,131299,121834
35,510,328,131323,121841
37,510,328,131345,121846
40,510,328,131365,121855
43,513,328,131378,121867
46,516,328,131401,121872
48,523,328,131435,121881
51,532,328,131460,121895
53,554,328,131498,121909
55,563,328,131518,121911
58,572,328,131541,121933
60,574,328,131580,121943
63,565,329,131602,121951
65,543,328,131627,121964
68,518,329,131657,121973
70,484,328,131687,121982
73,473,328,131718,122004
75,464,328,131751,122005
77,457,329,131784,122018
80,452,329,131824,122037
82,452,329,131851,122051
86,454,329,131874,122065
88,457,329,131900,122072
91,461,329,131942,122083
93,468,329,131958,122096
95,471,329,131985,122114
98,476,329,132027,122116
100,480,329,132058,122142
103,486,329,132094,122146
105,493,329,132125,122165
108,497,329,132139,122171
110,502,329,132179,122184
113,505,329,132212,122192
115,512,329,132232,122207
117,514,329,132259,122217
120,516,329,132303,122233
122,517,329,132320,122235
125,519,329,132333,122252
128,520,329,132376,122260
131,520,329,132394,122275
133,521,329,132426,122283
135,521,329,132463,122297
138,521,329,132480,122300
140,521,329,132510,122326
143,521,329,132534,122334
145,521,329,132560,122341
148,522,329,132589,122351
150,522,329,132610,122363
153,522,329,132635,122372
155,522,329,132660,122377
157,522,329,132682,122391
160,522,329,132707,122395
162,522,329,132733,122410
165,522,329,132748,122416
167,522,329,132769,122427
171,522,329,132792,122434
173,522,329,132809,122443
175,522,329,132833,122453
178,522,329,132853,122462
180,522,329,132878,122464
183,522,330,132887,122475
185,522,329,132910,122479
188,522,329,132924,122486
190,521,329,132943,122489
193,521,329,132955,122497
195,521,329,132978,122501
197,521,330,132998,122506
200,520,329,133018,122519
202,521,330,133022,122520
205,520,329,133032,122529
207,521,330,133056,122534
210,520,330,133056,122534
212,521,330,133076,122550
215,521,330,133102,122550
218,521,329,133107,122564
220,521,330,133127,122561
223,521,329,133131,122569
225,521,330,133147,122576
228,521,330,133157,122579
230,521,329,133180,122584
233,521,330,133180,122594
235,521,330,133198,122595
237,521,330,133218,122595
240,522,330,133235,122608
242,522,330,133244,122607
245,522,330,133244,122611
247,522,330,133256,122613
250,523,330,133269,122613
252,523,330,133286,122623
254,523,330,133286,122631
258,523,330,133302,122634
260,523,330,133314,122634
263,524,330,133332,122649
265,524,330,133336,122653
268,524,330,133336,122656
270,524,330,133355,122657
273,524,330,133368,122657
275,525,330,133372,122660
277,525,330,133372,122663
280,526,330,133364,122656
282,526,330,133364,122656
285,526,330,133369,122661
287,526,330,133349,122643
290,526,330,133333,122650
292,526,330,133333,122634
294,527,330,133301,122616
297,527,330,133225,122597
300,527,330,133173,122597
303,526,330,133104,122532
305,526,330,133104,122504
308,526,330,133035,122458
310,526,330,132830,122458
313,525,330,132720,122410
315,524,330,132720,122306
317,523,330,132601,122255
320,522,330,132344,122198
322,521,330,132344,122140
325,519,330,132065,122083
327,518,330,131920,122083
330,516,330,131794,122019
332,513,330,131794,121894
334,510,330,131628,121839
337,508,330,131351,121783
339,507,330,131211,121783
343,504,330,131211,121669
345,503,330,130945,121669
348,502,330,130833,121627
350,499,330,130833,121517
353,498,330,130715,121474
355,497,330,130495,121474
357,496,330,130408,121435
360,494,330,130408,121357
362,493,330,130319,121325
365,492,330,130166,121325
367,492,330,130112,121302
370,491,330,130112,121255
372,491,330,130012,121255
374,491,330,129975,121233
377,491,330,129975,121206
379,491,330,129932,121194
382,491,330,129874,121194
385,491,330,129859,121183
388,491,330,129859,121164
390,491,330,129828,121161
393,491,330,129795,121161
395,491,330,129795,121155
397,492,330,129796,121149
400,492,330,129785,121158
402,492,330,129785,121160
405,493,330,129783,121161
407,493,330,129781,121163
410,494,330,129789,121163
412,494,330,129815,121170
414,494,330,129815,121179
417,495,330,129837,121179
419,496,330,129848,121193
422,496,330,129848,121210
424,497,330,129875,121224
428,497,330,129900,121224
430,497,330,129954,121233
433,498,330,129954,121257
435,498,330,129996,121257
437,498,330,129996,121282
440,498,330,130031,121290
442,499,330,130057,121306
445,499,330,130084,121318
447,499,330,130127,121335
450,500,331,130164,121335
452,500,330,130203,121351
454,500,330,130245,121369
457,500,330,130289,121395
