TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
5,500,419,0,0
7,498,418,57809,58055
9,497,418,74278,74359
11,496,418,74278,90700
13,496,418,90404,107117
15,494,417,106987,107117
17,493,417,121319,121557
19,492,417,121535,121727
21,492,417,121535,121726
23,492,417,121532,121726
25,491,417,121509,121719
27,491,417,121503,121719
29,490,417,121516,121709
31,489,417,121516,121726
33,489,417,121500,121726
35,489,416,121500,121729
36,489,416,121498,121714
38,489,416,121498,121721
40,489,416,121512,121721
43,489,416,121494,121721
45,489,416,121515,121712
47,489,416,121515,121707
49,489,416,121517,121707
51,489,416,121498,121724
53,489,416,121498,121723
55,489,416,121496,121715
57,490,415,121489,121701
59,490,415,121499,121701
61,491,415,121505,121732
63,491,415,121505,121720
65,492,415,121501,121702
67,493,415,121496,121709
69,493,415,121496,121736
71,494,415,121494,121736
73,494,415,121494,121708
75,495,415,121496,121715
77,495,415,121498,121700
79,496,415,121498,121693
80,496,414,121509,121693
82,497,415,121484,121694
84,497,414,121508,121711
87,498,414,121508,121704
89,499,414,121495,121694
91,499,414,121500,121694
93,499,414,121497,121690
95,500,414,121474,121715
97,500,414,121530,121711
99,500,414,121530,121705
101,501,414,121511,121698
103,501,414,121503,121698
105,502,414,121489,121719
107,502,414,121504,121730
109,502,414,121513,121697
111,502,414,121520,121697
113,503,414,121520,121724
115,503,414,121512,121699
117,503,414,121535,121721
119,503,414,121535,121699
121,504,413,121530,121699
122,504,414,121530,121711
124,504,414,121542,121736
126,504,414,121542,121732
129,505,413,121564,121709
131,505,413,121519,121709
133,505,413,121541,121720
135,505,413,121553,121732
137,505,413,121558,121725
139,505,413,121543,121725
141,505,413,121563,121732
143,506,413,121563,121727
145,506,413,121556,121732
147,506,413,121564,121756
149,506,413,121559,121756
151,506,413,121559,121734
153,506,413,121566,121736
155,506,413,121637,121727
157,506,413,121595,121754
159,506,413,121570,121754
161,507,413,121570,121732
163,508,413,121593,121732
164,509,413,121575,121735
166,511,413,121555,121735
168,512,413,121588,121739
171,512,413,121588,121726
173,513,413,121576,121730
175,513,413,121572,121729
177,515,413,121591,121743
179,516,413,121591,121740
181,516,413,121588,121740
183,517,413,121590,121749
185,517,413,121580,121738
187,518,413,121591,121735
189,519,413,121591,121738
191,519,413,121580,121738
193,520,413,121589,121723
195,521,413,121571,121738
197,520,413,121571,121700
199,519,413,121571,121728
201,519,413,121576,121728
203,518,413,121576,121738
205,517,413,121573,121738
207,515,413,121565,121721
208,513,413,121565,121716
210,513,413,121541,121716
212,511,413,121551,121716
215,510,413,121565,121705
217,509,413,121565,121702
219,506,413,121566,121706
221,506,413,121562,121706
223,505,413,121545,121717
225,504,413,121544,121689
227,504,413,121549,121700
229,503,413,121550,121700
231,502,413,121550,121699
233,502,413,121530,121689
235,501,413,121562,121691
237,500,412,121519,121694
239,500,412,121515,121694
241,499,412,121515,121703
243,499,413,121558,121675
245,499,412,121518,121689
247,499,412,121530,121665
249,499,412,121530,121691
250,499,413,121524,121691
252,499,413,121487,121697
254,499,413,121533,121685
257,500,413,121533,121681
259,500,412,121538,121681
261,500,412,121515,121687
263,500,412,121570,121710
265,500,412,121523,121676
267,500,412,121509,121676
269,501,412,121521,121677
271,501,412,121521,121693
273,501,412,121506,121694
275,501,412,121519,121721
277,501,412,121495,121721
279,501,412,121523,121680
281,501,412,121523,121692
283,502,412,121499,121675
285,502,412,121539,121683
287,503,412,121494,121683
289,503,412,121494,121679
291,503,412,121509,121679
292,503,412,121493,121669
294,503,412,121498,121669
296,503,412,121514,121686
299,503,412,121514,121656
301,504,412,121509,121684
303,504,412,121505,121676
305,504,412,121540,121695
307,505,412,121540,121676
309,505,412,121532,121674
311,505,412,121524,121674
313,505,412,121494,121681
315,505,412,121524,121681
317,505,412,121524,121666
319,505,412,121519,121669
321,503,412,121523,121669
323,499,412,121490,121680
325,499,412,121532,121670
327,486,412,121532,121662
329,486,412,121506,121662
331,479,412,121504,121664
333,474,412,121529,121664
335,471,412,121487,121660
336,470,412,121512,121676
338,472,412,121512,121664
340,479,412,121528,121692
343,496,412,121493,121672
345,511,412,121505,121672
347,537,412,121524,121692
349,565,412,121524,121674
351,592,412,121525,121668
353,631,412,121560,121680
355,668,412,121533,121681
357,689,412,121533,121668
359,689,412,121534,121668
361,715,412,121525,121665
363,739,413,121499,121682
365,740,413,121533,121658
367,725,413,121533,121686
369,725,413,121521,121686
371,673,413,121515,121681
373,634,413,121505,121681
375,577,413,121531,121663
377,503,413,121531,121666
378,477,413,121531,121666
380,450,413,121517,121696
382,435,413,121515,121649
385,426,413,121515,121668
387,424,413,121527,121668
389,426,413,121531,121667
391,433,413,121518,121673
393,440,413,121554,121660
395,447,413,121554,121671
397,456,412,121509,121674
399,461,413,121525,121674
401,466,413,121520,121663
403,470,413,121538,121673
405,472,413,121527,121651
407,474,413,121515,121651
409,476,413,121515,121685
411,477,413,121574,121645
413,479,413,121546,121673
415,480,413,121546,121653
417,480,413,121516,121653
419,481,413,121516,121674
420,482,413,121545,121651
422,484,413,121531,121660
424,485,413,121537,121660
427,486,413,121537,121663
429,487,413,121544,121658
431,487,413,121543,121660
433,489,413,121533,121676
435,490,413,121533,121642
437,491,413,121552,121643
439,492,413,121517,121643
441,492,413,121525,121652
443,493,413,121549,121661
445,494,413,121549,121656
447,494,413,121540,121638
449,495,413,121522,121638
451,495,413,121523,121661
453,496,413,121524,121661
455,496,413,121524,121623
457,497,413,121529,121623
459,497,413,121529,121665
461,498,413,121518,121637
463,498,413,121518,121658
464,498,412,121549,121646
466,499,412,121527,121646
468,499,412,121538,121661
471,499,412,121514,121640
473,500,412,121514,121655
475,501,412,121516,121640
477,501,412,121522,121640
479,502,412,121538,121642
481,502,412,121533,121651
483,503,412,121543,121641
485,503,412,121520,121641
487,504,412,121520,121647
489,504,412,121534,121629
491,505,412,121570,121648
493,505,412,121542,121636
495,505,411,121506,121636
497,506,411,121533,121639
499,506,411,121533,121655
501,507,411,121503,121633
503,507,411,121503,121630
505,508,411,121501,121630
506,508,411,121501,121625
508,509,411,121528,121661
510,510,411,121486,121613
513,510,411,121486,121618
515,511,411,121520,121635
517,512,411,121494,121635
519,512,411,121495,121611
521,513,411,121503,121632
523,514,411,121503,121603
525,514,411,121484,121601
527,515,411,121472,121601
529,516,411,121483,121610
531,516,411,121500,121629
533,517,410,121486,121585
535,517,410,121463,121585
537,518,410,121463,121629
539,519,410,121475,121601
541,519,410,121491,121609
543,520,410,121491,121596
545,521,410,121475,121596
547,521,410,121475,121605
548,522,410,121475,121599
550,522,410,121490,121592
552,522,410,121467,121592
555,522,410,121470,121603
557,522,410,121470,121589
559,523,410,121497,121601
561,523,410,121450,121594
563,523,410,121450,121585
565,524,410,121471,121577
567,524,410,121458,121577
569,524,410,121434,121588
571,524,410,121447,121581
573,524,410,121447,121555
575,524,410,121437,121582
577,523,410,121420,121582
579,523,410,121414,121579
581,523,410,121451,121578
583,522,410,121438,121578
585,521,410,121438,121582
587,521,410,121436,121582
589,519,410,121399,121587
591,518,410,121394,121587
592,516,410,121428,121594
594,515,410,121428,121556
596,514,409,121415,121556
599,512,409,121375,121553
601,511,409,121385,121553
603,509,409,121394,121579
605,508,409,121394,121550
607,507,409,121392,121571
609,505,409,121398,121568
611,503,409,121411,121585
613,502,409,121373,121585
615,501,409,121334,121572
617,500,409,121334,121549
619,499,409,121384,121577
621,497,409,121358,121510
623,496,409,121369,121510
625,496,409,121369,121566
627,495,409,121314,121568
629,495,409,121314,121564
631,494,409,121364,121577
633,493,409,121389,121573
634,493,409,121377,121573
636,493,409,121391,121580
638,493,409,121391,121563
641,493,409,121387,121572
643,493,409,121399,121577
645,493,409,121383,121577
647,493,409,121386,121565
649,493,409,121396,121558
651,493,409,121383,121583
653,493,409,121383,121565
655,493,409,121403,121575
657,493,409,121403,121575
659,493,409,121374,121594
661,494,409,121403,121569
663,494,409,121391,121569
665,494,409,121391,121591
667,495,409,121339,121577
669,495,409,121431,121580
671,495,409,121431,121587
673,496,409,121392,121587
675,496,409,121392,121578
676,496,409,121445,121578
678,497,409,121397,121583
680,498,409,121403,121583
683,498,409,121411,121584
685,499,409,121411,121576
687,499,409,121445,121587
689,500,409,121437,121569
691,501,409,121437,121589
693,501,409,121425,121567
695,501,409,121400,121567
697,502,409,121411,121588
699,502,409,121423,121558
701,502,409,121417,121573
703,503,409,121417,121577
705,503,409,121432,121577
707,503,409,121434,121590
709,503,409,121426,121590
711,504,409,121454,121583
713,504,409,121454,121595
715,504,409,121440,121595
717,504,409,121424,121587
719,504,409,121425,121587
720,505,409,121460,121584
722,505,409,121460,121582
724,505,409,121440,121582
727,506,409,121448,121582
729,506,409,121451,121593
731,506,409,121438,121593
733,505,409,121440,121582
735,505,409,121440,121576
737,506,409,121437,121604
739,506,409,121484,121590
741,506,409,121442,121590
743,507,409,121480,121580
745,507,409,121480,121585
747,508,409,121445,121619
749,508,409,121435,121611
751,508,409,121444,121611
753,508,409,121471,121588
755,508,409,121471,121620
757,507,409,121466,121619
759,507,409,121466,121608
761,507,409,121494,121615
762,507,409,121478,121615
764,507,409,121481,121607
766,507,409,121472,121606
769,507,409,121472,121619
771,508,409,121490,121604
773,509,409,121483,121604
775,510,409,121477,121609
777,511,409,121465,121628
779,512,409,121476,121612
781,513,409,121476,121604
783,514,409,121490,121612
785,515,409,121497,121612
787,516,409,121478,121608
789,517,409,121506,121620
791,517,409,121506,121616
793,517,409,121491,121620
795,518,409,121492,121620
797,519,409,121473,121604
799,519,409,121453,121625
801,521,409,121453,121608
803,521,409,121469,121608
804,521,409,121485,121604
806,521,409,121531,121604
808,521,409,121475,121606
811,520,409,121481,121624
813,519,409,121481,121606
815,518,409,121502,121617
817,517,409,121468,121612
819,516,409,121477,121612
821,515,409,121483,121616
823,514,410,121483,121604
825,513,409,121485,121593
827,511,409,121515,121606
829,509,410,121456,121606
831,507,410,121469,121611
833,507,410,121469,121611
835,506,409,121477,121604
837,505,410,121492,121605
839,504,410,121492,121594
841,504,409,121471,121594
843,503,410,121471,121598
845,503,410,121473,121611
847,502,410,121473,121618
848,502,410,121465,121589
850,501,410,121452,121589
852,501,410,121454,121590
855,501,410,121479,121614
857,501,410,121503,121608
859,502,410,121503,121603
861,502,410,121479,121600
863,502,410,121443,121600
865,502,410,121454,121609
867,502,410,121477,121608
869,502,410,121477,121596
871,501,410,121450,121597
873,501,410,121455,121597
875,501,410,121450,121605
877,501,410,121473,121626
879,501,410,121466,121626
881,502,410,121466,121580
883,502,410,121466,121580
885,502,410,121460,121589
887,502,410,121474,121607
889,503,410,121474,121593
890,503,410,121474,121593
892,503,410,121474,121603
894,504,410,121467,121597
897,504,410,121497,121623
899,504,410,121460,121623
901,504,410,121482,121600
903,504,410,121482,121590
905,505,410,121480,121601
907,505,410,121454,121628
909,505,410,121456,121628
911,506,410,121491,121612
913,506,410,121491,121584
915,506,410,121485,121614
917,506,410,121499,121621
919,506,411,121490,121604
921,506,410,121490,121604
923,507,410,121512,121619
925,507,411,121492,121614
927,507,411,121510,121614
929,507,411,121499,121626
931,507,411,121499,121604
932,505,411,121498,121608
934,500,411,121502,121601
936,496,411,121518,121601
939,490,411,121495,121621
941,480,411,121495,121614
943,480,411,121537,121614
945,474,411,121502,121616
947,473,411,121550,121624
949,475,411,121550,121619
951,475,411,121546,121634
953,498,411,121528,121634
955,516,411,121496,121612
957,541,411,121533,121610
959,565,411,121533,121608
961,565,411,121511,121608
963,605,411,121514,121618
965,629,411,121496,121618
967,661,411,121509,121619
969,697,411,121509,121602
971,697,411,121519,121602
973,719,411,121521,121617
975,731,411,121555,121617
976,734,411,121511,121615
978,723,411,121536,121618
980,687,411,121536,121605
983,644,411,121534,121605
985,585,411,121506,121617
987,528,412,121497,121627
989,490,411,121497,121615
991,465,411,121528,121615
993,443,411,121499,121609
995,431,411,121519,121618
997,425,411,121519,121595
999,423,411,121524,121607
1001,426,411,121504,121607
1003,432,411,121506,121588
1005,432,411,121500,121615
