TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
5,473,444,0,0
7,476,444,57868,57867
9,479,444,74211,74266
11,480,443,74211,90596
13,480,443,90421,107004
15,482,443,107122,107004
17,483,443,120180,119949
19,484,443,120379,120119
21,485,443,120379,120113
23,485,443,120363,120113
25,486,443,120372,120094
27,486,443,120346,120094
29,487,443,120361,120121
31,488,442,120361,120115
33,488,443,120349,120115
35,489,443,120356,120092
36,490,443,120348,120093
38,491,442,120348,120088
40,491,442,120359,120088
43,492,442,120327,120069
45,492,442,120364,120098
47,492,442,120358,120077
49,493,442,120363,120077
51,493,442,120333,120069
53,493,442,120333,120084
55,494,442,120341,120055
57,495,441,120319,120057
59,495,441,120307,120057
61,496,442,120327,120070
63,496,441,120327,120042
65,497,441,120331,120055
67,498,441,120334,120040
69,498,441,120334,120077
71,499,441,120319,120077
73,500,441,120319,120047
75,500,441,120315,120037
77,500,441,120320,120027
79,501,441,120320,120036
80,501,441,120329,120036
82,502,441,120293,120037
84,502,441,120312,120039
87,503,440,120312,120029
89,504,440,120302,120038
91,504,440,120310,120038
93,505,440,120304,120034
95,506,440,120307,120043
97,506,440,120335,120040
99,507,440,120335,120035
101,508,440,120336,120054
103,508,440,120303,120054
105,508,440,120315,120044
107,508,440,120329,120055
109,508,440,120318,120035
111,509,440,120308,120035
113,510,440,120308,120067
115,510,440,120316,120058
117,511,440,120331,120062
119,512,440,120331,120052
121,513,440,120336,120052
122,513,440,120336,120066
124,514,440,120339,120063
126,514,440,120339,120074
129,514,439,120359,120063
131,515,439,120331,120063
133,515,439,120337,120063
135,516,439,120340,120071
137,516,440,120340,120056
139,516,439,120323,120056
141,517,439,120350,120074
143,517,439,120350,120062
145,517,439,120331,120073
147,517,439,120356,120089
149,517,439,120333,120089
151,517,439,120333,120083
153,517,439,120346,120052
155,517,439,120409,120065
157,517,439,120372,120066
159,517,439,120330,120066
161,517,439,120330,120080
163,517,439,120363,120080
164,516,439,120326,120077
166,516,439,120332,120077
168,515,439,120341,120073
171,515,439,120341,120053
173,516,439,120336,120066
175,516,439,120301,120047
177,516,439,120321,120077
179,516,439,120321,120052
181,515,439,120305,120052
183,515,439,120313,120062
185,514,439,120306,120066
187,513,439,120304,120056
189,512,438,120304,120068
191,512,438,120298,120068
193,511,438,120300,120052
195,509,438,120266,120066
197,508,438,120286,120043
199,507,439,120286,120037
201,507,439,120275,120037
203,505,438,120273,120038
205,505,439,120273,120038
207,503,439,120277,120048
208,502,438,120277,120028
210,501,438,120258,120028
212,500,438,120252,120061
215,500,438,120257,120052
217,499,438,120257,120049
219,499,438,120292,120046
221,498,438,120248,120046
223,498,438,120277,120059
225,498,438,120267,120051
227,498,438,120276,120057
229,498,438,120261,120057
231,498,438,120261,120070
233,498,438,120263,120045
235,498,438,120284,120071
237,498,438,120253,120111
239,498,438,120262,120111
241,498,438,120262,120072
243,498,438,120318,120073
245,499,438,120264,120077
247,499,438,120278,120050
249,499,438,120278,120079
250,499,438,120307,120079
252,499,438,120275,120083
254,500,438,120315,120080
257,500,438,120315,120080
259,500,438,120305,120080
261,500,438,120289,120070
263,500,438,120357,120102
265,500,438,120302,120089
267,501,438,120316,120089
269,501,438,120317,120078
271,502,438,120317,120083
273,502,438,120301,120088
275,503,438,120323,120094
277,503,438,120306,120094
279,503,438,120333,120090
281,504,438,120333,120095
283,504,438,120311,120102
285,505,438,120333,120089
287,505,438,120305,120089
289,506,438,120305,120093
291,507,438,120346,120093
292,508,438,120320,120111
294,510,438,120345,120111
296,511,438,120353,120131
299,513,438,120353,120110
301,514,438,120365,120112
303,515,438,120349,120118
305,517,438,120380,120129
307,518,438,120380,120119
309,519,438,120368,120117
311,520,438,120362,120117
313,520,438,120353,120141
315,521,438,120387,120137
317,522,438,120387,120124
319,522,438,120373,120144
321,524,438,120379,120144
323,524,438,120365,120134
325,524,438,120419,120139
327,524,438,120419,120125
329,524,438,120387,120125
331,523,438,120394,120140
333,522,438,120402,120140
335,520,438,120380,120138
336,518,438,120401,120163
338,517,438,120401,120125
340,516,438,120410,120152
343,514,438,120386,120156
345,514,438,120410,120156
347,512,438,120410,120166
349,511,438,120410,120150
351,509,438,120429,120155
353,508,438,120439,120154
355,506,438,120420,120159
357,505,438,120420,120157
359,505,438,120433,120157
361,504,438,120415,120142
363,503,438,120397,120161
365,502,438,120421,120134
367,501,438,120421,120155
369,501,438,120402,120155
371,501,438,120409,120155
373,500,437,120419,120155
375,500,438,120438,120164
377,500,438,120438,120144
378,500,437,120412,120144
380,500,438,120425,120184
382,499,438,120410,120140
385,499,437,120410,120149
387,499,438,120444,120149
389,499,438,120406,120142
391,499,438,120425,120175
393,499,438,120439,120157
395,499,437,120439,120147
397,500,438,120423,120166
399,500,438,120419,120166
401,500,438,120415,120165
403,500,438,120430,120179
405,500,438,120422,120167
407,500,437,120422,120167
409,501,437,120422,120180
411,501,437,120448,120144
413,501,437,120433,120169
415,501,437,120433,120159
417,501,437,120424,120159
419,501,438,120424,120189
420,502,438,120447,120168
422,502,438,120434,120166
424,502,438,120432,120166
427,502,438,120432,120177
429,503,437,120434,120158
431,503,437,120446,120170
433,504,437,120440,120193
435,504,437,120440,120177
437,504,437,120456,120193
439,504,438,120431,120193
441,504,437,120428,120180
443,504,437,120453,120195
445,504,437,120453,120175
447,504,437,120444,120174
449,498,437,120424,120174
451,498,437,120403,120205
453,491,437,120448,120205
455,479,437,120448,120174
457,475,438,120454,120174
459,470,437,120454,120211
461,466,437,120439,120181
463,464,437,120439,120211
464,467,437,120470,120200
466,473,437,120438,120200
468,489,437,120457,120205
471,507,437,120439,120201
473,528,437,120439,120217
475,561,437,120453,120208
477,589,437,120442,120208
479,622,437,120477,120206
481,651,437,120469,120225
483,668,437,120449,120217
485,683,437,120439,120217
487,700,437,120439,120227
489,718,437,120484,120210
491,727,438,120494,120222
493,720,438,120478,120224
495,697,438,120464,120224
497,653,438,120464,120219
499,609,438,120465,120219
501,557,438,120467,120214
503,511,438,120467,120217
505,478,438,120460,120217
506,451,438,120460,120235
508,434,437,120486,120249
510,427,437,120465,120218
513,425,437,120465,120230
515,430,438,120504,120225
517,436,437,120484,120225
519,446,438,120494,120238
521,454,437,120486,120239
523,461,437,120486,120237
525,468,437,120496,120252
527,472,437,120466,120252
529,475,437,120470,120236
531,478,437,120489,120251
533,479,437,120502,120231
535,480,437,120484,120231
537,482,437,120484,120261
539,483,437,120496,120238
541,483,437,120508,120259
543,484,437,120508,120249
545,485,437,120498,120249
547,485,437,120498,120247
548,486,437,120512,120258
550,487,437,120551,120260
552,487,437,120498,120260
555,488,437,120519,120265
557,490,437,120519,120249
559,491,437,120524,120253
561,492,437,120516,120271
563,492,437,120516,120253
565,493,437,120525,120241
567,493,437,120507,120241
569,494,437,120506,120261
571,495,437,120528,120269
573,495,437,120528,120266
575,495,437,120528,120278
577,496,437,120512,120278
579,497,437,120509,120268
581,497,437,120550,120282
583,497,437,120523,120282
585,498,437,120523,120283
587,498,437,120550,120283
589,498,437,120518,120278
591,499,437,120523,120278
592,499,437,120529,120286
594,500,437,120529,120273
596,501,437,120544,120273
599,502,437,120523,120299
601,502,437,120544,120299
603,503,437,120558,120302
605,503,437,120558,120284
607,504,437,120551,120287
609,504,437,120544,120304
611,504,437,120592,120310
613,505,437,120547,120310
615,505,437,120507,120289
617,506,437,120507,120282
619,506,437,120552,120297
621,507,437,120558,120244
623,507,437,120563,120244
625,508,437,120563,120314
627,508,437,120499,120307
629,509,437,120499,120310
631,509,437,120571,120317
633,510,437,120588,120309
634,511,438,120574,120309
636,511,438,120597,120319
638,512,437,120597,120314
641,512,438,120580,120317
643,513,437,120599,120327
645,513,437,120585,120327
647,513,438,120605,120303
649,514,437,120596,120311
651,514,438,120596,120336
653,514,438,120599,120322
655,515,438,120591,120322
657,516,438,120614,120336
659,516,438,120579,120333
661,517,438,120633,120327
663,517,438,120633,120330
665,517,438,120598,120330
667,518,438,120593,120319
669,517,438,120587,120319
671,517,437,120606,120366
673,517,438,120606,120336
675,517,438,120590,120336
676,518,438,120570,120323
678,518,438,120587,120312
680,518,438,120587,120332
683,518,438,120624,120333
685,518,438,120591,120333
687,518,438,120591,120327
689,518,438,120600,120343
691,517,438,120576,120343
693,517,438,120591,120337
695,517,438,120591,120320
697,516,438,120592,120313
699,516,438,120573,120309
701,516,438,120579,120309
703,515,438,120568,120307
705,515,438,120568,120326
707,515,438,120572,120313
709,514,438,120572,120311
711,513,438,120572,120301
713,512,438,120552,120301
715,510,438,120552,120319
717,510,438,120531,120316
719,509,438,120531,120299
720,507,438,120528,120310
722,506,438,120519,120310
724,505,438,120513,120315
727,504,438,120536,120309
729,503,438,120536,120291
731,502,438,120500,120294
733,501,438,120494,120308
735,500,438,120498,120308
737,500,438,120498,120309
739,500,438,120520,120299
741,499,438,120520,120306
743,499,438,120509,120294
745,498,438,120488,120294
747,498,438,120489,120299
749,498,438,120515,120312
751,497,438,120504,120312
753,497,438,120504,120298
755,497,438,120500,120298
757,496,438,120502,120308
759,496,438,120499,120312
761,496,438,120510,120312
762,496,438,120510,120311
764,496,438,120517,120311
766,496,438,120517,120321
769,496,438,120503,120332
771,496,438,120543,120310
773,496,438,120497,120310
775,497,438,120522,120320
777,497,438,120519,120327
779,497,438,120519,120331
781,498,438,120527,120306
783,498,438,120516,120306
785,498,438,120538,120310
787,498,438,120507,120320
789,499,438,120554,120337
791,499,438,120554,120312
793,499,438,120536,120342
795,500,438,120557,120342
797,501,438,120518,120324
799,501,438,120500,120332
801,502,438,120500,120316
803,502,438,120537,120316
804,502,438,120543,120322
806,502,438,120606,120322
808,503,438,120552,120335
811,503,438,120566,120336
813,504,438,120566,120319
815,505,438,120553,120337
817,505,438,120535,120331
819,506,438,120536,120331
821,507,438,120561,120333
823,508,438,120561,120334
825,508,438,120586,120335
827,510,438,120595,120314
829,512,438,120569,120339
831,513,438,120552,120339
833,514,438,120552,120355
835,515,438,120584,120312
837,516,438,120584,120307
839,517,438,120547,120310
841,518,438,120547,120310
843,519,438,120557,120328
845,520,438,120596,120315
847,520,438,120596,120323
848,521,438,120568,120321
850,522,438,120566,120309
852,523,438,120554,120309
855,524,438,120561,120327
857,524,438,120576,120312
859,524,438,120576,120329
861,523,438,120572,120331
863,521,438,120564,120331
865,520,438,120565,120323
867,518,438,120590,120329
869,517,438,120590,120332
871,517,438,120568,120317
873,514,438,120567,120317
875,512,438,120566,120318
877,512,438,120613,120342
879,511,438,120590,120342
881,508,438,120590,120336
883,508,438,120587,120336
885,506,438,120575,120327
887,505,438,120606,120335
889,505,438,120589,120335
890,504,438,120589,120334
892,504,438,120605,120334
894,503,438,120576,120345
897,502,438,120592,120345
899,501,438,120606,120349
901,500,438,120606,120337
903,500,438,120610,120337
905,499,438,120583,120342
907,498,438,120627,120364
909,498,438,120627,120334
911,498,438,120638,120334
913,499,438,120614,120362
915,499,438,120618,120355
917,499,438,120632,120367
919,499,438,120606,120367
921,499,438,120560,120373
923,499,438,120560,120369
925,499,438,120611,120347
927,499,438,120611,120355
929,499,438,120602,120355
931,499,438,120602,120349
932,499,438,120629,120362
934,499,438,120609,120347
936,500,438,120631,120347
939,500,438,120612,120364
941,500,438,120612,120356
943,500,438,120642,120355
945,500,438,120641,120358
