TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
7554,509,24,115719,110998
7556,509,24,115719,111005
7559,509,24,115746,111014
7550,509,24,115711,110993
7554,509,24,115719,110998
7556,509,24,115719,111005
7559,509,24,115746,111014
6,486,15,0,0
8,488,16,57568,57571
11,491,16,73965,73953
13,494,16,90331,90320
15,499,16,106735,106680
18,504,17,116674,111367
20,517,17,116663,111358
23,522,17,116671,111368
25,528,17,116680,111372
28,532,18,116686,111372
30,542,18,116689,111364
33,547,18,116703,111378
35,550,18,116704,111376
37,553,18,116714,111372
40,556,19,116723,111378
43,561,19,116726,111380
46,563,19,116727,111385
48,564,19,116732,111381
51,566,20,116747,111387
53,568,20,116754,111396
55,569,20,116770,111393
58,569,20,116764,111399
60,570,20,116783,111404
63,570,20,116780,111402
65,570,20,116795,111410
68,570,21,116802,111413
70,570,21,116809,111415
73,570,21,116812,111418
75,569,21,116831,111420
77,569,21,116838,111424
80,568,21,116863,111433
82,567,21,116869,111430
86,567,21,116871,111444
88,566,22,116873,111440
91,565,22,116891,111452
93,564,22,116892,111451
95,563,22,116898,111454
98,562,22,116912,111453
100,561,22,116936,111454
103,560,22,116944,111461
105,559,22,116950,111471
108,558,22,116957,111474
110,557,22,116966,111474
113,556,22,116977,111486
115,554,23,116967,111475
117,553,23,116973,111469
120,552,23,116975,111472
122,551,23,116968,111471
125,549,23,116943,111468
128,548,23,116929,111451
131,546,23,116895,111431
133,545,23,116849,111404
135,544,23,116801,111387
138,543,23,116738,111358
140,542,23,116655,111318
143,540,23,116559,111284
145,539,23,116464,111250
148,538,23,116352,111186
150,537,23,116230,111136
153,536,23,116092,111086
155,535,24,115963,111034
157,534,23,115842,110982
160,533,24,115712,110936
162,532,24,115602,110884
165,531,24,115491,110842
167,529,24,115384,110806
171,528,24,115304,110767
173,527,24,115220,110742
175,526,24,115149,110707
178,525,24,115081,110685
180,524,24,115022,110661
183,523,24,114965,110636
185,522,24,114929,110622
188,522,24,114880,110605
190,521,24,114835,110589
193,520,24,114794,110567
195,519,24,114755,110562
197,519,24,114722,110536
200,518,24,114683,110530
202,518,24,114652,110523
205,517,24,114621,110507
207,517,24,114584,110486
210,516,24,114584,110480
212,516,24,114537,110469
215,516,24,114515,110469
218,515,24,114501,110457
220,515,24,114479,110443
223,515,24,114452,110432
225,515,24,114444,110436
228,514,24,114428,110426
230,514,24,114420,110427
233,514,24,114420,110420
235,513,24,114394,110407
237,513,24,114382,110407
240,512,25,114384,110409
242,512,24,114371,110398
245,511,24,114371,110401
247,511,24,114361,110402
250,511,24,114358,110402
252,510,24,114353,110399
254,510,25,114353,110397
258,509,25,114356,110401
260,509,25,114363,110401
263,509,25,114362,110403
265,508,25,114364,110405
268,507,25,114364,110403
270,506,24,114366,110411
273,506,25,114375,110411
275,504,25,114378,110414
277,503,25,114378,110416
280,503,25,114385,110415
282,502,25,114376,110415
285,501,25,114393,110416
287,500,25,114386,110405
290,500,25,114388,110419
292,499,25,114388,110409
294,499,25,114386,110412
297,499,25,114391,110413
300,499,25,114390,110413
303,499,25,114385,110411
305,498,25,114385,110403
308,498,25,114391,110409
310,498,25,114383,110409
313,498,25,114392,110403
315,498,25,114385,110401
317,497,25,114385,110397
320,497,25,114375,110406
322,498,25,114375,110401
325,498,25,114364,110398
327,498,25,114352,110398
330,498,25,114348,110395
332,498,25,114348,110383
334,498,25,114339,110381
337,498,25,114324,110379
339,498,25,114321,110379
343,498,25,114321,110374
345,498,25,114298,110374
348,498,25,114285,110372
350,497,25,114285,110362
353,497,25,114282,110353
355,498,25,114260,110353
357,497,25,114249,110349
360,497,25,114246,110337
362,497,25,114237,110337
365,496,25,114237,110335
367,496,25,114222,110333
370,496,25,114215,110333
372,495,25,114215,110324
374,495,25,114211,110324
377,496,25,114207,110324
379,495,25,114174,110333
382,495,25,114174,110323
385,495,25,114207,110327
388,495,25,114199,110327
390,495,25,114206,110325
393,494,25,114206,110330
395,494,25,114211,110330
397,494,25,114213,110334
400,494,25,114213,110340
402,494,25,114222,110341
405,494,25,114231,110341
407,493,25,114235,110342
410,494,25,114235,110347
412,494,25,114244,110351
414,494,25,114250,110351
417,494,25,114274,110357
419,494,25,114280,110370
422,493,25,114280,110365
424,493,25,114294,110371
428,494,25,114297,110371
430,493,25,114308,110379
433,494,25,114308,110379
435,493,25,114319,110380
437,494,25,114328,110380
440,494,25,114334,110381
442,494,25,114348,110397
445,494,25,114348,110383
447,494,25,114347,110390
450,494,25,114355,110394
452,494,25,114360,110398
454,493,25,114360,110394
457,493,25,114360,110397
459,493,25,114361,110397
462,493,25,114369,110404
464,493,25,114373,110402
467,493,25,114378,110399
470,493,25,114374,110400
473,493,25,114380,110402
475,492,25,114379,110406
477,493,25,114379,110406
480,493,25,114384,110406
482,493,25,114381,110407
485,493,25,114388,110407
487,493,25,114380,110405
490,493,25,114385,110402
492,494,25,114392,110402
494,494,25,114392,110410
497,494,25,114393,110412
499,494,25,114385,110401
502,494,25,114393,110403
504,494,25,114396,110405
507,493,25,114386,110409
509,493,25,114399,110408
513,493,25,114407,110409
515,494,25,114402,110402
517,494,25,114406,110407
520,494,25,114403,110412
522,495,25,114405,110414
525,494,25,114412,110411
527,494,25,114409,110415
530,494,25,114408,110416
532,494,25,114417,110411
534,494,25,114428,110417
537,494,25,114424,110422
539,494,25,114431,110413
542,494,25,114429,110426
544,494,25,114436,110427
547,494,25,114439,110425
549,494,25,114442,110425
552,494,25,114443,110430
555,494,25,114444,110427
557,494,25,114461,110434
560,494,25,114466,110435
562,494,25,114470,110434
565,494,25,114478,110437
567,494,25,114488,110446
570,494,25,114476,110449
572,495,25,114493,110441
574,495,25,114499,110444
577,496,25,114500,110453
579,496,25,114503,110459
582,495,25,114525,110454
584,495,25,114531,110460
587,495,25,114537,110459
589,495,25,114545,110466
592,495,25,114553,110461
594,495,25,114563,110472
596,495,25,114580,110479
600,495,25,114580,110481
602,495,25,114585,110486
605,496,25,114596,110491
607,496,25,114604,110499
610,497,25,114623,110493
612,496,25,114633,110495
614,496,25,114637,110506
617,496,25,114646,110511
619,496,25,114657,110520
622,496,25,114664,110521
624,496,25,114677,110522
627,496,25,114682,110528
629,496,25,114695,110533
632,496,25,114719,110537
634,496,25,114724,110549
636,496,25,114739,110536
640,496,25,114736,110557
642,496,25,114748,110562
645,496,25,114764,110558
647,497,25,114773,110563
650,497,25,114781,110572
652,497,25,114800,110569
654,497,25,114801,110582
657,497,25,114808,110583
659,497,25,114823,110580
662,497,25,114826,110581
664,496,25,114843,110589
667,497,25,114848,110595
669,497,25,114861,110597
672,497,25,114872,110600
674,497,25,114888,110601
676,497,25,114884,110605
679,497,25,114901,110609
681,497,25,114903,110607
685,497,25,114903,110622
687,497,25,114911,110626
690,497,25,114913,110626
692,497,25,114932,110626
694,497,25,114934,110618
697,497,25,114939,110624
699,497,25,114955,110632
702,497,25,114957,110635
704,497,25,114961,110630
707,497,25,114961,110630
709,497,25,114971,110638
712,497,25,114977,110638
714,497,25,114985,110640
716,497,25,114983,110644
719,497,25,114986,110640
721,497,25,114986,110652
724,498,25,115006,110654
727,498,25,115014,110661
730,497,25,115014,110658
732,497,25,115024,110661
734,497,25,115028,110661
737,497,25,115045,110673
739,498,25,115045,110670
742,498,25,115050,110678
744,498,25,115059,110678
747,498,26,115074,110673
749,498,25,115070,110680
752,498,25,115079,110688
754,498,25,115090,110690
756,498,25,115094,110690
759,499,25,115102,110698
761,498,25,115102,110695
764,498,25,115117,110701
766,499,25,115121,110701
770,499,25,115136,110703
772,499,26,115140,110710
774,499,25,115140,110712
777,499,25,115151,110722
779,499,26,115160,110722
782,499,25,115165,110721
784,499,25,115165,110720
787,499,25,115181,110728
789,499,25,115189,110728
792,499,26,115197,110731
794,499,25,115200,110737
796,499,25,115200,110738
799,499,25,115226,110748
801,499,25,115234,110748
804,499,25,115241,110749
806,499,25,115241,110758
809,499,25,115249,110752
812,499,25,115265,110752
814,499,25,115276,110760
817,499,25,115278,110764
819,499,26,115283,110764
822,499,25,115283,110774
824,499,26,115298,110779
827,499,25,115319,110779
829,499,25,115319,110784
832,499,25,115335,110786
834,499,25,115351,110786
836,499,25,115364,110796
839,499,25,115365,110797
841,499,26,115377,110797
844,499,25,115377,110803
846,500,25,115386,110811
849,500,25,115396,110811
851,500,25,115396,110821
854,500,25,115415,110825
857,500,25,115434,110825
859,500,25,115442,110827
862,500,25,115442,110834
864,500,25,115460,110834
867,500,25,115460,110848
