TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
7701,518,228,109627,110687
7693,520,228,109499,110624
7696,519,228,109536,110654
7698,519,228,109575,110668
7701,518,228,109627,110687
6,501,219,0,0
8,507,219,57543,57596
11,513,219,73946,73914
13,516,219,90341,90354
15,518,219,106733,106725
18,518,219,109884,111138
20,519,219,109901,111152
23,518,220,109913,111161
25,518,220,109947,111172
28,517,220,109974,111176
30,515,220,110003,111193
33,514,220,110024,111205
35,513,220,110032,111208
37,512,220,110062,111222
40,512,221,110083,111242
43,511,221,110112,111247
46,511,221,110130,111260
48,510,221,110158,111267
51,510,221,110189,111284
53,509,221,110205,111294
55,507,221,110232,111308
58,507,221,110274,111321
60,507,221,110292,111335
63,506,222,110327,111352
65,505,222,110350,111360
68,505,222,110376,111382
70,505,222,110400,111379
73,505,222,110421,111390
75,506,222,110441,111403
77,507,222,110465,111418
80,508,222,110495,111431
82,509,222,110520,111441
86,511,222,110557,111456
88,512,222,110576,111473
91,513,222,110598,111490
93,513,222,110624,111493
95,514,222,110652,111508
98,515,222,110671,111519
100,516,222,110703,111531
103,517,222,110731,111537
105,518,222,110758,111554
108,519,222,110780,111566
110,520,222,110804,111572
113,521,222,110819,111586
115,521,223,110841,111594
117,521,223,110870,111605
120,522,222,110886,111612
122,523,222,110909,111627
125,523,223,110938,111637
128,523,222,110961,111648
131,523,222,110970,111658
133,523,223,111004,111663
135,523,223,111019,111680
138,522,223,111041,111688
140,522,223,111063,111700
143,522,223,111070,111701
145,522,223,111090,111709
148,522,223,111107,111721
150,521,223,111130,111719
153,521,223,111145,111735
155,520,223,111162,111741
157,520,223,111180,111751
160,519,223,111192,111757
162,519,223,111206,111745
165,519,223,111222,111771
167,519,223,111251,111785
171,518,223,111255,111795
173,517,223,111268,111800
175,516,223,111293,111799
178,516,223,111305,111812
180,516,223,111324,111822
183,516,223,111336,111832
185,516,223,111368,111839
188,516,223,111384,111848
190,516,223,111407,111864
193,515,223,111415,111852
195,514,223,111437,111880
197,514,222,111462,111880
200,514,222,111476,111897
202,514,223,111494,111908
205,514,222,111525,111924
207,512,222,111547,111933
210,510,222,111563,111939
212,507,223,111588,111957
215,505,222,111588,111968
218,503,222,111644,111981
220,501,222,111664,111996
223,500,222,111693,112004
225,500,222,111715,112015
228,501,222,111743,112022
230,504,222,111775,112040
233,507,222,111775,112051
235,512,222,111813,112061
237,518,222,111827,112061
240,533,222,111847,112077
242,543,222,111879,112082
245,550,222,111879,112093
247,559,222,111916,112102
250,564,222,111930,112102
252,572,222,111962,112132
254,573,222,111982,112140
258,575,222,112006,112149
260,575,222,112006,112156
263,573,222,112048,112173
265,569,222,112071,112183
268,565,222,112071,112184
270,539,223,112110,112206
273,438,225,112137,112206
275,170,228,112171,112225
277,109,233,112171,112228
280,60,236,112216,112246
282,39,238,112227,112246
285,26,241,112265,112256
