,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20,peak vlf,peak lf,peak hf,norm power lf,norm power hf,power ratio,total power,scr_mean,scr_std,scr_max,scr_min,scr_range,scr_kurtosis,scr_skew,scr_momentum,scr_activity,scr_complexity,scr_mobility,scr_rms,scr_acr_length,scr_integral,scr_average_power,scr_f1sc,scr_f2sc,scr_f3sc,scr_Energy,scr_Entropy,scr_max_freq,scl_mean,scl_std,scl_max,scl_min,scl_range,scl_kurtosis,scl_skew,scl_momentum
S21,0.0832335056025599,73.10763887454972,69.09687165219313,0.37967914438502676,0.7448433919022154,0.0166015625,0.1494140625,0.15625,52.073696374786785,47.926303625213215,1.0865368792470718,1481.2735084653555,-0.00012926389019459362,0.007588814298682722,0.1336695299777997,-0.07123208582216081,0.20490161579996052,93.39924196261113,3.421544955753905,5.759010245989133e-05,5.759010245989133e-05,52.43778147230518,0.013029385430298782,0.007589915125559681,804299.007575499,2324.2566678121843,5.7606811613199625e-05,6.005039591613733,3.558607705594461,1.2601139140683615,9187649.972125057,49851.874862457356,-0.15234375,2.056566935532588,1.0757808006987637,5.592778346127966,1.0849370075602003,4.507841338567766,0.9521293252550769,1.3795355499029125,1.1573043311520732
S22,0.09120600644611979,74.6106879035262,73.76944964749475,0.20155038759689922,0.5503875968992248,0.0244140625,0.1328125,0.2373046875,36.70056173134744,63.29943826865255,0.5797928502237983,2872.457113170021,0.0004072737795348078,0.04295506091951181,0.26492653092248525,-0.15151802747143703,0.41644455839392225,6.53649582498781,1.4451983188696045,0.0018451372585989705,0.0018451372585989705,4.849603400359887,0.0014912997160934894,0.04295699163733963,364504.0007478896,9317.285050944562,0.001845303130530467,384.2676696585722,305.31738916721497,176.90513900593584,47966850.84736166,263104.2155716317,0.01171875,1.7970950819394491,0.6117092317272893,3.1515301266892353,1.1749950208262812,1.9765351058629541,-0.7974698418905803,0.8283186047525092,0.37418818418039046
S23,0.15915712751493954,66.82508636476453,144.9096710674029,0.38461538461538464,0.7189349112426036,0.0234375,0.125,0.1796875,65.32751127197896,34.67248872802103,1.8841310118931176,3865.7533108275866,-4.706970801891629e-05,0.005649025854591856,0.0272843487606422,-0.021660234280694492,0.04894458304133669,2.5845406562712947,0.47691760821824525,3.1911493105847245e-05,3.1911493105847245e-05,20.86134791200121,0.007497940352158871,0.0056492219520266895,255423.00024016193,1032.1582281280735,3.191370866326024e-05,5.2482545037882415,4.101112767842879,1.765061803522613,3416.789196882559,887.4002821371008,0.12109375,0.7373194709556014,0.08517181875464251,0.8863714788630729,0.5577159175592271,0.32865556130384577,-0.39604043174835724,-0.4180985764420642,0.007254238709973674
S24,0.17216779459579193,67.12088248520844,156.1338749819691,0.41475826972010177,0.7468193384223919,0.0390625,0.0400390625,0.1611328125,36.1849527520078,63.815047247992204,0.5670285350003605,6912.416306840401,7.187518658188043e-06,0.0038454906738056836,0.05260639743493115,-0.05136452710766209,0.10397092454259324,55.75651280345945,0.06720463849760312,1.478779852232649e-05,1.478779852232649e-05,2.755078273543088,0.007839424339440269,0.0038454973908131768,540868.0002458278,1075.8740708264759,1.4787850182750951e-05,4.115369138002296,2.290713465662725,1.5885633939165933,221029.84195492484,4330.161594190407,0.48828125,0.7097592639502129,0.1567449232871657,0.9431344834713794,0.4695827115770066,0.4735517718943728,-1.3567517723912037,-0.1810007902383319,0.02456897097629946
S31,0.11040687233805424,54.99655061028761,122.09666103601039,0.6629327902240326,0.8533604887983707,0.015625,0.078125,0.3125,38.8329828541465,61.1670171458535,0.6348680165578253,6281.723320051638,-6.351403430836174e-05,0.012386111203195733,0.10728179209692841,-0.2796182349773191,0.3869000270742475,121.34267057251546,-5.4367466502055874,0.00015341575073793084,0.00015341575073793084,11.481336431467291,0.005145728375646721,0.012386274047125102,801059.0016377487,5485.809639745941,0.00015341978477048486,26.364080976014552,30.223088220134503,32.1591580685096,105916751.95037186,183528.51478322293,-0.0078125,6.979973054768836,0.6334809629108755,8.821093768601331,6.517189749055193,2.303904019546138,1.477608508564539,1.6179234754120684,0.40129813037049006
S32,0.10027082529030897,83.60899752663684,74.17800729921225,0.30063291139240506,0.5981012658227848,0.005859375,0.1240234375,0.173828125,42.30910495766546,57.69089504233454,0.7333757766562355,10075.848360400085,0.0010783352601831458,0.21065037835523656,0.7070259136175255,-5.128879416649921,5.835905330267447,150.79434047140674,-6.667843715764461,0.04437358190120432,0.04437358190120432,2.384609978205403,0.008289791777808682,0.21065313837713803,173634.2646110642,22252.982256102816,0.04437474470813766,22905.515265544116,421.4618964397094,215.32133463167474,160814917351.7691,7724010.979321527,0.15625,8.35791016633459,1.0185524364620258,11.802917595474845,6.88867667752858,4.914240917946265,1.3695588338657636,1.101902352936831,1.0374490658227289
S33,0.12235157719084422,54.59509342164273,136.78811985893245,0.6759581881533101,0.8745644599303136,0.01953125,0.1044921875,0.1640625,47.45083038300076,52.54916961699923,0.9029796422825074,8738.844452556914,-0.0001797917050474248,0.01498869045775052,0.07204175063900102,-0.13184373412206998,0.203885484761071,17.778420836265134,-1.7288450134601125,0.0002246608416382615,0.0002246608416382615,45.3179031818935,0.0043692632063770265,0.014989768733888636,265559.0006139333,2441.549514627838,0.00022469316669546533,10.62054554689597,13.764788924266881,13.605481856427442,156887.54017115646,10756.222712546964,-0.03515625,7.983102868432287,0.18666260785787842,8.277429920291425,7.523675222200309,0.7537546980911163,-1.1690224603609896,-0.07347895833586712,0.034842929172304096
S34,0.15316439280918498,53.835932918477816,175.72698680623006,0.6129541864139021,0.8372827804107424,0.0126953125,0.1103515625,0.150390625,50.319872770417966,49.680127229582034,1.0128772927226923,14536.098788722926,-1.5107990806809581e-05,0.014142605085312863,0.20144307110984835,-0.18714215832375997,0.3885852294336083,58.31974637950825,0.5095410101380718,0.00020001327859911724,0.00020001327859911724,9.524199248501258,0.005206397669230196,0.014142613154947834,548418.001493359,4152.331239609983,0.00020001350685050351,23.5161400143388,28.88432464933903,27.880718483620925,42671175.63812007,100773.5522080942,0.484375,7.229219167340798,0.15069535756893937,7.515953804917943,7.064684216178827,0.45126958873911605,-1.300463914396157,0.5813089561468502,0.022709090792830493
S41,0.09194513220365445,60.65568712517123,91.97597832386292,0.5676657584014533,0.815622161671208,0.013671875,0.0556640625,0.16796875,37.369224388649535,62.63077561135047,0.5966591348084339,3633.537591880816,-7.08359573106622e-05,0.002643863460185958,0.04408328424418858,-0.041075403067725676,0.08515868731191426,43.8546594579128,-1.8178919573405279,6.990013996106467e-06,6.990013996106467e-06,34.08089407464027,0.013531612490223463,0.0026448122294322873,810293.0007385386,1326.9511464120194,6.995031728954586e-06,10.333316880756454,4.236354726762115,2.7437856774708482,36119.37877055491,2806.5473982068133,-0.00390625,1.2792761829225296,0.023636297198219323,1.3339332290956885,1.2500704382869514,0.08386279080873704,-0.759637057421438,0.6569540035978011,0.0005586745452425507
S42,0.057134355775923705,80.71681278096644,43.0336053847274,0.21635883905013192,0.6358839050131926,0.013671875,0.126953125,0.1669921875,48.37113316302058,51.62886683697942,0.9369009262929343,2559.5779522035377,-6.860934882453837e-05,0.08322015483754469,0.41959861623940076,-0.18429991732616988,0.6038985335655707,2.534729063913696,1.2780562870404513,0.006925594171184914,0.006925594171184914,2.9490263705509916,0.0016567327797336936,0.08322018311940718,440094.00418293424,26722.957804749054,0.006925598878427665,1150.6434185372677,519.3534090699474,643.7873112655477,2028330005.1798754,3463125.448872423,0.48046875,4.0938353312562805,0.6811177204652541,4.893438628721459,2.2621826186021696,2.631256010119289,-0.6760039846019619,-0.6890871148775993,0.463921349131784
