TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
135063,515,139,124206,121843
135083,513,139,124173,121831
135003,506,139,124213,121882
135023,509,139,124196,121870
135043,513,139,124213,121856
135063,515,139,124206,121843
135083,513,139,124173,121831
3,0,0,0,0
23,577,135,57864,57762
43,482,135,73942,74052
63,528,136,90495,90657
82,551,136,106936,106850
103,551,136,123275,121393
123,547,136,124063,121588
143,542,137,123997,121566
163,535,137,124056,121569
183,530,137,124030,121581
203,529,137,124066,121572
223,526,137,123987,121540
243,517,137,124062,121559
263,504,137,123974,121546
283,497,137,123953,121516
303,496,137,123984,121512
323,495,137,123918,121504
343,494,137,123973,121512
363,498,137,124006,121512
382,500,137,123970,121562
403,498,137,124071,121578
423,495,137,124012,121615
443,495,137,124015,121627
463,497,137,124055,121640
483,501,137,124075,121648
503,490,137,124093,121644
523,485,137,124052,121640
543,485,138,124110,121671
563,487,137,124065,121656
583,492,138,124086,121681
603,494,138,124122,121666
623,477,138,124091,121683
643,550,138,124172,121711
663,588,138,124115,121726
683,424,138,124151,121726
703,482,138,124153,121774
722,482,138,124196,121760
743,492,138,124176,121768
763,495,138,124236,121755
783,498,138,124192,121765
803,499,138,124233,121766
823,504,139,124223,121752
843,506,139,124243,121808
863,510,139,124208,121793
883,502,139,124231,121806
903,495,139,124186,121804
923,491,139,124155,121764
943,496,139,124159,121743
963,496,139,124141,121762
983,500,139,124120,121753
1003,502,139,124169,121756
1022,505,139,124169,121750
1043,506,139,124150,121743
1063,505,139,124175,121773
1083,505,139,124184,121763
1103,513,139,124177,121767
1123,514,139,124212,121764
1143,504,139,124181,121771
1163,499,139,124197,121751
1183,500,139,124172,121765
1203,500,139,124165,121759
1223,505,139,124179,121757
1243,507,139,124168,121756
1263,484,139,124179,121775
1283,630,139,124183,121767
1303,454,139,124198,121784
1323,466,139,124191,121782
1343,492,139,124230,121786
1362,499,139,124195,121776
1383,505,139,124173,121790
1403,504,139,124207,121772
1423,509,139,124226,121767
1443,510,139,124171,121760
1463,515,139,124238,121771
1483,516,139,124227,121788
1503,515,139,124209,121806
1523,506,139,124189,121766
1543,500,139,124129,121767
1563,499,139,124180,121754
1583,502,139,124159,121750
1603,500,139,124112,121767
1623,504,139,124172,121768
1643,508,139,124164,121755
1662,510,139,124112,121755
1683,510,139,124187,121773
1703,507,139,124100,121721
1723,508,139,124185,121736
1743,507,139,124122,121761
1763,515,139,124195,121775
1783,513,139,124106,121774
1803,505,139,124116,121766
1823,501,139,124172,121755
1843,502,139,124170,121772
1863,504,139,124160,121759
1883,506,139,124185,121776
1903,509,139,124197,121763
1923,488,139,124125,121765
1943,637,139,124183,121759
1963,462,139,124201,121756
1983,476,139,124114,121771
2002,495,139,124213,121758
2023,503,139,124227,121785
2043,505,139,124215,121778
2063,506,139,124150,121758
2083,510,139,124226,121746
2103,515,139,124120,121764
2123,514,139,124217,121755
2143,518,139,124234,121751
2163,514,139,124203,121723
2183,511,139,124081,121701
2203,503,139,124136,121724
2223,500,139,124134,121727
2243,505,139,124041,121723
2263,509,139,124040,121737
2283,511,139,124058,121717
2302,512,139,124144,121704
2323,513,139,124139,121730
2343,511,139,124128,121726
2363,509,139,124153,121713
2383,511,139,124081,121723
2403,509,139,124167,121738
2423,507,139,124084,121740
2443,512,139,124107,121730
2463,518,139,124171,121719
2483,506,139,124201,121736
2503,503,139,124175,121727
2523,504,139,124193,121758
2543,505,139,124197,121732
2563,504,139,124136,121739
2583,510,139,124203,121759
2603,486,139,124217,121754
2623,625,139,124153,121769
2642,463,139,124195,121751
2663,478,139,124215,121765
2683,496,139,124175,121763
2703,503,139,124167,121749
2723,505,139,124211,121753
2743,507,139,124181,121806
2763,510,139,124219,121766
2783,512,139,124215,121789
2803,518,139,124203,121757
2823,517,139,124249,121771
2843,515,139,124252,121753
2863,509,139,124227,121778
2883,500,139,124142,121746
2903,503,139,124165,121725
2923,505,139,124150,121709
2942,508,139,124138,121720
2963,509,139,124164,121717
2983,510,139,124187,121737
3003,510,139,124169,121737
3023,510,139,124166,121732
3043,510,139,124191,121759
3063,508,139,124191,121734
3083,510,139,124200,121755
3103,515,139,124170,121747
3123,517,139,124200,121749
3143,509,139,124179,121729
3163,505,139,124179,121756
3183,504,139,124180,121749
3203,504,139,124224,121782
3223,506,139,124191,121775
3243,511,139,124246,121781
3263,489,139,124226,121765
3282,627,139,124220,121751
3303,469,139,124247,121765
3323,465,139,124239,121789
3343,499,139,124243,121776
3363,499,139,124256,121806
3383,505,139,124262,121807
3403,507,139,124273,121837
3423,510,139,124292,121863
3443,514,139,124285,121833
3463,517,139,124327,121852
3483,520,139,124293,121848
3503,516,139,124330,121866
3523,506,139,124316,121870
3543,501,139,124315,121883
3563,499,139,124271,121855
3582,500,139,124288,121865
3603,503,139,124296,121866
3623,507,139,124309,121887
3643,510,139,124328,121883
3663,510,139,124337,121879
3683,510,139,124324,121888
3703,513,139,124325,121877
3723,512,139,124333,121887
3743,518,139,124326,121883
3763,514,139,124322,121881
3783,507,139,124319,121889
3803,505,139,124337,121906
3823,507,139,124329,121888
3843,509,139,124338,121888
3863,513,139,124319,121884
3883,496,139,124346,121885
3903,566,139,124313,121882
3922,635,140,124341,121889
3943,431,139,124353,121876
3963,496,139,124337,121915
3983,504,139,124339,121886
4003,505,139,124365,121903
4023,510,139,124357,121885
4043,510,139,124363,121900
4063,516,139,124394,121929
4083,516,139,124409,121928
4103,521,139,124409,121905
4123,518,139,124414,121932
4143,513,139,124417,121933
4163,501,139,124374,121926
4183,501,139,124360,121933
4203,503,139,124326,121883
4222,505,139,124319,121898
4243,509,139,124321,121891
4263,511,139,124340,121891
4283,514,139,124374,121917
4303,513,139,124374,121913
4323,515,139,124389,121914
4343,520,139,124390,121951
4363,512,139,124387,121939
4383,509,139,124406,121925
4403,505,139,124376,121919
4423,510,139,124372,121910
4443,510,139,124354,121913
4463,510,140,124376,121920
4483,486,139,124355,121910
4503,609,140,124368,121906
4523,513,140,124384,121933
4543,461,139,124402,121947
4562,499,139,124419,121942
4583,503,139,124409,121933
4603,509,139,124445,121975
4623,512,140,124414,121941
4643,511,139,124449,121956
4663,516,139,124429,121957
4683,518,139,124448,121956
4703,521,139,124439,121944
4723,517,140,124448,121980
4743,510,139,124428,121958
4763,504,139,124417,121956
4783,502,139,124384,121925
4803,504,139,124369,121940
4823,509,139,124363,121981
4843,510,139,124367,121921
4862,512,139,124382,121927
4883,514,139,124391,121929
4903,523,139,124389,121991
4923,518,140,124400,121921
4943,510,139,124383,121924
4963,505,140,124389,121937
4983,506,139,124402,121955
5003,506,140,124427,121957
5023,510,140,124435,121985
5043,507,140,124452,121977
5063,510,140,124483,122070
5083,655,140,124465,121980
5103,423,140,124487,122038
5123,476,141,124497,121998
5143,488,141,124479,122003
5163,496,141,124494,122030
5183,501,141,124497,121967
5202,502,141,124491,121987
5223,507,141,124476,121990
5243,510,141,124481,121977
5263,517,141,124469,121977
5283,516,142,124470,122037
5303,515,142,124464,121946
5323,503,142,124468,121972
5343,504,142,124420,122012
5363,502,142,124433,122014
5383,508,142,124403,121930
5403,509,142,124410,121942
5423,515,142,124382,121937
5443,514,142,124438,122003
5463,515,142,124432,121945
5483,524,142,124465,121955
5502,521,142,124458,121948
5523,511,142,124486,121969
5543,510,142,124487,121975
5563,509,142,124486,121957
5583,512,142,124485,122035
5603,513,142,124468,122019
5623,503,142,124474,121949
5643,538,142,124484,121967
5663,661,142,124465,121957
5683,429,142,124460,121972
5703,490,142,124497,121979
5723,500,142,124481,121955
5743,507,142,124499,121978
5763,509,142,124487,121952
5783,515,142,124471,122022
5803,519,142,124460,121955
5823,523,142,124485,122010
5842,521,142,124474,121975
5863,523,142,124501,121992
5883,519,142,124521,121958
5903,509,142,124508,121968
5923,505,142,124460,121952
5943,507,142,124456,121977
5963,508,142,124443,121961
5983,513,142,124456,122019
6003,514,142,124480,121965
6023,513,142,124474,121962
6043,514,142,124506,122044
6063,521,142,124499,122006
6083,515,142,124519,122019
6103,510,142,124502,122044
6123,508,142,124536,122015
6142,508,142,124521,122059
6163,511,142,124521,121992
6183,511,142,124505,122034
6203,498,142,124537,122022
6223,529,142,124544,122063
6243,665,142,124552,122051
6263,426,142,124560,122035
6283,491,142,124558,122041
6303,500,142,124573,122054
6323,506,142,124581,122088
6343,508,142,124608,122071
6363,509,142,124631,122088
6383,515,142,124618,122090
6403,515,142,124606,122109
6423,521,142,124623,122090
6443,521,142,124614,122083
6463,517,142,124598,122056
6482,506,142,124545,122080
6503,505,142,124582,122060
6523,506,142,124530,122050
6543,508,142,124521,122048
6563,508,142,124531,122066
6583,512,142,124554,122017
6603,513,142,124537,122031
6623,515,142,124542,122041
6643,514,142,124546,122047
6663,522,142,124558,122050
6683,515,142,124553,122061
6703,507,142,124546,122052
6723,504,142,124554,122036
6743,507,142,124547,122031
6763,511,142,124550,122010
6782,512,142,124557,122027
6803,494,142,124540,122030
6823,566,142,124527,122002
6843,633,142,124557,122030
6863,432,142,124545,121979
6883,492,142,124565,122019
6903,501,142,124560,122029
6923,506,142,124591,122049
6943,509,142,124573,122056
6963,511,142,124576,122085
6983,514,142,124575,122075
7003,518,142,124600,122065
7023,519,142,124593,122051
7043,517,142,124589,122072
7063,517,142,124558,121994
7083,507,142,124525,122035
7103,505,142,124507,121971
7122,505,142,124488,122003
7143,510,142,124516,122021
7163,512,142,124508,122030
7183,513,142,124538,122029
7203,512,142,124532,122025
7223,512,142,124557,122042
7243,512,142,124539,122055
7263,511,142,124569,122035
7283,522,142,124554,121950
7303,520,142,124570,122041
7323,511,142,124530,121942
7343,507,142,124546,122034
7363,506,142,124539,122050
7383,508,142,124566,122057
7403,510,142,124553,121988
7422,512,142,124557,122056
7443,508,142,124568,122057
7463,659,142,124562,121965
7483,426,142,124585,122058
7503,486,142,124581,121972
7523,496,142,124568,122047
7543,504,142,124566,122055
7563,506,142,124582,122056
7583,510,142,124611,122069
7603,512,142,124620,122067
7623,515,142,124605,122065
7643,519,142,124629,121990
7663,520,142,124589,122038
7683,517,142,124570,122029
7703,510,142,124538,122014
7723,506,142,124568,121948
7743,506,142,124500,122006
7762,506,142,124514,121948
7783,511,142,124501,122030
7803,513,142,124515,122023
7823,515,142,124526,122016
7843,512,142,124522,122015
7863,513,142,124531,121967
7883,513,142,124548,122004
7903,513,142,124526,121964
7923,516,142,124538,122004
7943,521,142,124533,121990
7963,512,142,124523,121939
7983,507,142,124510,121994
8003,505,142,124502,121982
8023,508,142,124523,121986
8043,510,142,124532,121933
8062,513,142,124545,121994
8083,492,142,124555,121984
8103,635,142,124524,121994
8123,458,142,124532,121982
8143,475,142,124524,121983
8163,498,142,124537,121944
8183,503,142,124556,121960
8203,510,142,124557,121980
8223,512,142,124548,121965
8243,513,142,124549,121995
8263,517,142,124556,121963
8283,518,142,124569,122015
8303,520,142,124547,122022
8323,516,142,124560,121968
8343,511,142,124526,121977
8363,506,142,124516,121983
8383,506,142,124487,121947
8402,507,142,124474,121964
8423,509,142,124485,121941
8443,510,142,124521,121988
8463,510,142,124534,121993
8483,511,142,124558,122002
8503,512,142,124571,122000
8523,512,142,124568,121978
8543,512,142,124542,122000
8563,511,142,124554,121989
8583,520,142,124546,122003
8603,518,142,124554,121990
8623,509,142,124547,121990
8643,504,142,124548,121978
8663,507,142,124559,122005
8683,507,142,124553,122008
8702,510,142,124575,122019
8723,504,142,124581,122020
8743,513,142,124569,122002
8763,660,142,124573,121994
8783,428,143,124578,122029
8803,489,142,124586,122004
8823,500,142,124623,122014
8843,502,142,124578,122007
8863,508,142,124594,121990
8883,510,142,124583,122001
8903,514,142,124595,122001
8923,517,142,124585,121993
8943,519,142,124609,121995
8963,518,143,124606,122011
8983,517,143,124602,121993
9003,508,142,124575,121981
9023,505,142,124524,121966
9042,504,142,124494,121974
9063,505,142,124507,121955
9083,510,142,124528,121958
9103,512,142,124517,121971
9123,513,142,124536,121982
9143,513,142,124540,121977
9163,511,143,124552,121963
9183,513,142,124560,121986
9203,511,143,124550,121974
9223,513,142,124566,121969
9243,515,142,124543,121976
9263,521,143,124538,121975
9283,511,143,124541,121958
9303,508,142,124537,121969
9323,508,143,124560,121975
9342,509,142,124557,121967
9363,509,143,124535,121974
9383,512,142,124555,121980
9403,492,143,124577,121956
9423,631,143,124570,121963
9443,458,143,124573,121943
9463,476,142,124578,121982
9483,498,143,124557,121978
9503,504,143,124599,121989
9523,507,143,124573,121985
9543,507,143,124578,121977
9563,511,143,124563,121962
9583,514,143,124602,121954
9603,516,143,124574,121958
9623,519,143,124567,121956
9643,518,143,124574,121957
9663,512,143,124541,121944
9682,505,143,124522,121939
9703,504,143,124509,121910
9723,505,143,124500,121934
9743,509,143,124507,121915
9763,508,142,124545,121924
9783,511,143,124525,121940
9803,512,142,124540,121970
9823,512,143,124549,121929
9843,512,143,124548,121934
9863,510,143,124554,121909
9883,510,143,124556,121928
9903,515,143,124524,121937
9923,518,143,124542,121933
9943,511,143,124526,121942
9963,508,143,124518,121946
9982,508,142,124512,121938
10003,508,143,124518,121924
10023,511,143,124551,121916
10043,510,143,124552,121913
10063,495,143,124542,121911
10083,634,143,124548,121921
10103,467,143,124544,121914
10123,479,143,124545,121923
10143,500,143,124533,121913
10163,505,143,124550,121915
10183,510,143,124555,121929
10203,510,143,124542,121919
10223,515,143,124546,121917
10243,513,143,124574,121919
10263,520,143,124538,121909
10283,521,143,124545,121909
10303,520,143,124536,121901
10322,510,143,124549,121893
10343,505,143,124526,121871
10363,504,143,124493,121866
10383,507,142,124465,121879
10403,507,143,124479,121878
10423,511,143,124489,121915
10443,513,143,124503,121896
10463,513,143,124531,121890
10483,510,143,124535,121874
10503,511,143,124508,121874
10523,512,143,124516,121880
10543,522,143,124511,121872
10563,513,143,124499,121872
10583,507,143,124494,121864
10603,505,143,124502,121891
10622,508,143,124506,121862
10643,507,143,124531,121880
10663,508,143,124548,121862
10683,495,143,124548,121873
10703,563,143,124516,121874
10723,638,143,124516,121893
10743,434,143,124522,121893
10763,493,143,124539,121872
10783,502,143,124548,121863
10803,503,143,124548,121871
10823,509,143,124538,121901
10843,510,143,124532,121901
10863,511,143,124568,121889
10883,511,143,124551,121899
10903,518,143,124566,121888
10923,519,143,124549,121872
10943,512,143,124556,121872
10962,505,143,124513,121865
10983,504,143,124500,121869
11003,503,143,124468,121842
11023,507,143,124468,121874
11043,506,143,124501,121838
11063,511,143,124501,121848
11083,510,143,124501,121848
11103,509,143,124518,121843
11123,511,143,124532,121844
11143,509,143,124532,121864
11163,520,143,124535,121871
11183,516,143,124546,121864
11203,502,143,124540,121864
11223,505,143,124505,121852
11243,507,143,124505,121847
11262,507,143,124505,121839
11283,508,143,124530,121866
11303,495,143,124536,121850
11323,539,143,124536,121883
11343,641,143,124521,121867
11363,430,143,124540,121883
11383,494,143,124521,121852
11403,498,143,124525,121852
11423,507,143,124525,121826
11443,506,143,124521,121851
11463,510,143,124537,121860
11483,512,143,124538,121851
11503,512,143,124572,121851
11523,515,143,124572,121884
11543,516,143,124568,121886
11563,515,143,124591,121886
11583,506,143,124549,121885
11602,499,143,124511,121886
11623,505,143,124537,121862
11643,503,143,124537,121856
11663,507,143,124540,121898
11683,507,143,124531,121874
11703,508,144,124591,121874
11723,510,143,124618,121924
11743,512,144,124618,121955
11763,511,144,124644,121955
11783,517,144,124644,121953
11803,508,144,124648,121953
11823,503,144,124648,121964
11843,501,144,124626,121964
11863,505,144,124648,121951
11883,506,144,124632,121951
11902,507,144,124632,121950
11923,484,144,124646,121966
11943,631,144,124653,121978
11963,499,144,124656,121981
11983,476,144,124647,121994
12003,491,144,124695,121994
12023,501,144,124713,121991
12043,509,144,124713,122011
12063,510,144,124714,122017
12083,513,144,124742,122011
12103,515,144,124761,122011
12123,514,144,124761,122067
12143,516,145,124743,122058
12163,512,145,124766,122058
12183,505,145,124759,122059
12203,498,145,124735,122097
12223,495,146,124739,122058
12242,495,146,124741,122085
12263,500,146,124724,122077
12283,502,146,124724,122096
12303,504,146,124767,122090
12323,502,146,124790,122101
12343,507,146,124786,122101
12363,509,146,124795,122085
12383,517,146,124795,122092
12403,510,146,124782,122097
12423,505,146,124790,122097
12443,504,146,124773,122090
12463,505,146,124764,122093
12483,508,146,124754,122095
12503,508,146,124754,122070
12523,485,146,124761,122070
12542,599,146,124723,122089
12563,548,147,124768,122085
12583,461,146,124774,122098
12603,500,147,124778,122068
12623,505,146,124771,122079
12643,507,146,124758,122075
12663,512,146,124793,122066
12683,513,146,124769,122056
12703,517,146,124765,122033
12723,519,146,124762,122057
12743,522,146,124751,122020
12763,522,146,124751,122024
12783,514,146,124746,122007
12803,506,146,124702,122007
12823,506,146,124661,121991
12843,507,146,124661,121995
12863,510,146,124668,121992
12882,512,146,124679,121980
12903,512,146,124663,122021
12923,511,146,124711,122018
12943,510,146,124697,121995
12963,516,146,124719,121995
12983,518,145,124736,122011
13003,506,146,124729,122012
13023,503,146,124729,122009
13043,503,146,124740,122023
13063,506,146,124696,122023
13083,506,145,124703,121994
13103,504,146,124703,122002
13123,498,145,124708,121986
13143,643,146,124703,121986
13163,432,146,124722,121965
13182,488,145,124722,121987
13203,496,146,124730,122001
13223,504,145,124754,121986
13243,504,146,124749,121997
13263,508,146,124719,121997
13283,509,146,124730,121981
13303,512,146,124730,121964
13323,514,146,124714,121971
13343,515,146,124718,121962
13363,513,145,124710,121962
13383,505,145,124677,121965
13403,501,146,124677,121953
13423,501,145,124647,121944
13443,502,145,124647,121955
13463,507,146,124645,121970
13483,510,145,124666,121970
13503,510,145,124660,121938
13522,510,145,124660,121941
13543,519,145,124664,121957
13563,515,145,124697,121930
13583,505,145,124684,121930
13603,498,145,124684,121933
13623,500,145,124657,121942
13643,505,145,124660,121942
13663,505,146,124671,121925
13683,493,145,124644,121961
13703,520,146,124701,121923
13723,641,146,124686,121917
13743,424,146,124686,121933
13763,487,146,124696,121936
13783,497,146,124675,121936
13803,499,146,124681,121934
13822,502,146,124681,121920
13843,504,146,124694,121904
13863,508,146,124670,121894
13883,510,146,124670,121894
13903,510,146,124670,121919
13923,513,146,124661,121897
13943,511,146,124635,121897
13963,502,146,124630,121890
13983,500,146,124570,121859
14003,499,146,124570,121858
14023,506,146,124572,121842
14043,503,146,124601,121880
14063,507,146,124601,121862
14083,507,146,124603,121862
14103,515,146,124618,121886
14123,517,146,124618,121886
14143,510,146,124667,121899
14162,502,146,124667,121901
14183,502,146,124675,121894
14203,504,146,124675,121894
14223,505,146,124635,121871
14243,506,146,124627,121846
14263,482,146,124611,121846
14283,636,146,124611,121840
14303,445,146,124641,121854
14323,480,146,124643,121835
14343,495,146,124653,121835
14363,500,146,124649,121870
14383,504,146,124649,121893
14403,504,146,124656,121864
14423,505,146,124656,121879
14443,510,146,124678,121893
14462,513,146,124681,121893
14483,512,146,124665,121885
14503,512,146,124665,121867
14523,505,146,124631,121866
14543,500,146,124604,121851
14563,501,146,124605,121851
14583,501,146,124605,121853
