TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
43309,503,81,135250,113855
43312,503,81,135265,113850
43314,503,81,135265,113859
43316,503,81,135259,113849
13,483,84,90275,90296
16,479,84,106707,106712
18,472,84,123102,114778
21,469,84,137399,114771
23,466,84,137216,114773
25,463,84,137212,114774
28,461,84,137226,114782
30,458,84,137245,114786
33,457,84,137240,114780
35,457,83,137227,114782
38,455,83,137239,114782
40,454,83,137239,114792
43,454,83,137242,114792
46,454,83,137244,114789
48,457,83,137243,114788
51,465,83,137256,114795
53,487,83,137263,114795
56,505,83,137269,114801
58,526,83,137267,114796
61,543,83,137273,114803
63,571,83,137278,114808
65,573,83,137292,114797
68,571,83,137272,114812
70,566,83,137302,114812
73,552,83,137307,114815
75,531,82,137303,114815
78,509,82,137315,114818
80,475,82,137317,114825
82,460,82,137316,114818
86,447,82,137321,114823
88,439,82,137327,114830
91,433,82,137330,114830
93,432,82,137347,114834
96,433,82,137342,114838
98,435,82,137344,114844
101,437,82,137360,114846
103,441,82,137374,114842
105,443,82,137368,114848
108,447,82,137366,114850
110,449,82,137388,114853
113,451,82,137382,114861
115,451,82,137393,114858
118,452,82,137414,114870
120,453,82,137421,114867
122,453,82,137399,114867
125,455,82,137411,114866
128,456,82,137416,114873
131,457,82,137422,114876
133,459,82,137424,114872
136,460,82,137433,114870
138,461,81,137431,114885
141,461,81,137452,114880
143,463,81,137468,114886
145,464,81,137464,114884
148,465,81,137475,114893
150,466,81,137469,114897
153,468,81,137473,114897
155,470,81,137476,114906
158,471,81,137501,114899
160,472,81,137490,114886
162,473,81,137493,114908
165,474,81,137504,114905
167,475,81,137498,114906
171,476,81,137512,114903
173,477,81,137521,114924
176,478,81,137520,114913
178,480,81,137522,114928
181,481,81,137534,114906
183,481,81,137540,114931
185,481,81,137542,114927
188,482,81,137544,114927
190,484,81,137555,114936
193,486,81,137558,114936
195,488,81,137565,114947
198,489,81,137569,114915
200,490,81,137581,114944
202,490,81,137579,114948
205,492,81,137591,114952
207,493,81,137591,114960
210,495,81,137598,114957
212,496,81,137607,114956
216,497,81,137607,114937
218,498,81,137607,114954
221,499,81,137616,114947
223,499,81,137622,114960
225,501,81,137617,114963
228,503,81,137624,114969
230,504,81,137636,114960
233,504,81,137636,114965
235,504,81,137636,114973
238,506,80,137650,114979
240,507,81,137664,114977
242,508,81,137664,114980
245,511,81,137664,114984
247,512,81,137672,114992
250,512,81,137669,114986
252,514,81,137666,114982
256,516,81,137667,114998
258,518,81,137682,114984
261,519,80,137670,114984
263,520,81,137671,114978
265,521,81,137671,114980
268,524,81,137661,114990
270,526,81,137655,114967
273,529,81,137638,114971
275,532,81,137619,114959
278,533,81,137619,114959
280,533,81,137567,114930
282,533,81,137534,114930
285,535,81,137496,114906
287,535,80,137496,114882
290,536,80,137389,114863
292,537,81,137325,114863
295,539,81,137250,114813
297,540,81,137250,114783
301,541,81,137177,114753
303,540,81,136997,114723
305,540,80,136909,114723
308,542,80,136819,114661
310,543,81,136819,114624
313,543,81,136730,114584
315,544,81,136534,114584
318,545,80,136447,114554
320,545,80,136447,114487
322,544,80,136355,114457
325,542,80,136190,114427
327,542,80,136108,114427
330,540,81,136047,114395
332,538,80,136047,114346
335,535,80,135930,114337
337,532,81,135888,114337
340,529,81,135838,114321
343,522,80,135803,114292
345,520,81,135762,114292
348,515,81,135739,114275
350,513,81,135707,114275
353,506,81,135684,114250
355,503,80,135684,114254
358,499,81,135672,114245
360,496,81,135634,114241
362,494,81,135634,114235
365,491,81,135615,114238
367,489,81,135615,114234
370,487,81,135600,114234
372,485,81,135614,114228
375,482,81,135603,114229
377,481,81,135603,114225
380,480,80,135605,114228
382,480,81,135609,114228
385,480,81,135614,114230
388,480,81,135614,114240
390,480,80,135617,114239
393,480,81,135636,114241
395,481,81,135636,114245
398,481,81,135647,114251
400,481,81,135663,114258
402,482,81,135663,114258
405,482,81,135699,114258
407,483,81,135675,114264
410,484,81,135675,114274
412,485,81,135722,114280
415,485,80,135761,114280
417,485,80,135786,114286
420,487,80,135786,114304
422,487,80,135796,114304
424,487,80,135850,114312
428,488,80,135850,114323
430,489,80,135870,114338
433,490,80,135908,114338
435,491,80,135908,114353
438,492,80,135946,114353
440,493,80,135995,114362
442,497,80,135995,114383
445,498,80,136008,114388
447,500,80,136037,114388
450,500,81,136088,114391
452,500,80,136097,114413
455,499,80,136097,114420
457,499,80,136130,114426
460,501,80,136150,114426
462,502,80,136197,114439
464,502,80,136197,114439
467,503,80,136216,114458
470,504,80,136247,114462
473,504,80,136265,114462
475,504,81,136287,114473
478,505,80,136304,114489
480,506,80,136347,114494
482,507,80,136345,114494
485,508,80,136402,114506
487,509,81,136402,114519
490,509,81,136400,114527
492,512,81,136427,114527
495,511,80,136477,114540
497,511,80,136518,114547
500,510,80,136518,114550
502,510,80,136520,114561
504,510,80,136528,114560
507,510,80,136557,114572
509,509,80,136584,114577
513,508,80,136616,114590
515,508,80,136634,114597
518,508,80,136641,114607
520,508,80,136671,114614
522,509,80,136700,114620
525,508,80,136697,114620
527,509,80,136724,114631
530,509,80,136745,114634
532,511,80,136747,114644
535,511,80,136757,114640
537,512,80,136771,114639
540,511,80,136780,114655
542,510,80,136777,114652
544,510,80,136790,114653
547,510,80,136802,114656
549,510,80,136806,114654
552,513,80,136807,114658
555,514,80,136814,114663
558,515,80,136809,114659
560,516,80,136815,114660
562,516,80,136813,114657
565,516,80,136811,114660
567,516,80,136804,114651
570,516,80,136784,114654
572,517,80,136785,114648
575,517,80,136776,114650
577,516,80,136760,114643
580,515,80,136757,114636
582,515,80,136745,114632
584,515,80,136741,114624
587,516,80,136701,114622
589,517,80,136686,114610
592,517,80,136668,114610
594,518,80,136642,114595
598,518,80,136630,114589
600,518,80,136616,114579
602,519,80,136573,114574
605,519,80,136562,114569
607,520,80,136538,114564
610,521,80,136514,114555
612,521,80,136501,114549
615,522,80,136488,114550
617,522,80,136459,114536
620,521,80,136449,114529
