TimeStamp,ECG Data,GSR Data
10,513,307
20,515,307
30,516,308
40,488,312
50,491,316
60,496,319
70,503,321
80,509,324
90,511,326
100,516,328
110,518,329
120,513,331
130,515,332
140,539,329
150,528,326
160,524,325
170,520,323
180,518,322
190,517,320
200,517,319
210,517,318
220,506,317
230,478,317
240,568,316
250,749,316
260,903,315
270,815,315
280,486,314
290,351,314
300,386,314
310,431,313
320,451,313
330,462,313
340,471,313
350,479,312
360,485,312
370,493,312
380,498,311
390,504,311
400,509,311
410,515,311
420,521,311
430,528,311
440,534,310
450,544,310
460,556,310
469,568,309
480,582,309
490,594,309
500,602,309
510,605,308
520,591,308
530,565,308
540,525,308
550,481,307
560,446,307
570,422,307
580,411,307
590,410,307
600,413,307
610,421,307
620,429,307
630,439,307
639,447,307
650,454,307
660,461,307
670,467,307
680,473,307
690,478,307
700,482,307
710,488,307
720,490,307
730,493,307
740,496,307
750,497,307
760,499,307
770,500,307
780,500,307
790,501,307
800,503,308
810,504,307
820,504,308
830,504,308
840,506,308
850,506,308
860,505,308
870,507,308
880,507,308
890,508,308
900,509,308
910,510,308
920,512,308
930,516,308
940,520,308
950,519,308
960,526,308
970,527,308
980,520,308
990,517,308
1000,510,308
1010,504,308
1020,505,308
1030,504,308
1040,503,308
1050,504,308
1060,506,308
1070,507,308
1080,499,308
1090,470,308
1100,566,308
1109,748,308
1120,899,308
1130,812,308
1140,484,308
1150,348,308
1160,384,308
1170,428,308
1180,449,307
1190,462,307
1200,471,307
1210,479,307
1220,486,307
1230,493,307
1240,497,307
1250,503,307
1260,510,307
1270,516,307
1279,522,307
1290,526,307
1300,536,307
1310,545,307
1320,557,307
1330,571,307
1340,585,307
1350,596,307
1360,601,307
1370,600,307
1380,586,307
1390,557,307
1400,516,307
1410,473,307
1420,440,307
1430,420,307
1440,411,307
1450,413,307
1460,418,307
1470,427,307
1480,435,307
1490,443,307
1500,451,307
1510,457,307
1520,465,307
1530,471,306
1540,476,307
1550,481,306
1560,487,306
1570,490,306
1580,493,306
1590,496,306
1600,498,306
1610,501,306
1620,500,306
1630,503,306
1640,504,306
1650,504,306
1660,504,306
1670,505,306
1680,506,306
1690,506,306
1700,507,306
1710,507,306
1720,507,306
1730,510,306
1740,516,306
1749,518,306
1760,521,306
1770,527,306
1780,527,306
1790,520,306
1800,517,306
1810,506,306
1820,504,306
1830,502,306
1840,504,306
1850,504,306
1860,505,306
1870,506,306
1880,506,306
1890,499,306
1900,468,306
1910,555,306
1919,739,306
1930,901,306
1940,834,306
1950,496,306
1960,348,306
1970,382,306
1980,427,306
1990,447,306
2000,461,306
2010,469,306
2020,476,306
2030,484,306
2040,491,306
2050,497,306
2060,503,306
2070,509,306
2080,516,306
2090,522,306
2100,528,306
2110,536,306
2120,546,306
2130,557,306
2140,572,306
2150,584,306
2160,594,306
2170,601,306
2180,598,306
2190,583,306
2200,550,305
2210,510,305
2220,470,305
2230,439,305
2240,421,305
2250,415,305
2260,416,305
2270,421,305
2280,432,305
2290,439,305
2300,447,305
2310,455,305
2320,463,305
2330,469,305
2340,475,305
2350,480,305
2360,484,305
2370,489,305
2380,493,305
2389,495,305
2400,498,305
2410,499,305
2420,501,305
2430,501,305
2440,503,305
2450,504,305
2460,506,305
2470,505,305
2480,505,305
2490,506,305
2500,508,305
2510,507,305
2520,509,305
2530,509,305
2540,514,305
2550,519,305
2559,520,305
2570,525,305
2580,528,305
2590,521,305
2600,517,305
2610,510,305
2620,503,305
2630,502,305
2640,503,305
2650,505,305
2660,504,305
2670,506,305
2680,507,305
2690,506,305
2700,473,305
2710,520,305
2720,685,305
2730,866,305
2740,904,305
2750,587,305
2760,360,305
2770,371,305
2780,420,305
2790,444,305
2800,457,305
2810,466,304
2820,475,304
2830,482,304
2840,489,304
2850,496,304
2860,502,304
2870,507,304
2880,514,304
2890,520,304
2900,526,304
2910,533,304
2920,544,304
2930,554,304
2940,567,304
2950,581,304
2960,592,304
2970,600,304
2980,598,304
2990,586,304
3000,557,304
3010,517,304
3020,478,304
3029,444,304
3040,424,304
3050,417,303
3060,416,304
3070,421,303
3080,430,304
3090,439,303
3100,446,303
3110,454,303
3120,463,303
