,S20,S21,S22
0,-2.07977294921875,-1.46636962890625,-0.714111328125
1,-1.75933837890625,-1.4617919921875,-0.726318359375
2,-1.73187255859375,-1.4617919921875,-0.7110595703125
3,-1.71051025390625,-1.46942138671875,-0.7049560546875
4,-1.71661376953125,-1.47552490234375,-0.73699951171875
5,-1.715087890625,-1.46636962890625,-0.74920654296875
6,-1.70440673828125,-1.46484375,-0.75836181640625
7,-1.68914794921875,-1.47552490234375,-0.72479248046875
8,-1.654052734375,-1.47552490234375,-0.77056884765625
9,-1.66015625,-1.458740234375,-0.7354736328125
10,-1.654052734375,-1.45111083984375,-0.74920654296875
11,-1.64947509765625,-1.4556884765625,-0.775146484375
12,-1.64031982421875,-1.5655517578125,-0.78887939453125
13,-1.60064697265625,-1.44500732421875,-0.75531005859375
14,-1.59759521484375,-1.42974853515625,-0.79803466796875
15,-1.59454345703125,-1.4495849609375,-0.81329345703125
16,-1.59759521484375,-1.53045654296875,-0.78277587890625
17,-1.56707763671875,-1.41754150390625,-0.77972412109375
18,-1.57623291015625,-1.422119140625,-0.81024169921875
19,-1.5594482421875,-1.409912109375,-0.8148193359375
20,-1.55181884765625,-1.62200927734375,-0.836181640625
21,-1.531982421875,-1.42974853515625,-0.82855224609375
22,-1.51519775390625,-1.42364501953125,-0.83770751953125
23,-1.507568359375,-1.40228271484375,-0.80413818359375
24,-1.47552490234375,-1.4129638671875,-0.81939697265625
25,-1.495361328125,-1.41448974609375,-0.8514404296875
26,-1.48162841796875,-1.97906494140625,-0.81939697265625
27,-1.46331787109375,-1.40533447265625,-0.87127685546875
28,-1.43280029296875,-1.36871337890625,-1.13983154296875
29,-1.50299072265625,-1.37786865234375,-0.84991455078125
30,-1.42669677734375,-1.39312744140625,-0.85296630859375
31,-1.41754150390625,-1.40533447265625,-0.885009765625
32,-1.40838623046875,-1.39617919921875,-0.88958740234375
33,-1.38397216796875,-1.38397216796875,-0.85601806640625
34,-1.36566162109375,-1.38092041015625,-0.89263916015625
35,-1.37786865234375,-1.37786865234375,-0.92315673828125
36,-1.86767578125,-1.39007568359375,-0.91400146484375
37,-1.34735107421875,-1.35955810546875,-0.90789794921875
38,-1.35345458984375,-1.36566162109375,-0.88958740234375
39,-1.31072998046875,-1.35955810546875,-0.91705322265625
40,-1.312255859375,-1.33514404296875,-0.88958740234375
41,-1.31072998046875,-1.35955810546875,-0.8880615234375
42,-1.275634765625,-1.32904052734375,-0.90789794921875
43,-1.2847900390625,-1.35955810546875,-0.9124755859375
44,-1.28326416015625,-1.33514404296875,-0.95672607421875
45,-1.24969482421875,-1.31072998046875,-0.93231201171875
46,-1.22528076171875,-1.312255859375,-0.96282958984375
47,-1.33209228515625,-1.3031005859375,-0.946044921875
48,-1.226806640625,-1.34124755859375,-0.98114013671875
49,-1.220703125,-1.43585205078125,-0.9613037109375
50,-1.21307373046875,-1.50146484375,-1.1810302734375
51,-1.19781494140625,-1.29547119140625,-0.98724365234375
52,-1.17950439453125,-1.34735107421875,-0.9613037109375
53,-1.17340087890625,-1.31072998046875,-0.9979248046875
54,-1.13677978515625,-1.30462646484375,-1.00860595703125
55,-1.14898681640625,-1.29852294921875,-0.9979248046875
56,-1.13677978515625,-1.31072998046875,-1.01776123046875
57,-1.12152099609375,-1.27105712890625,-0.99029541015625
58,-1.12457275390625,-1.29547119140625,-1.00555419921875
59,-1.092529296875,-1.61285400390625,-1.02386474609375
60,-1.10015869140625,-1.2725830078125,-1.0040283203125
61,-1.07879638671875,-1.28631591796875,-1.031494140625
