TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
179949,529,91,129581,118290
179952,532,91,129594,118288
179954,534,91,129608,118294
179957,535,91,129618,118302
179947,527,91,129581,118275
179949,529,91,129581,118290
179952,532,91,129594,118288
179954,534,91,129608,118294
179957,535,91,129618,118302
3,0,0,0,0
6,477,82,0,0
8,481,82,57568,57562
11,484,82,73900,73943
13,486,82,90309,90298
15,488,83,106730,106719
18,490,83,123099,118195
20,496,83,129484,118180
23,497,83,129486,118183
25,497,83,129493,118176
28,495,84,129487,118176
30,489,84,129481,118188
33,491,84,129492,118186
35,492,84,129492,118188
37,494,84,129498,118183
40,497,85,129495,118185
43,502,85,129496,118192
46,502,85,129498,118191
48,502,85,129500,118183
51,501,85,129492,118185
53,502,85,129501,118188
55,504,86,129501,118190
58,507,86,129490,118182
60,510,86,129497,118187
63,512,86,129489,118186
65,510,86,129501,118188
68,510,86,129497,118195
70,512,86,129501,118195
73,512,86,129501,118193
75,514,87,129508,118194
77,515,87,129505,118195
80,513,87,129512,118196
82,514,87,129515,118189
86,516,87,129512,118197
88,518,87,129503,118201
91,521,87,129513,118206
93,522,87,129507,118200
95,522,87,129513,118206
98,521,88,129512,118201
100,519,88,129521,118192
103,521,88,129525,118202
105,525,88,129533,118202
108,527,88,129527,118205
110,529,88,129538,118205
113,530,88,129542,118213
115,533,88,129537,118208
117,534,88,129547,118212
120,536,88,129553,118217
122,538,88,129558,118210
125,540,88,129552,118221
128,542,88,129563,118212
131,543,89,129569,118223
133,545,88,129563,118228
135,544,88,129574,118231
138,545,89,129575,118228
140,546,89,129585,118229
143,554,89,129577,118233
145,555,89,129581,118240
148,556,89,129578,118226
150,556,89,129571,118224
153,555,89,129558,118223
155,553,89,129546,118213
157,554,89,129540,118211
160,555,89,129523,118199
162,557,89,129509,118190
165,557,89,129462,118181
167,551,89,129432,118161
171,549,89,129403,118142
173,548,89,129355,118131
175,548,89,129323,118112
178,546,90,129280,118103
180,543,90,129232,118075
183,536,90,129183,118049
185,531,90,129133,118030
188,526,90,129070,118008
190,521,90,129030,117984
193,518,90,128964,117965
195,512,90,128904,117944
197,507,90,128849,117911
200,503,90,128805,117896
202,499,90,128738,117870
205,493,90,128686,117851
207,489,90,128639,117835
210,486,90,128639,117814
212,482,90,128540,117786
215,480,90,128497,117786
218,478,90,128455,117762
220,474,90,128409,117729
223,470,90,128379,117720
225,465,90,128332,117704
228,462,90,128299,117697
230,460,90,128273,117680
233,461,90,128273,117661
235,460,90,128197,117655
237,459,90,128160,117655
240,456,90,128150,117631
242,456,90,128120,117608
245,456,90,128120,117613
247,455,90,128058,117593
250,454,90,128037,117593
252,456,90,128024,117576
254,456,90,127999,117568
258,457,90,127980,117554
260,457,90,127980,117559
263,459,90,127942,117549
265,462,90,127935,117539
268,462,90,127935,117531
270,462,90,127898,117532
273,463,90,127881,117532
275,466,90,127878,117521
277,467,90,127878,117515
280,466,90,127865,117514
282,465,90,127846,117514
285,466,90,127852,117504
287,470,90,127838,117503
290,472,90,127830,117508
292,474,90,127830,117501
294,475,90,127832,117496
297,476,90,127818,117491
300,477,90,127811,117491
303,480,90,127814,117491
305,481,90,127814,117496
308,482,90,127817,117490
310,482,90,127813,117490
313,481,91,127816,117487
315,481,90,127800,117487
317,483,91,127800,117493
320,485,91,127819,117495
322,486,91,127813,117495
325,488,91,127815,117492
327,490,90,127815,117496
330,492,90,127825,117497
332,493,91,127823,117497
334,493,91,127834,117498
337,494,91,127839,117497
339,494,91,127839,117500
343,494,91,127837,117500
345,494,91,127847,117500
348,494,91,127847,117500
350,491,91,127847,117499
353,492,91,127849,117507
355,493,91,127867,117507
357,495,91,127874,117513
360,496,91,127877,117511
362,495,91,127886,117511
365,495,90,127886,117514
367,497,91,127889,117516
370,499,91,127899,117516
372,500,91,127899,117528
374,499,91,127916,117528
377,498,91,127922,117528
379,498,91,127906,117532
382,498,91,127953,117538
385,498,91,127961,117538
388,499,91,127961,117548
390,499,91,127980,117555
393,500,91,127996,117555
395,500,91,127996,117564
397,501,91,128011,117566
400,501,91,128038,117566
402,501,91,128042,117575
405,502,91,128042,117583
407,504,91,128054,117582
410,505,91,128059,117582
412,506,91,128093,117595
414,503,91,128093,117599
417,502,91,128121,117599
419,499,91,128132,117609
422,499,91,128132,117619
424,501,91,128156,117628
428,501,91,128181,117628
430,501,91,128187,117629
433,502,91,128187,117635
435,502,91,128206,117648
437,501,91,128208,117648
440,501,91,128235,117641
442,502,91,128241,117653
445,503,91,128241,117656
447,503,91,128262,117662
450,504,91,128271,117662
452,504,91,128272,117664
454,504,91,128272,117657
457,506,91,128279,117657
459,507,91,128273,117657
462,508,91,128272,117658
464,509,91,128283,117663
467,509,91,128273,117649
470,510,91,128271,117651
473,510,91,128264,117660
475,511,91,128261,117659
477,511,91,128261,117643
480,509,91,128248,117647
482,509,91,128248,117647
485,510,91,128239,117639
487,511,91,128230,117634
490,512,91,128219,117634
492,513,91,128214,117627
494,514,91,128200,117618
497,515,91,128193,117615
499,517,91,128177,117618
502,516,91,128165,117617
504,517,91,128161,117607
507,517,91,128152,117603
509,514,91,128143,117590
513,513,91,128141,117591
515,512,91,128118,117589
517,512,91,128109,117579
520,512,91,128093,117577
522,513,91,128096,117571
525,513,91,128068,117572
527,511,91,128064,117561
530,508,91,128059,117554
532,507,91,128036,117551
534,506,91,128046,117556
537,504,91,128033,117551
539,503,91,128028,117540
542,503,91,128006,117542
544,503,91,128014,117546
547,503,91,128010,117540
549,502,91,128009,117537
552,501,91,127998,117541
555,501,91,127993,117527
557,500,91,127985,117532
560,503,91,127982,117533
562,503,91,127982,117534
565,502,91,127992,117529
567,500,91,127990,117539
570,499,91,127985,117527
572,498,91,127992,117535
574,499,91,127992,117531
577,501,91,127993,117532
579,502,91,127998,117530
582,503,91,128003,117531
584,504,91,128002,117544
587,504,91,128010,117540
589,504,91,128007,117546
592,503,91,128011,117549
594,503,91,128014,117546
596,505,91,128028,117546
600,506,91,128023,117550
602,506,91,128029,117548
605,507,91,128035,117548
607,506,91,128043,117557
610,505,91,128046,117561
612,504,91,128058,117566
614,502,91,128071,117568
617,498,91,128067,117571
619,494,91,128076,117582
622,490,91,128096,117581
624,485,91,128096,117585
627,485,91,128104,117579
629,494,91,128115,117597
632,505,91,128130,117592
634,521,91,128133,117592
636,538,91,128149,117604
640,561,91,128142,117602
642,596,91,128155,117609
645,616,91,128168,117612
