TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
59505,505,204,124695,116112
59507,504,204,124695,116123
59510,504,204,124729,116132
59512,504,204,124740,116134
59505,505,204,124695,116112
59507,504,204,124695,116123
59510,504,204,124729,116132
59512,504,204,124740,116134
6,510,183,0,0
8,509,182,57515,57558
11,507,182,73901,73940
13,505,183,90301,90300
15,503,183,106729,106710
18,501,183,123049,116473
20,497,183,125605,116474
23,496,183,125608,116470
25,494,183,125620,116473
28,492,183,125636,116472
30,489,183,125641,116479
33,488,183,125649,116477
35,487,183,125651,116484
37,486,183,125663,116484
40,484,183,125676,116496
43,482,184,125681,116497
46,482,184,125684,116505
48,481,183,125697,116496
51,481,184,125711,116510
53,481,184,125721,116513
55,480,184,125726,116515
58,480,184,125752,116521
60,480,184,125747,116520
63,481,184,125765,116526
65,481,184,125776,116531
68,481,184,125782,116531
70,481,184,125791,116535
73,480,184,125800,116539
75,473,184,125810,116548
77,469,184,125824,116559
80,467,184,125836,116556
82,465,184,125844,116562
86,471,184,125859,116562
88,477,184,125862,116561
91,487,184,125873,116568
93,497,184,125877,116564
95,509,184,125889,116569
98,538,184,125887,116580
100,552,184,125891,116580
103,566,184,125913,116576
105,584,184,125918,116579
108,609,184,125927,116589
110,641,184,125935,116595
113,646,184,125935,116594
115,636,184,125948,116596
117,613,184,125960,116598
120,560,184,125954,116603
122,537,184,125964,116597
125,524,184,125977,116603
128,509,184,125981,116607
131,495,184,125979,116605
133,486,184,125994,116609
135,483,184,125994,116618
138,481,184,125999,116618
140,479,184,126001,116620
143,477,184,125996,116611
145,475,184,126005,116617
148,474,184,126010,116615
150,473,184,126022,116616
153,473,184,126021,116617
155,473,184,126026,116628
157,472,184,126034,116625
160,472,184,126034,116628
162,472,184,126042,116612
165,473,184,126056,116635
167,473,184,126054,116642
171,473,184,126052,116637
173,474,184,126058,116641
175,474,184,126065,116634
178,475,184,126068,116647
180,476,184,126070,116641
183,477,184,126072,116642
185,478,184,126082,116640
188,479,184,126083,116642
190,480,184,126091,116647
193,481,184,126086,116629
195,482,184,126093,116647
197,483,184,126093,116648
200,483,184,126102,116649
202,484,184,126098,116659
205,485,184,126096,116648
207,487,184,126107,116656
210,487,184,126112,116655
212,488,184,126112,116657
215,489,184,126112,116658
218,490,184,126121,116664
220,492,184,126126,116662
223,492,184,126135,116660
225,494,184,126131,116661
228,495,184,126143,116666
230,496,184,126148,116667
233,496,184,126148,116669
235,497,184,126146,116666
237,497,184,126158,116666
240,499,184,126166,116674
242,500,184,126169,116668
245,500,184,126169,116676
247,500,184,126168,116672
250,501,184,126166,116672
252,502,184,126178,116681
254,503,184,126178,116677
258,504,184,126186,116673
260,504,184,126189,116673
263,504,184,126190,116684
265,505,184,126202,116687
268,505,184,126202,116692
270,505,184,126205,116693
273,505,184,126214,116693
275,506,184,126213,116695
277,505,184,126213,116694
280,505,184,126201,116691
282,506,184,126197,116691
285,506,184,126186,116684
287,507,184,126179,116670
290,507,184,126147,116668
292,508,184,126147,116640
294,508,184,126130,116635
297,508,184,126048,116612
300,508,184,125998,116612
303,509,184,125939,116570
305,509,184,125939,116542
308,509,184,125875,116510
310,509,184,125704,116510
313,509,184,125608,116471
315,509,184,125608,116385
317,509,184,125487,116349
320,509,184,125283,116312
322,509,184,125283,116279
325,509,184,125111,116241
327,509,184,125041,116241
330,509,184,124995,116224
332,509,184,124995,116192
334,509,184,124949,116175
337,509,184,124868,116175
339,509,184,124825,116155
343,510,184,124795,116138
345,510,184,124763,116138
348,511,184,124744,116116
350,513,184,124744,116115
353,513,184,124720,116112
355,514,184,124694,116103
357,514,184,124694,116094
360,514,184,124669,116094
362,514,184,124655,116095
365,515,184,124669,116104
367,514,184,124669,116104
370,514,184,124673,116101
372,514,184,124676,116101
374,513,184,124680,116110
377,514,184,124680,116112
379,513,184,124696,116120
382,513,184,124711,116120
385,513,184,124734,116127
388,514,184,124734,116138
390,514,184,124765,116138
393,514,184,124780,116149
395,513,184,124780,116157
397,512,184,124799,116157
400,512,184,124852,116162
402,512,184,124875,116182
405,512,184,124875,116198
407,512,184,124901,116213
410,512,184,124949,116213
412,512,184,124987,116223
414,512,184,125009,116242
417,513,184,125009,116257
419,513,184,125040,116267
422,513,184,125096,116267
424,513,184,125140,116276
428,514,184,125140,116299
430,514,184,125158,116307
433,515,184,125184,116307
