TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
434098,501,7,130911,113350
434100,501,7,130911,113340
434103,501,7,130893,113338
434105,503,7,130875,113338
3,0,0,0,0
6,539,4,0,57560
8,557,4,57522,57560
11,576,4,73916,73912
13,593,4,90296,90338
16,604,4,106690,106714
18,615,4,123094,113495
21,620,5,131496,113495
23,619,5,131286,113501
25,618,5,131310,113505
28,616,5,131311,113501
30,614,5,131324,113505
33,611,5,131311,113511
35,601,5,131297,113501
38,598,5,131296,113497
40,597,5,131302,113504
43,595,5,131293,113490
46,593,5,131294,113486
48,591,5,131289,113490
51,589,5,131290,113488
53,586,5,131296,113492
56,582,5,131299,113490
58,579,5,131279,113492
61,578,6,131283,113496
63,576,5,131298,113511
65,574,6,131302,113507
68,571,6,131322,113517
70,567,6,131322,113524
73,564,6,131332,113524
75,559,6,131344,113535
78,554,6,131367,113544
80,553,6,131366,113555
82,553,6,131380,113556
86,548,6,131374,113553
88,543,6,131366,113549
91,542,6,131377,113557
93,543,6,131381,113556
96,544,6,131386,113556
98,543,6,131370,113554
101,543,6,131377,113549
103,542,6,131374,113543
105,542,6,131367,113537
108,540,6,131347,113537
110,538,6,131350,113545
113,537,6,131351,113538
115,534,6,131351,113543
118,533,6,131355,113538
120,532,6,131349,113537
122,530,6,131357,113539
125,531,6,131355,113539
128,531,6,131359,113540
131,530,6,131342,113543
133,526,6,131346,113536
136,524,6,131337,113535
138,522,7,131324,113530
141,523,6,131315,113520
143,525,6,131314,113514
145,523,6,131298,113517
148,521,7,131286,113504
150,520,6,131275,113507
153,520,6,131253,113496
155,517,7,131248,113495
158,514,7,131245,113495
160,512,7,131219,113487
162,513,7,131235,113487
165,511,7,131209,113490
167,510,7,131210,113491
171,509,7,131206,113487
173,508,7,131198,113483
176,507,7,131195,113470
178,505,7,131175,113490
181,504,7,131169,113482
183,501,7,131168,113464
185,501,7,131156,113481
188,502,7,131140,113479
190,501,7,131132,113468
193,500,7,131119,113474
195,495,7,131116,113471
198,494,7,131119,113479
200,493,7,131122,113476
202,492,7,131128,113473
205,491,7,131121,113483
207,494,7,131133,113484
210,494,7,131131,113485
212,495,7,131145,113489
216,494,7,131141,113462
218,496,7,131149,113489
221,498,7,131135,113488
223,496,7,131151,113480
225,494,7,131141,113473
228,495,7,131137,113469
230,496,7,131138,113457
233,497,7,131138,113458
235,496,7,131131,113456
238,494,7,131132,113448
240,493,7,131132,113453
242,493,7,131132,113443
245,493,7,131110,113440
247,495,7,131111,113438
250,497,7,131108,113445
252,492,7,131114,113442
256,490,7,131110,113433
258,491,7,131105,113429
261,494,7,131105,113429
263,494,7,131111,113429
265,495,7,131107,113428
268,494,7,131104,113445
270,495,7,131119,113431
273,494,7,131119,113447
275,496,7,131120,113447
278,498,7,131132,113448
280,498,7,131146,113446
282,497,7,131147,113446
285,493,7,131172,113475
287,492,7,131172,113475
290,493,7,131184,113480
292,493,7,131181,113477
295,492,7,131190,113477
297,494,7,131199,113493
301,495,7,131199,113501
303,496,7,131207,113500
305,497,7,131203,113500
308,497,7,131201,113488
310,491,7,131200,113481
313,488,7,131196,113484
315,484,7,131195,113476
318,484,7,131195,113483
320,486,7,131196,113474
322,487,7,131189,113474
325,490,7,131181,113475
327,492,7,131181,113465
330,494,7,131176,113462
332,494,7,131176,113462
335,493,7,131185,113450
337,495,7,131185,113451
340,496,7,131166,113453
343,498,7,131160,113453
345,499,7,131158,113441
348,498,7,131156,113439
350,495,7,131156,113448
353,492,7,131156,113440
355,493,7,131157,113440
358,494,7,131174,113443
360,492,7,131174,113459
362,492,7,131178,113461
365,495,7,131184,113464
367,495,7,131184,113464
370,494,7,131205,113464
372,494,7,131206,113464
375,493,7,131221,113475
377,493,7,131221,113476
380,491,7,131212,113481
382,490,7,131204,113481
385,490,7,131226,113473
388,492,7,131226,113481
390,491,7,131226,113478
393,488,7,131227,113488
395,488,7,131208,113488
398,489,7,131239,113492
400,496,7,131239,113493
402,496,7,131237,113496
405,496,7,131240,113496
407,495,7,131231,113497
410,498,7,131231,113494
412,499,7,131237,113494
415,500,7,131211,113494
417,499,7,131211,113485
420,497,7,131243,113484
422,498,7,131195,113484
424,499,7,131229,113486
428,499,7,131229,113475
430,496,7,131227,113478
433,495,7,131214,113478
435,495,7,131219,113478
438,494,7,131219,113476
440,496,7,131188,113476
442,498,7,131210,113478
445,501,7,131210,113474
447,498,7,131221,113478
450,497,7,131205,113478
452,495,7,131208,113477
455,495,7,131208,113476
457,495,7,131201,113476
460,494,7,131201,113462
462,492,7,131214,113464
464,490,7,131204,113464
467,490,7,131198,113454
470,491,7,131198,113462
473,493,7,131196,113461
475,495,7,131199,113460
478,495,7,131194,113460
480,494,7,131194,113468
482,492,7,131198,113468
485,492,7,131216,113463
487,494,7,131216,113462
490,495,7,131196,113470
492,494,7,131194,113458
495,493,7,131194,113467
497,494,7,131192,113469
500,497,7,131199,113469
502,497,7,131212,113463
504,499,7,131212,113469
507,499,7,131200,113469
509,495,7,131195,113469
513,494,7,131220,113476
515,497,7,131225,113476
518,500,7,131225,113474
520,503,7,131222,113481
522,504,7,131221,113484
525,503,7,131225,113496
527,505,7,131247,113492
530,505,7,131257,113505
532,504,7,131262,113500
535,504,7,131271,113494
537,504,7,131264,113499
540,505,7,131271,113506
542,505,7,131254,113499
544,504,7,131256,113498
547,502,7,131263,113497
549,503,7,131250,113485
552,505,7,131227,113480
555,505,7,131236,113475
558,503,7,131224,113474
560,502,7,131222,113467
562,502,7,131209,113467
565,503,7,131214,113457
567,505,7,131202,113445
570,507,7,131196,113451
572,510,7,131182,113448
575,509,7,131173,113441
577,508,7,131163,113426
580,508,7,131152,113421
582,505,7,131142,113409
584,503,7,131132,113410
587,502,7,131125,113398
589,501,7,131120,113399
592,505,7,131121,113394
594,507,7,131126,113397
598,507,7,131121,113401
600,507,7,131129,113405
602,508,7,131140,113409
605,506,7,131158,113420
607,506,7,131168,113416
610,503,7,131154,113429
612,500,7,131159,113437
615,498,7,131180,113448
617,499,7,131194,113443
620,501,7,131201,113445
622,501,7,131203,113455
624,503,7,131218,113461
627,502,7,131217,113459
629,501,7,131216,113467
632,499,7,131238,113473
634,495,7,131235,113474
637,495,7,131247,113469
640,495,7,131225,113472
642,493,7,131230,113476
645,491,7,131234,113471
647,490,7,131236,113474
650,490,7,131227,113466
652,490,7,131237,113474
655,492,7,131217,113465
657,492,7,131213,113462
660,492,7,131218,113451
662,493,7,131207,113454
664,492,7,131210,113449
667,496,7,131193,113441
669,497,7,131184,113438
672,498,7,131178,113427
674,498,7,131174,113434
677,496,7,131169,113426
679,498,7,131173,113427
681,498,7,131161,113427
685,500,7,131171,113421
687,499,7,131165,113432
690,499,7,131179,113426
692,496,7,131183,113438
695,496,7,131182,113434
697,498,7,131198,113445
700,502,7,131196,113445
702,501,7,131204,113450
704,501,7,131220,113459
707,498,7,131216,113463
709,497,7,131219,113457
712,496,7,131220,113464
714,497,7,131227,113466
717,496,7,131236,113470
719,496,7,131243,113475
721,501,7,131242,113475
724,507,7,131241,113472
727,513,7,131256,113479
730,515,7,131253,113479
732,519,7,131245,113485
735,526,7,131247,113485
737,540,7,131246,113477
740,547,7,131246,113468
742,553,7,131249,113468
744,554,7,131245,113470
747,553,7,131232,113465
749,540,7,131235,113460
752,531,7,131230,113460
754,515,7,131217,113469
757,505,7,131218,113469
759,492,7,131216,113456
761,488,7,131209,113446
764,483,7,131209,113448
766,481,7,131216,113446
770,481,7,131208,113441
772,481,7,131205,113451
775,483,7,131211,113459
777,487,7,131214,113459
780,487,7,131214,113463
782,488,7,131225,113471
784,492,7,131236,113474
787,492,7,131248,113477
789,491,7,131242,113486
792,493,7,131242,113508
794,495,7,131272,113488
797,497,7,131278,113498
799,496,7,131282,113498
801,496,7,131279,113498
804,493,7,131289,113505
806,494,7,131289,113502
809,497,7,131283,113501
812,499,7,131292,113501
815,499,7,131289,113499
817,501,7,131289,113505
820,501,7,131286,113502
822,502,7,131284,113501
824,501,7,131287,113501
827,500,7,131279,113504
829,500,7,131279,113502
832,500,7,131282,113497
834,500,7,131279,113497
837,498,7,131285,113496
839,499,7,131285,113491
841,498,7,131275,113495
844,497,7,131276,113494
846,498,7,131270,113494
849,497,7,131271,113492
851,497,7,131271,113489
855,497,7,131277,113495
857,498,7,131282,113495
860,498,7,131281,113498
862,501,7,131283,113500
864,501,7,131287,113500
867,499,7,131297,113502
869,501,7,131297,113505
872,504,7,131289,113506
874,506,7,131299,113512
877,505,7,131296,113506
879,506,7,131291,113506
881,508,7,131307,113511
884,506,7,131307,113511
886,506,7,131301,113512
889,506,7,131299,113512
891,507,7,131305,113509
894,505,7,131312,113513
897,507,7,131312,113514
900,508,7,131305,113504
902,508,7,131285,113504
904,510,7,131312,113504
907,509,7,131312,113505
909,505,7,131288,113504
912,503,7,131287,113504
914,503,7,131295,113502
917,503,7,131295,113497
919,505,7,131256,113497
921,506,7,131297,113500
924,508,7,131297,113498
926,507,7,131293,113500
929,507,7,131292,113500
931,506,7,131292,113499
934,506,7,131283,113499
936,507,7,131284,113494
940,508,7,131284,113493
942,510,7,131281,113488
944,509,7,131279,113487
947,510,7,131269,113487
949,511,7,131275,113489
952,511,7,131275,113494
954,514,7,131277,113495
957,516,7,131273,113495
959,517,7,131279,113488
961,515,7,131279,113485
964,514,7,131267,113489
966,512,7,131270,113489
969,511,7,131260,113489
971,513,7,131248,113489
974,513,7,131248,113487
976,514,7,131243,113480
979,516,7,131234,113480
982,517,7,131234,113480
984,517,7,131213,113476
987,516,7,131213,113476
989,513,7,131188,113468
992,509,7,131184,113460
994,508,7,131193,113469
997,508,7,131156,113469
999,506,7,131149,113459
1001,506,7,131149,113444
1004,505,7,131122,113446
