TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
143503,506,217,127295,110823
143506,506,217,127344,110834
143498,506,217,127262,110794
143501,506,218,127295,110811
143503,506,217,127295,110823
143506,506,217,127344,110834
6,595,244,0,57579
8,575,244,57572,57579
11,544,243,73964,73952
13,514,244,90345,90313
16,477,243,106699,111400
18,467,243,123083,111400
21,461,243,128991,111397
23,456,243,129003,111403
25,449,243,129017,111410
28,438,243,129029,111408
30,425,242,129033,111405
33,415,242,129030,111410
35,402,242,129025,111407
38,398,242,129032,111409
40,395,242,129038,111419
43,393,242,129044,111414
46,392,241,129048,111420
48,391,242,129047,111421
51,389,241,129067,111427
53,388,241,129078,111419
56,386,241,129079,111425
58,383,241,129073,111429
61,381,241,129075,111435
63,379,241,129086,111432
65,377,241,129093,111433
68,376,240,129101,111439
70,375,240,129097,111440
73,374,240,129107,111439
75,374,240,129118,111439
78,373,240,129131,111438
80,374,240,129125,111437
82,375,240,129116,111441
86,375,240,129123,111448
88,376,240,129124,111441
91,378,240,129127,111442
93,379,240,129147,111451
96,380,239,129143,111453
98,381,239,129138,111445
101,382,239,129159,111460
103,383,239,129161,111447
105,384,239,129159,111453
108,386,239,129157,111458
110,387,239,129164,111455
113,388,239,129169,111462
115,389,239,129179,111461
118,390,239,129182,111466
120,393,239,129178,111467
122,395,239,129190,111463
125,397,239,129193,111467
128,398,239,129199,111466
131,400,239,129203,111465
133,402,239,129209,111470
136,403,239,129204,111463
138,406,239,129211,111479
141,408,238,129215,111478
143,410,239,129215,111476
145,411,238,129229,111477
148,414,238,129224,111478
150,415,238,129230,111483
153,417,238,129231,111486
155,420,238,129245,111486
158,422,238,129255,111489
160,424,238,129252,111481
162,425,238,129261,111492
165,427,238,129254,111495
167,429,238,129264,111496
171,431,238,129265,111491
173,434,238,129267,111495
176,436,238,129277,111500
178,437,238,129287,111506
181,440,238,129281,111502
183,443,238,129286,111512
185,444,238,129300,111509
188,445,238,129290,111506
190,448,238,129301,111506
193,449,238,129303,111512
195,452,238,129304,111507
198,454,238,129301,111510
200,456,238,129303,111508
202,459,238,129288,111506
205,460,238,129294,111502
207,464,238,129285,111498
210,466,238,129281,111499
212,468,238,129261,111486
216,470,238,129234,111478
218,474,238,129203,111461
221,476,238,129164,111431
223,477,238,129106,111415
225,479,238,129027,111388
228,481,238,128944,111353
230,483,238,128843,111301
233,484,238,128843,111254
235,487,238,128567,111199
238,488,238,128405,111139
240,491,238,128213,111059
242,493,238,128213,110980
245,494,238,127774,110894
247,497,238,127525,110797
250,499,238,127281,110706
252,501,238,127054,110611
256,502,238,127054,110517
258,504,238,126580,110448
261,505,238,126372,110448
263,507,238,126157,110273
265,508,238,126157,110185
268,509,238,125715,110105
270,510,238,125505,110019
273,510,238,125301,109942
275,510,238,125108,109865
278,510,238,125108,109790
280,509,238,124723,109725
282,508,238,124553,109725
285,506,238,124401,109616
287,504,238,124401,109568
