,scr_mean,scr_std,scr_max,scr_min,scr_range,scr_kurtosis,scr_skew,scr_momentum,scr_activity,scr_complexity,scr_mobility,scr_rms,scr_acr_length,scr_integral,scr_average_power,scr_f1sc,scr_f2sc,scr_f3sc,scr_Energy,scr_Entropy,scr_max_freq,scl_mean,scl_std,scl_max,scl_min,scl_range,scl_kurtosis,scl_skew,scl_momentum
S210,-0.004534540724420455,0.02052851607117369,0.02886273458805544,-0.07123242887336835,0.10009516346142379,0.764938300489947,-1.0270136709939839,0.00042141997208443635,0.00042141997208443635,5.1252898521273424,0.001972990242421344,0.021023368704036562,34098.000027968046,529.8852072906939,0.00044198203166586394,0.008841476035681492,0.029314823752231326,0.05529924184272369,2.5979990529224373,-23.08890374090965,0.0,5.00761388882025,0.24003887740437577,5.592778475530161,4.7177568474304765,0.8750216280996845,-0.6603320739897467,0.5858196924979053,0.05761866266555294
S211,8.452444246377205e-05,0.00495292631772813,0.022216526985092702,-0.011921623987617055,0.03413815097270976,3.736082474474424,1.2237474668559507,2.453147910884393e-05,2.453147910884393e-05,5.094580308734832,0.0035386707955323113,0.004953647493536227,34851.00000535738,127.00799979897593,2.4538623490217745e-05,0.01175540417737238,0.0108395894989597,0.025874770564492507,1.7863369942676313,-14.78781424650741,0.0,4.299604152445157,0.19825824495262517,4.636473177993224,4.010364753245455,0.6261084247477688,-1.2769780883155586,0.07851440520910687,0.039306331691695125
S212,0.0003216641882677827,0.0041654410978101165,0.015213268807431882,-0.013956064900349513,0.029169333707781395,1.5492486514056765,0.8673134506387525,1.735089953932555e-05,1.735089953932555e-05,69.7576505919522,0.0072690910744314064,0.004177842432325508,35076.000024343324,107.32817336328266,1.745436738933952e-05,0.06804558003376779,0.12173919283158705,0.009771791688831204,6.886749173466198,-17.318462687043805,0.203125,3.7202629378004977,0.13532415384748162,3.94561855641148,3.5144187555051634,0.4311998009063167,-1.2470431122869956,-0.0027524871911274273,0.018312626614536875
S213,-0.00042870637710133155,0.0241138023899078,0.1337960870633731,-0.05816132739227091,0.19195741445564402,12.232398003628557,2.5618023025136663,0.0005814754656995231,0.0005814754656995231,172.42790809965007,0.0034895974689490732,0.024117612959355876,36536.00022298066,412.9319917785642,0.0005816592548572904,0.015964106455120072,0.009981066302505743,0.018189223735455916,8.769433792975851,-15.891023413009883,-0.40234375,3.30776475891688,0.0900462318559009,3.461897878668217,3.148006957720693,0.3138909209475238,-0.9618862872896128,-0.4558723267513582,0.00810832387144666
S214,-0.0001224095255646547,0.0030032656820663927,0.01257755794466334,-0.007857731166737542,0.020435289111400884,1.1841979244245069,0.5492023826393431,9.019604757077715e-06,9.019604757077715e-06,41.941320969859134,0.01563983337026078,0.0030057592799535154,38083.000078157966,85.39717254381995,9.034588849026677e-06,0.013261751372463552,0.02749945169692484,0.020457307336736733,0.30664734171297325,-16.928395234638216,-0.08203125,2.8948302136376873,0.11434171421984315,3.0948256372073417,2.732891810536721,0.3619338266706209,-1.2753058750794055,0.14374883826106405,0.013074027610732281
S215,0.00023439595355171736,0.0028180810728609517,0.012985579047451446,-0.0060990145622955355,0.019084593609746982,2.019320750216351,1.0414375579943826,7.941580933217132e-06,7.941580933217132e-06,44.59932512510708,0.007378396802372119,0.0028278122986256623,37584.00000987333,77.19770100533772,7.996522396258553e-06,0.017277026566039175,0.016900201813540364,0.015811516009523945,0.27434507038099526,-14.829500536360943,-0.0703125,2.5531476473799515,0.08203703350675369,2.690018626724715,2.4367219146747012,0.2532967120500138,-1.3115755442613921,0.13153301098087666,0.006730074866588228
S216,0.00014348555904842078,0.0023063615113540696,0.011301976982509688,-0.0049420506560514735,0.016244027638561163,1.6698341576898477,0.8121681254150249,5.319303421055429e-06,5.319303421055429e-06,37.45390010733918,0.009420056456872734,0.002310820531047547,37018.00001090075,65.69455119627777,5.339891526710867e-06,0.021439028266327407,0.02410005116519103,0.029424884712834234,0.41990410441686193,-19.978699104167084,-0.0546875,2.2988714057610613,0.0615720822566995,2.4017039751656513,2.2111871700685817,0.19051680509706959,-1.3049571311219939,0.11504978845862952,0.00379112131342577
S217,0.0002097661499574318,0.0022443907534263783,0.013045801946567091,-0.004432853242258937,0.017478655188826027,8.066022902158934,2.1304297785388293,5.037289854065826e-06,5.037289854065826e-06,11.44287687296187,0.00837545800814148,0.0022541720634711515,38035.000006835144,54.87973288765899,5.0812916917337884e-06,0.03024507484406002,0.026652077839028027,0.028743514223506867,0.5446470188939758,-22.033289686673108,-0.08203125,2.104320065880383,0.051936960581121176,2.1890915469668037,2.0284929269090513,0.1605986200577525,-1.3149886570431555,0.066687359067635,0.0026974478744049347
S218,0.0002375271066121671,0.0020290457184631294,0.012889859026944278,-0.004057664250839234,0.01694752327778351,7.625807512126173,2.0158059534563755,4.117026527613557e-06,4.117026527613557e-06,4.567308271652044,0.009499735220331772,0.002042901283466508,37711.00000701409,50.26668393590115,4.173445653989104e-06,0.017636171134801263,0.016568162225438485,0.020929593740331345,0.31998021774074603,-17.01871861254432,-0.07421875,1.932126056430734,0.04448540342303886,2.003873636736898,1.869302076374781,0.13457156036211693,-1.3387696485034115,0.13662752442323237,0.0019789511177105176
S219,-0.0004812484397477845,0.0020188092230175444,0.01160780728146267,-0.009110385311598272,0.020718192593060944,3.4961771396009045,-1.5720154598508962,4.075590678940701e-06,4.075590678940701e-06,29.187904989472642,0.0226946742323336,0.0020753772523809683,37687.00007423753,49.90628498058285,4.307190739700378e-06,0.011810908212237336,0.019177031560883556,0.009276477648179397,0.5572358843660196,-15.684590448629422,-0.07421875,1.7909094030668766,0.036254160062529406,1.8636270915005442,1.741252787555218,0.12237430394532622,-1.137843655139728,0.26198537424217233,0.001314364121839502
