TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
13469,499,77,143917,120752
13459,504,77,143925,120753
13461,503,77,143923,120753
13464,501,77,143925,120755
13466,499,77,143926,120747
13469,499,77,143917,120752
3,0,0,0,0
6,504,58,0,0
8,505,58,57555,57544
11,504,58,73893,73895
13,503,58,90296,90314
15,502,58,106672,106672
18,501,59,123076,120643
20,499,59,139448,120645
23,498,59,143714,120641
25,498,59,143714,120639
28,497,59,143720,120639
30,496,60,143720,120643
33,496,60,143735,120643
35,496,60,143729,120655
37,496,60,143738,120644
40,495,60,143735,120653
43,495,60,143735,120646
46,495,60,143741,120650
48,495,61,143752,120645
51,495,61,143763,120648
53,495,61,143759,120653
55,495,61,143774,120659
58,495,61,143764,120658
60,495,61,143769,120661
63,495,61,143763,120659
65,495,61,143787,120664
68,495,62,143785,120661
70,496,62,143785,120662
73,496,62,143789,120664
75,497,62,143797,120666
77,496,62,143797,120666
80,496,62,143798,120670
82,497,62,143797,120670
86,497,62,143823,120684
88,497,62,143823,120690
91,497,62,143827,120682
93,498,62,143826,120679
95,498,63,143835,120682
98,499,63,143838,120683
100,498,63,143837,120683
103,499,63,143857,120684
105,499,63,143857,120691
108,500,63,143855,120695
110,500,63,143849,120693
113,500,63,143865,120689
115,500,63,143861,120694
117,500,63,143866,120694
120,500,63,143871,120699
122,500,63,143880,120701
125,500,63,143866,120700
128,500,63,143874,120705
131,501,63,143894,120702
133,501,63,143892,120706
135,501,63,143889,120712
138,502,64,143894,120695
140,502,63,143887,120702
143,502,64,143902,120712
145,502,64,143904,120717
148,503,64,143908,120713
150,503,64,143925,120705
153,503,64,143920,120710
155,504,64,143923,120718
157,504,64,143926,120719
160,504,64,143918,120716
162,504,64,143926,120714
165,504,64,143921,120715
167,504,64,143927,120715
171,505,64,143936,120720
173,505,64,143939,120730
175,506,64,143946,120727
178,507,64,143943,120719
180,507,64,143944,120737
183,507,64,143953,120731
185,507,64,143955,120731
188,508,64,143950,120737
190,508,64,143961,120728
193,508,64,143967,120744
195,508,64,143974,120731
197,508,64,143969,120739
200,508,64,143975,120739
202,508,64,143977,120741
205,508,64,143981,120742
207,509,64,143979,120740
210,509,64,143985,120744
212,510,64,143998,120745
215,510,65,143978,120742
218,510,65,143990,120750
220,510,65,143990,120742
223,510,64,144005,120742
225,510,64,144005,120752
228,511,65,144002,120754
230,511,65,144019,120757
233,512,65,144018,120752
235,512,65,144020,120756
237,512,65,144023,120751
240,513,65,144020,120751
242,513,65,144020,120752
245,513,65,144020,120755
247,513,65,144029,120760
250,513,65,144031,120760
252,513,65,144036,120755
254,513,65,144028,120749
258,513,65,144036,120758
260,513,65,144037,120754
263,513,65,144050,120761
265,513,65,144046,120765
268,513,65,144053,120759
270,513,65,144046,120761
273,513,65,144046,120766
275,513,65,144058,120768
277,513,65,144060,120763
280,513,65,144060,120761
282,513,65,144061,120762
285,514,65,144061,120768
287,514,65,144068,120767
290,514,65,144068,120770
292,514,65,144068,120765
294,515,65,144070,120765
297,515,65,144078,120771
300,515,65,144075,120762
303,515,65,144071,120765
305,514,65,144071,120773
308,515,65,144082,120768
310,515,65,144079,120778
313,515,65,144079,120777
315,515,65,144091,120777
317,516,65,144087,120777
320,515,65,144096,120776
322,515,65,144096,120775
325,515,65,144094,120779
327,515,65,144090,120779
330,515,65,144102,120782
332,514,65,144110,120775
334,514,65,144110,120780
337,515,65,144110,120777
339,515,65,144113,120777
343,515,65,144118,120784
345,515,65,144118,120790
348,514,65,144131,120784
350,515,65,144123,120784
353,515,65,144135,120788
355,515,65,144141,120799
357,515,65,144141,120798
360,515,66,144142,120801
362,515,65,144144,120801
365,515,65,144156,120808
367,515,65,144156,120806
370,515,65,144149,120804
372,515,65,144151,120804
374,516,65,144162,120797
377,516,65,144162,120807
379,515,65,144170,120807
382,515,65,144171,120812
385,515,65,144171,120815
388,514,65,144181,120808
390,515,65,144182,120808
393,514,65,144188,120817
395,515,65,144188,120819
397,515,65,144193,120824
400,515,65,144197,120824
402,515,66,144210,120827
405,515,65,144215,120826
407,515,65,144215,120816
410,514,65,144214,120819
412,515,65,144211,120819
414,514,66,144227,120823
417,514,65,144227,120822
419,514,65,144223,120825
422,514,65,144228,120825
424,515,65,144232,120825
428,515,65,144232,120825
430,515,66,144234,120825
433,515,65,144243,120828
435,514,65,144243,120830
437,514,65,144241,120840
440,515,66,144260,120840
442,514,65,144262,120840
445,514,65,144262,120836
447,515,65,144265,120837
450,515,66,144266,120837
452,515,66,144277,120838
454,515,65,144280,120853
457,515,65,144280,120839
459,514,65,144281,120844
462,514,65,144282,120844
464,514,66,144288,120836
467,514,65,144288,120841
470,514,65,144279,120841
473,515,66,144293,120841
475,515,66,144309,120856
477,515,65,144306,120857
480,515,65,144306,120853
482,515,66,144314,120852
485,515,66,144314,120852
487,515,66,144318,120859
490,515,66,144318,120858
492,515,66,144322,120855
494,515,66,144328,120855
497,515,66,144332,120865
499,515,65,144339,120867
502,515,66,144339,120866
504,515,65,144350,120876
507,515,66,144339,120872
509,515,66,144351,120871
513,515,66,144351,120873
515,515,65,144365,120874
517,515,66,144358,120874
520,514,65,144362,120875
522,514,65,144366,120868
525,514,66,144364,120872
527,514,66,144376,120880
530,514,66,144381,120886
532,514,65,144378,120879
534,514,66,144378,120885
537,514,66,144393,120885
539,514,65,144391,120889
542,514,66,144405,120886
544,514,65,144414,120889
547,514,66,144414,120884
549,514,66,144406,120891
552,514,66,144410,120886
555,514,66,144410,120889
557,514,66,144405,120887
560,514,66,144416,120900
562,514,66,144424,120888
565,513,66,144426,120894
567,514,66,144428,120890
570,514,66,144431,120894
572,514,65,144426,120890
574,514,66,144426,120889
577,514,66,144429,120890
579,514,65,144433,120889
582,514,65,144431,120898
584,514,66,144438,120896
587,514,66,144436,120894
589,514,66,144444,120898
592,514,66,144452,120897
594,514,66,144454,120898
596,515,66,144454,120897
600,515,66,144451,120899
602,514,66,144454,120900
605,514,66,144467,120902
607,514,66,144456,120906
610,514,66,144447,120895
612,514,66,144456,120897
614,514,66,144471,120905
617,514,66,144469,120899
619,514,65,144478,120899
622,514,66,144481,120906
624,514,66,144477,120906
627,514,66,144469,120911
629,514,66,144480,120914
632,514,66,144477,120910
634,514,66,144490,120909
636,514,66,144501,120917
640,515,66,144500,120919
642,516,66,144499,120921
645,516,66,144499,120919
647,517,66,144500,120915
650,517,66,144489,120923
