TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,503,368,0,0
8,504,367,57558,57533
11,505,367,73969,73897
13,505,367,90350,90357
15,505,367,106703,106723
18,505,367,123066,121788
20,505,368,131605,121787
23,505,367,131424,121788
25,506,367,131451,121807
28,506,368,131473,121807
30,505,368,131489,121822
33,505,368,131524,121827
35,505,368,131541,121842
37,505,368,131569,121845
40,506,368,131589,121857
43,509,368,131611,121870
46,509,368,131634,121887
48,508,368,131665,121883
51,506,368,131692,121904
53,505,368,131728,121919
55,505,368,131756,121930
58,506,368,131780,121934
60,507,368,131807,121943
63,509,368,131827,121961
65,510,368,131867,121969
68,510,368,131881,121984
70,511,368,131913,122001
73,511,368,131947,122010
75,513,368,131979,122017
77,518,368,132012,122034
80,537,368,132044,122045
82,546,368,132075,122059
86,553,368,132101,122077
88,560,368,132124,122087
91,563,368,132161,122097
93,544,368,132182,122113
95,526,368,132212,122125
98,505,368,132248,122129
100,488,368,132282,122158
103,475,368,132315,122162
105,464,368,132348,122170
108,461,368,132372,122185
110,458,368,132393,122201
113,457,368,132430,122209
115,459,368,132455,122220
117,461,368,132483,122234
120,464,368,132524,122244
122,467,368,132540,122258
125,473,368,132560,122270
128,476,368,132601,122280
131,482,368,132615,122292
133,490,368,132646,122303
135,495,368,132676,122311
138,499,368,132692,122329
140,502,368,132725,122333
143,508,368,132741,122344
145,511,368,132770,122357
148,515,368,132793,122360
150,518,368,132819,122372
153,520,368,132835,122382
155,521,368,132848,122395
157,521,368,132870,122399
160,521,368,132893,122408
162,522,368,132912,122416
165,523,368,132931,122430
167,523,368,132942,122434
171,522,368,132958,122432
173,522,368,132979,122453
175,522,368,133002,122452
178,522,368,133010,122460
180,522,368,133025,122466
183,522,368,133034,122471
185,522,368,133059,122474
188,523,368,133067,122478
190,524,368,133080,122484
193,523,368,133087,122491
195,522,368,133093,122497
197,522,368,133111,122504
200,522,368,133129,122514
202,521,368,133133,122508
205,521,368,133136,122516
207,521,368,133146,122516
210,523,368,133146,122519
212,523,368,133163,122523
215,523,368,133173,122523
218,520,368,133177,122537
220,519,368,133191,122528
223,519,368,133194,122532
225,518,368,133197,122530
228,519,368,133204,122541
230,519,368,133219,122546
233,519,368,133219,122547
235,519,368,133219,122545
237,520,368,133227,122545
240,521,368,133240,122554
242,520,368,133242,122554
245,520,368,133242,122556
247,520,368,133252,122551
250,520,368,133253,122551
252,521,368,133255,122562
254,521,368,133255,122557
258,521,368,133265,122563
260,521,368,133276,122563
263,521,368,133280,122568
265,522,368,133283,122570
268,522,368,133283,122580
270,523,368,133298,122580
273,524,368,133298,122580
275,524,368,133316,122591
277,524,368,133316,122590
280,524,368,133321,122590
282,524,368,133331,122590
285,524,368,133342,122593
287,524,368,133345,122594
290,525,368,133341,122605
292,525,368,133341,122592
294,525,368,133358,122598
297,527,368,133362,122609
300,527,368,133366,122609
303,528,368,133373,122607
305,528,368,133373,122613
308,529,369,133377,122612
310,529,368,133390,122612
313,530,368,133388,122612
315,530,368,133383,122605
317,530,368,133383,122600
320,530,368,133377,122601
322,530,368,133377,122593
325,530,368,133358,122593
327,530,368,133346,122593
330,530,368,133336,122584
332,529,368,133336,122563
334,529,368,133310,122551
337,529,368,133246,122525
339,529,368,133204,122525
343,527,368,133204,122484
345,527,368,133089,122484
348,526,368,133027,122454
350,524,368,133027,122386
353,522,368,132948,122348
355,520,368,132783,122348
357,518,369,132689,122305
360,515,368,132578,122213
362,514,368,132474,122213
365,511,368,132474,122121
367,508,368,132351,122074
370,507,368,132124,122074
372,505,368,132124,121962
374,503,368,132016,121911
377,502,368,131767,121911
379,501,368,131662,121865
382,499,368,131662,121769
385,498,368,131547,121737
388,497,368,131342,121737
390,496,368,131245,121680
393,494,368,131245,121608
395,494,368,131075,121608
397,493,368,130994,121580
400,492,368,130994,121514
402,492,368,130924,121481
405,493,368,130799,121481
407,493,368,130742,121455
410,493,368,130742,121414
412,494,368,130697,121397
414,494,369,130646,121397
417,494,368,130574,121379
419,494,368,130538,121371
422,494,368,130538,121342
424,494,368,130523,121335
428,494,368,130460,121335
430,494,368,130452,121327
433,494,368,130452,121309
435,495,368,130430,121310
437,497,368,130417,121310
440,497,368,130396,121304
442,497,368,130396,121307
445,497,368,130396,121302
447,497,368,130403,121302
450,497,369,130388,121308
452,498,368,130390,121303
454,498,368,130390,121312
457,499,368,130400,121320
459,499,368,130408,121320
462,499,368,130418,121329
464,499,368,130440,121332
467,498,368,130447,121339
470,499,369,130459,121347
473,499,368,130498,121356
475,499,368,130519,121368
477,499,369,130519,121392
480,499,368,130540,121392
482,501,369,130563,121402
485,501,368,130591,121414
487,502,368,130616,121423
490,502,368,130640,121434
492,502,369,130673,121437
494,502,369,130703,121453
497,502,368,130729,121482
499,502,368,130756,121482
502,502,368,130807,121500
504,504,368,130827,121521
507,504,369,130864,121534
509,504,369,130911,121553
513,505,369,130951,121570
515,504,368,130991,121584
517,505,369,131033,121603
520,505,369,131074,121624
522,505,369,131114,121642
525,506,368,131159,121660
527,506,369,131199,121676
530,506,369,131243,121704
532,507,369,131290,121714
534,506,369,131341,121734
537,506,369,131385,121756
539,506,369,131429,121763
542,506,369,131469,121784
544,506,369,131520,121812
547,506,369,131570,121839
549,507,369,131616,121858
552,508,369,131664,121880
555,508,369,131724,121898
557,507,369,131781,121924
560,507,369,131841,121944
562,507,369,131896,121972
565,507,369,131951,121998
567,507,369,132012,122025
570,507,368,132062,122054
572,507,369,132113,122071
574,507,369,132181,122094
577,508,369,132224,122120
579,508,369,132285,122154
582,508,369,132345,122160
584,508,369,132412,122193
587,508,369,132471,122216
589,507,369,132524,122238
592,507,369,132570,122261
594,507,369,132620,122279
596,507,369,132683,122310
600,507,369,132721,122324
602,508,369,132759,122344
605,508,369,132811,122359
607,509,369,132849,122386
610,509,369,132895,122390
612,509,369,132921,122410
614,509,369,132957,122427
617,508,369,132979,122436
619,508,369,133005,122446
622,507,369,133026,122454
624,508,369,133043,122457
627,508,369,133051,122464
