TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,511,46,0,0
8,508,46,57564,57568
11,500,46,73904,73926
13,486,47,90287,90310
15,462,47,106679,106711
18,435,47,123115,116555
20,385,47,127117,116524
23,365,47,127059,116504
25,345,47,126999,116477
28,326,48,126936,116452
30,296,48,126873,116426
33,286,48,126794,116399
35,276,48,126705,116370
37,270,48,126633,116342
40,263,48,126559,116314
43,257,48,126482,116285
46,255,48,126427,116270
48,252,48,126347,116225
51,250,48,126271,116207
53,247,49,126200,116183
55,246,49,126154,116156
58,247,49,126103,116143
60,248,49,126071,116130
63,251,49,126024,116119
65,253,49,125995,116108
68,255,49,125949,116097
70,256,49,125917,116077
73,257,49,125894,116082
75,261,49,125870,116069
77,264,49,125849,116062
80,267,49,125829,116058
82,271,49,125811,116051
86,276,49,125804,116039
88,277,49,125797,116035
91,279,49,125783,116032
93,281,49,125779,116028
95,284,49,125779,116031
98,291,49,125762,116023
100,295,49,125771,116032
103,299,49,125778,116032
105,302,49,125787,116036
108,305,49,125797,116042
110,308,49,125790,116043
113,310,49,125799,116050
115,312,49,125807,116043
117,314,49,125825,116046
120,321,49,125832,116055
122,324,49,125853,116063
125,326,49,125870,116063
128,328,49,125889,116072
131,328,49,125891,116071
133,329,49,125925,116083
135,330,49,125943,116097
138,332,49,125964,116102
140,334,49,125988,116115
143,338,49,126000,116123
145,342,49,126020,116129
148,344,49,126055,116129
150,346,49,126071,116138
153,348,49,126084,116139
155,352,49,126104,116148
157,355,49,126129,116165
160,358,49,126147,116166
162,363,49,126167,116149
165,369,49,126180,116175
167,372,49,126199,116178
171,375,49,126205,116185
173,380,49,126219,116190
175,384,49,126238,116192
178,387,49,126246,116195
180,392,49,126245,116199
183,401,49,126255,116198
185,405,49,126267,116203
188,408,49,126264,116201
190,410,49,126275,116210
193,414,49,126269,116181
195,419,49,126280,116209
197,423,49,126278,116200
200,427,49,126283,116204
202,432,49,126290,116206
205,436,49,126298,116212
207,442,49,126294,116211
210,444,49,126306,116208
212,448,49,126313,116211
215,450,49,126313,116219
218,453,49,126325,116220
220,459,49,126330,116220
223,463,49,126352,116225
225,467,49,126355,116235
228,469,49,126376,116234
230,471,49,126391,116239
233,472,49,126391,116243
235,473,49,126406,116248
237,475,49,126417,116248
240,480,49,126436,116260
242,483,49,126450,116260
245,485,49,126450,116263
247,486,49,126478,116266
250,487,49,126482,116266
252,488,49,126497,116278
254,488,49,126497,116280
258,492,49,126510,116287
