TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
30793,505,428,127497,117014
30796,505,428,127485,117009
30788,504,428,127498,117016
30791,505,428,127489,117018
30793,505,428,127497,117014
30796,505,428,127485,117009
6,501,423,0,0
8,502,422,57594,57552
11,503,423,73910,73939
13,503,423,90349,90322
15,503,423,106743,106712
18,503,423,123132,116466
20,503,423,126250,116457
23,503,423,126248,116464
25,504,423,126253,116453
28,504,423,126251,116459
30,504,423,126256,116453
33,504,424,126253,116454
35,504,424,126233,116453
37,504,424,126244,116447
40,505,424,126236,116442
43,505,424,126235,116446
46,506,424,126226,116441
48,506,424,126219,116437
51,507,424,126210,116438
53,507,424,126204,116442
55,507,424,126208,116442
58,508,424,126200,116429
60,509,424,126210,116438
63,512,425,126212,116434
65,513,425,126208,116434
68,514,425,126197,116432
70,514,425,126188,116421
73,515,425,126198,116428
75,515,425,126184,116433
77,515,425,126179,116424
80,516,425,126176,116428
82,515,425,126179,116429
86,515,425,126188,116424
88,515,425,126180,116419
91,516,425,126184,116427
93,516,425,126172,116422
95,517,425,126187,116429
98,519,425,126172,116424
100,519,425,126178,116420
103,519,425,126182,116423
105,519,425,126190,116429
108,518,425,126194,116427
110,517,425,126195,116431
113,516,425,126186,116431
115,515,425,126188,116425
117,514,425,126201,116437
120,513,425,126202,116440
122,511,425,126204,116445
125,510,425,126216,116443
128,509,425,126222,116448
131,507,425,126219,116443
133,505,426,126234,116451
135,504,426,126249,116452
138,504,426,126243,116452
140,504,425,126256,116460
143,503,425,126254,116453
145,503,425,126257,116462
148,502,426,126277,116458
150,502,426,126273,116466
153,502,426,126288,116471
155,502,425,126297,116474
157,502,426,126312,116486
160,502,426,126314,116483
162,503,426,126318,116473
165,502,426,126336,116495
167,502,426,126348,116502
171,502,426,126350,116510
173,502,426,126360,116511
175,502,426,126371,116509
178,502,426,126378,116524
180,502,426,126398,116522
183,503,426,126403,116530
185,503,426,126423,116535
188,504,426,126430,116531
190,503,426,126439,116539
193,504,426,126445,116523
195,504,426,126452,116546
197,504,426,126467,116543
200,504,426,126474,116555
202,504,426,126485,116563
205,504,426,126502,116563
207,502,426,126508,116563
210,501,426,126523,116576
212,495,426,126526,116571
215,491,426,126526,116580
218,485,426,126546,116584
220,481,426,126563,116592
223,483,426,126569,116588
225,490,426,126584,116594
228,499,426,126589,116605
230,526,426,126608,116600
233,540,426,126608,116604
235,564,426,126621,116612
237,584,426,126628,116612
240,630,426,126642,116620
242,654,426,126654,116619
245,673,426,126654,116626
247,701,426,126667,116626
250,720,426,126668,116626
252,756,426,126679,116636
254,763,426,126693,116634
258,758,426,126698,116639
260,742,426,126698,116642
263,707,426,126710,116643
265,651,427,126724,116649
268,614,427,126724,116650
270,565,426,126731,116658
273,531,426,126744,116658
275,471,427,126751,116656
277,453,426,126751,116668
280,438,426,126768,116669
282,433,426,126781,116669
285,431,426,126795,116672
287,433,426,126796,116677
290,436,426,126802,116693
292,444,426,126802,116685
294,451,426,126813,116686
297,457,426,126823,116694
300,460,426,126826,116694
303,466,426,126842,116701
305,468,426,126842,116706
308,469,426,126855,116705
310,471,426,126855,116705
313,472,426,126868,116699
315,475,426,126870,116709
317,476,426,126870,116707
320,478,426,126889,116716
322,479,426,126891,116716
325,480,426,126904,116725
327,482,426,126904,116723
330,483,426,126903,116719
332,484,426,126915,116719
334,485,426,126925,116728
337,487,426,126925,116722
339,488,426,126923,116733
343,488,426,126932,116733
345,489,426,126951,116733
348,490,426,126944,116743
350,492,426,126944,116745
353,493,426,126954,116745
355,494,426,126966,116745
357,495,426,126976,116742
360,496,426,126973,116741
362,496,426,126980,116741
365,498,426,126980,116750
367,499,426,126985,116760
370,499,426,126998,116760
372,500,426,126998,116757
374,502,426,127003,116759
377,503,426,127009,116759
379,503,426,126984,116763
382,505,426,127023,116772
385,506,426,127022,116772
388,507,426,127022,116758
390,508,426,127021,116773
393,508,426,127031,116773
395,509,426,127031,116777
397,510,426,127046,116778
400,511,426,127046,116778
402,512,426,127056,116781
405,513,426,127056,116785
407,515,426,127068,116786
410,516,426,127071,116786
412,516,426,127098,116788
414,519,426,127098,116803
417,519,426,127090,116803
419,521,426,127095,116807
422,522,426,127095,116809
424,524,426,127108,116813
428,525,426,127119,116813
430,526,426,127116,116809
433,528,426,127116,116811
435,530,426,127125,116820
437,532,426,127135,116820
440,533,426,127150,116816
442,534,426,127151,116827
445,537,426,127151,116828
447,539,426,127164,116828
450,541,426,127152,116822
452,542,426,127160,116836
454,543,426,127160,116826
457,547,426,127162,116827
459,549,426,127169,116827
462,550,426,127175,116830
464,551,426,127170,116827
467,552,426,127166,116817
470,555,426,127155,116823
473,556,426,127140,116817
475,558,426,127119,116812
477,559,426,127119,116796
480,559,426,127097,116796
482,561,426,127077,116775
485,561,426,127050,116768
487,561,426,127013,116747
490,561,426,126970,116737
492,561,426,126945,116724
494,561,426,126906,116692
497,560,426,126853,116688
499,559,426,126814,116659
502,557,426,126775,116644
504,553,426,126725,116626
507,550,426,126683,116609
509,548,426,126636,116586
513,544,426,126600,116570
515,536,426,126548,116548
517,532,426,126503,116529
520,528,426,126450,116518
522,523,426,126403,116483
525,518,426,126353,116463
527,509,426,126296,116443
530,504,426,126246,116430
532,500,426,126210,116403
534,495,426,126159,116391
537,487,426,126127,116367
539,484,426,126079,116352
542,480,426,126029,116334
544,478,426,125995,116317
547,474,426,125952,116308
