TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
262612,506,25,129784,111601
3,0,0,0,0
6,510,16,0,0
8,501,16,57551,57501
11,494,16,73851,73906
13,488,17,90317,90337
15,483,17,106677,106726
18,478,17,123050,111515
20,471,18,129576,111508
23,468,18,129584,111508
25,464,18,129584,111515
28,462,18,129587,111515
30,455,19,129588,111516
33,452,19,129605,111522
35,450,19,129612,111530
37,447,19,129605,111523
40,445,19,129613,111529
43,442,20,129621,111528
46,441,20,129621,111541
48,439,20,129627,111530
51,437,20,129641,111538
53,431,20,129660,111536
55,428,20,129657,111538
58,424,20,129652,111535
60,422,21,129662,111544
63,419,21,129673,111542
65,417,21,129673,111546
68,415,21,129669,111550
70,413,21,129675,111548
73,412,21,129666,111548
75,411,21,129688,111548
77,410,21,129688,111563
80,411,21,129695,111557
82,412,21,129711,111557
86,413,21,129712,111565
88,414,22,129720,111571
91,414,22,129717,111563
93,416,22,129722,111569
95,416,22,129735,111578
98,418,22,129745,111578
100,419,22,129753,111580
103,421,22,129769,111578
105,423,22,129771,111589
108,423,22,129773,111592
110,423,22,129779,111583
113,424,22,129780,111589
115,427,22,129780,111594
117,429,22,129781,111600
120,431,22,129796,111592
122,433,23,129806,111595
125,436,23,129792,111597
128,438,23,129808,111604
131,439,23,129821,111604
133,441,23,129825,111606
135,443,23,129833,111610
138,444,23,129829,111612
140,446,23,129836,111610
143,451,23,129841,111619
145,453,23,129848,111619
148,455,23,129859,111618
150,456,23,129868,111626
153,457,23,129876,111631
155,459,23,129892,111635
157,460,23,129894,111634
160,461,23,129885,111631
162,462,23,129907,111637
165,462,24,129911,111642
167,463,24,129910,111644
171,464,24,129927,111637
173,464,24,129940,111644
175,465,24,129940,111658
178,467,24,129951,111662
180,469,24,129962,111665
183,470,24,129963,111662
185,472,24,129973,111661
188,473,24,129974,111665
190,476,24,129975,111670
193,477,24,129999,111668
195,479,24,129995,111676
197,480,24,130008,111682
200,481,24,130014,111682
202,484,24,130026,111685
205,484,24,130035,111690
207,485,24,130036,111689
210,486,24,130040,111694
212,487,24,130062,111698
215,488,24,130060,111702
218,490,24,130069,111703
220,491,24,130079,111702
223,492,24,130091,111712
225,493,24,130087,111708
228,494,24,130089,111713
230,496,24,130116,111719
233,497,24,130113,111714
235,497,24,130137,111723
237,498,24,130128,111723
240,500,24,130147,111731
242,501,24,130156,111730
245,502,24,130156,111736
247,503,24,130162,111736
250,504,24,130174,111736
252,505,25,130189,111747
254,505,25,130195,111740
258,507,25,130193,111744
260,509,25,130215,111757
263,510,25,130231,111755
265,512,25,130234,111760
268,512,25,130234,111766
270,513,25,130246,111766
273,514,25,130254,111766
275,514,25,130267,111771
277,514,25,130279,111774
280,515,25,130280,111778
282,516,25,130280,111777
285,516,25,130292,111782
287,517,25,130303,111785
290,517,25,130303,111780
292,517,25,130317,111796
294,517,25,130320,111796
297,518,25,130345,111803
300,518,25,130345,111795
303,519,25,130346,111807
305,519,25,130367,111807
308,519,25,130378,111814
310,519,25,130388,111816
313,519,25,130393,111826
315,519,25,130403,111828
317,519,25,130416,111828
320,520,25,130417,111828
322,520,25,130417,111833
325,520,25,130433,111837
327,521,25,130436,111837
330,521,25,130447,111835
332,521,25,130452,111841
334,521,25,130452,111845
337,521,25,130469,111849
339,522,25,130470,111849
343,523,25,130479,111854
345,527,25,130479,111854
348,529,25,130491,111864
350,531,25,130505,111864
353,533,25,130511,111866
355,537,25,130519,111865
357,537,25,130519,111880
360,537,25,130549,111883
362,536,25,130551,111883
365,535,25,130558,111887
367,532,25,130558,111887
370,530,25,130580,111895
372,529,25,130581,111895
374,528,25,130601,111894
377,527,25,130599,111900
379,526,25,130605,111900
382,526,25,130605,111907
385,528,25,130616,111911
388,529,25,130636,111911
390,530,25,130636,111917
393,529,25,130645,111917
395,529,25,130650,111917
397,528,25,130666,111921
400,527,25,130670,111926
402,526,25,130671,111926
405,526,25,130671,111934
407,525,25,130684,111936
410,525,25,130697,111936
412,524,25,130697,111939
414,524,25,130709,111951
417,524,25,130732,111951
419,524,25,130741,111950
422,524,25,130741,111956
424,524,25,130754,111956
428,523,25,130754,111970
430,523,25,130773,111967
433,523,25,130775,111967
435,523,25,130775,111974
437,524,25,130791,111978
440,524,25,130805,111991
442,523,25,130805,111982
445,523,25,130811,111990
447,523,25,130819,111988
450,524,25,130831,111988
452,524,25,130841,111997
454,524,25,130841,112002
457,524,25,130860,112002
459,524,25,130871,112000
462,524,25,130871,112007
464,525,25,130879,112011
467,525,25,130903,112011
470,524,25,130916,112025
473,524,25,130916,112030
475,524,25,130929,112033
477,524,25,130929,112033
480,525,25,130941,112029
482,525,25,130954,112041
485,526,25,130954,112043
487,526,25,130966,112043
490,526,25,130985,112049
492,526,25,130995,112061
494,527,25,130995,112056
497,527,25,131004,112061
499,527,25,130999,112061
502,527,25,131018,112069
504,528,25,131028,112066
507,528,25,131034,112072
509,528,25,131053,112075
513,528,25,131067,112080
515,528,25,131069,112086
517,528,25,131069,112098
520,528,25,131086,112098
522,528,25,130905,112093
525,529,25,130919,112099
527,529,25,130923,112097
530,530,25,130929,112102
532,534,25,130945,112101
534,536,25,130951,112110
537,537,25,130955,112116
539,537,25,130961,112116
542,537,25,130980,112121
544,536,25,130987,112131
547,535,25,130991,112132
549,535,25,131011,112131
552,534,25,131012,112136
555,533,25,131025,112139
557,532,25,131031,112137
560,532,25,131030,112153
562,532,25,131043,112147
565,532,25,131054,112150
567,532,25,131058,112148
570,531,25,131060,112154
572,532,25,131067,112146
574,531,25,131076,112156
577,531,25,131095,112164
579,531,25,131108,112168
582,531,25,131091,112170
584,531,25,131113,112172
587,531,25,131119,112166
589,530,25,131118,112178
592,530,25,131116,112182
594,531,25,131125,112170
596,532,25,131132,112180
600,536,25,131141,112187
602,538,25,131149,112192
605,540,25,131166,112199
607,541,25,131177,112198
610,542,25,131192,112205
612,544,25,131202,112206
614,545,25,131201,112208
617,546,25,131213,112205
619,546,25,131213,112204
622,547,25,131219,112210
624,547,25,131233,112221
627,548,25,131240,112220
629,548,25,131248,112219
632,549,26,131236,112221
634,549,25,131252,112225
636,549,25,131264,112227
640,549,26,131268,112234
642,549,26,131277,112230
645,549,26,131284,112235
647,549,26,131289,112242
650,549,26,131289,112239
652,549,26,131303,112250
654,548,26,131312,112252
657,548,26,131322,112259
659,547,26,131320,112261
662,547,26,131340,112262
664,547,26,131351,112260
667,546,26,131360,112268
669,543,26,131360,112271
672,540,25,131372,112268
674,536,26,131377,112278
676,532,26,131397,112280
679,528,26,131395,112287
681,524,26,131404,112287
685,522,26,131418,112284
687,522,25,131422,112293
690,526,26,131433,112298
692,531,25,131441,112297
694,539,25,131445,112300
697,557,25,131449,112299
699,569,25,131459,112300
702,580,25,131462,112308
704,593,25,131469,112314
707,609,25,131481,112315
709,633,25,131490,112323
712,643,25,131494,112322
714,647,25,131510,112326
716,648,25,131504,112329
719,631,25,131517,112338
721,615,25,131539,112328
724,604,25,131550,112335
727,577,25,131547,112324
730,562,25,131554,112342
732,539,25,131558,112347
734,511,25,131567,112353
737,496,25,131584,112352
739,481,25,131586,112351
742,468,25,131585,112355
744,464,25,131602,112350
747,464,25,131602,112360
749,466,25,131609,112362
752,468,25,131613,112362
754,476,25,131629,112367
756,480,25,131647,112364
759,482,25,131646,112369
761,484,25,131646,112373
764,484,25,131662,112375
766,484,25,131673,112378
770,484,25,131673,112382
772,485,25,131696,112387
774,485,25,131699,112387
777,487,25,131712,112395
779,487,25,131717,112394
782,488,25,131715,112401
784,489,25,131726,112402
787,490,25,131740,112406
789,491,25,131747,112410
792,492,25,131747,112413
794,492,25,131767,112417
796,493,25,131768,112417
799,495,25,131788,112426
801,495,25,131788,112427
804,496,25,131793,112425
806,497,24,131799,112425
809,498,24,131814,112434
812,498,24,131814,112439
814,499,25,131814,112439
817,500,25,131836,112445
