TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,519,465,0,0
8,520,464,57581,57545
11,521,464,73912,73985
13,522,464,90321,90345
15,522,464,106704,106714
18,523,464,123103,121509
20,524,464,135516,121502
23,524,464,135340,121510
25,525,464,135340,121509
28,525,464,135349,121513
30,526,464,135357,121516
33,526,464,135369,121516
35,526,464,135358,121511
37,527,464,135360,121514
40,527,464,135353,121507
43,528,464,135344,121502
46,528,464,135327,121500
48,528,464,135295,121478
51,529,464,135254,121463
53,529,464,135210,121433
55,529,464,135146,121409
58,529,464,135079,121370
60,529,464,134993,121326
63,529,464,134896,121292
65,528,464,134775,121234
68,528,464,134636,121177
70,528,464,134487,121111
73,527,464,134345,121048
75,526,464,134163,120978
77,524,464,133987,120908
80,523,464,133822,120836
82,521,464,133638,120764
86,518,464,133451,120687
88,516,464,133271,120612
91,514,464,133083,120543
93,513,464,132898,120464
95,511,464,132738,120401
98,507,464,132553,120339
100,504,464,132396,120281
103,502,464,132256,120209
105,500,464,132114,120159
108,498,464,131985,120117
110,495,464,131867,120072
113,494,464,131749,120035
115,493,464,131652,119986
117,492,464,131563,119955
120,490,464,131473,119927
122,489,464,131396,119902
125,489,464,131347,119879
128,488,464,131281,119851
131,488,464,131218,119843
133,488,464,131177,119819
135,488,464,131139,119803
138,488,464,131084,119790
140,487,464,131053,119774
143,488,464,131019,119768
145,488,464,130993,119761
148,489,464,130972,119747
150,489,464,130957,119744
153,489,464,130949,119746
155,490,464,130940,119739
157,490,464,130934,119747
160,490,464,130931,119749
162,489,464,130931,119730
165,490,464,130942,119752
167,491,464,130950,119760
171,491,464,130952,119766
173,492,464,130970,119780
175,493,464,130991,119785
178,492,464,131008,119796
180,492,464,131024,119801
183,493,464,131041,119811
185,494,464,131073,119820
188,494,464,131100,119834
190,494,464,131127,119851
193,495,464,131152,119856
195,496,463,131184,119862
197,496,464,131219,119882
200,496,463,131260,119902
202,496,464,131285,119909
205,497,464,131321,119937
207,497,464,131379,119953
210,498,464,131418,119967
212,499,464,131461,119986
215,499,464,131461,120002
218,499,464,131548,120019
220,500,464,131584,120033
223,500,464,131643,120049
225,500,463,131686,120071
228,500,464,131730,120087
230,501,464,131783,120118
233,501,464,131783,120135
235,501,464,131876,120149
237,501,464,131925,120149
240,501,464,131986,120193
242,502,464,132025,120203
245,502,464,132025,120225
247,502,464,132103,120240
250,503,464,132157,120240
252,503,464,132205,120282
254,503,464,132205,120290
258,503,464,132280,120312
260,503,464,132316,120312
263,504,464,132364,120341
265,505,464,132396,120359
268,505,464,132396,120379
270,505,464,132478,120400
273,505,464,132514,120400
