TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
3,0,0,0,0
6,439,98,0,0
8,444,98,57574,57557
11,452,98,73923,73914
13,459,99,90288,90293
15,467,99,106717,106706
18,474,99,123096,119674
20,483,99,124823,119678
23,484,99,124839,119683
25,485,99,124839,119687
28,485,100,124842,119687
30,486,100,124843,119677
33,486,100,124853,119690
35,487,100,124857,119696
37,488,100,124863,119691
40,489,100,124879,119695
43,492,101,124872,119695
46,493,101,124882,119702
48,494,101,124884,119701
51,496,101,124895,119706
53,496,101,124902,119715
55,496,102,124909,119712
58,496,102,124911,119716
60,497,102,124912,119718
63,498,102,124923,119722
65,498,102,124934,119729
68,499,102,124932,119720
70,501,102,124931,119719
73,501,102,124934,119717
75,501,102,124943,119716
77,500,103,124949,119727
80,500,103,124952,119726
82,501,103,124960,119724
86,501,103,124954,119731
88,502,103,124952,119726
91,503,103,124965,119724
93,505,103,124959,119735
95,506,103,124963,119727
98,506,103,124969,119727
100,505,103,124983,119731
103,504,104,124986,119734
105,503,104,124990,119737
108,503,104,124998,119736
110,503,104,124995,119739
113,503,104,125001,119740
115,505,104,124992,119745
117,505,104,124993,119740
120,506,104,125003,119739
122,506,104,125009,119743
125,507,104,124993,119736
128,506,104,124990,119740
131,507,104,124985,119735
133,507,104,124976,119735
135,506,104,124968,119730
138,506,104,124962,119726
140,506,104,124946,119719
143,506,104,124931,119709
145,505,105,124913,119708
148,505,105,124903,119700
150,505,105,124890,119698
153,505,105,124869,119693
155,505,105,124854,119679
157,505,105,124826,119676
160,505,105,124812,119663
162,504,105,124785,119659
165,503,105,124763,119645
167,503,105,124746,119636
171,503,105,124730,119631
173,505,105,124709,119623
175,506,105,124691,119610
178,506,105,124660,119602
180,506,105,124638,119592
183,507,105,124617,119582
185,507,105,124614,119579
188,508,105,124588,119573
190,508,105,124571,119564
193,510,105,124554,119555
195,512,105,124541,119551
197,513,105,124523,119536
200,514,106,124511,119539
202,514,105,124499,119531
205,514,106,124485,119517
207,514,106,124467,119515
