,y,feat_nn20,feat_nn50,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20
S201,1.0,8.0,5.0,0.23011656464936658,82.17038779437051,174.3368999874978,0.4166666666666667,0.6666666666666666
S211,1.0,8.0,2.0,0.1624771259577275,80.34901810571007,120.34119706308029,0.16666666666666666,0.6666666666666666
S221,1.0,7.0,4.0,0.07425275096192677,74.01038867381527,59.81416800288659,0.36363636363636365,0.6363636363636364
S301,1.0,6.0,4.0,0.06349554944553859,51.04780993237485,74.73735770283508,0.5,0.75
S311,1.0,5.0,4.0,0.11309337685918386,50.169851560514175,135.69142050746495,0.5,0.625
S321,1.0,7.0,6.0,0.22931272697694624,58.30078450114969,235.28525620130642,0.6666666666666666,0.7777777777777778
S401,1.0,7.0,6.0,0.2450349513794869,60.60980750358426,246.13951732664927,0.6666666666666666,0.7777777777777778
S411,1.0,9.0,4.0,0.25365293140265516,72.41357466054983,223.33993289061155,0.4,0.9
S421,1.0,8.0,4.0,0.08650408308570474,70.78862312986854,66.97181862392499,0.36363636363636365,0.7272727272727273
S501,1.0,5.0,2.0,0.050818584354660926,62.75837363477896,43.48938411396825,0.2222222222222222,0.5555555555555556
S511,1.0,8.0,4.0,0.18704591263107875,66.26851350606641,168.32912367606224,0.4,0.8
S521,1.0,6.0,4.0,0.2937717145950583,68.15706365164111,275.0498563340612,0.4444444444444444,0.6666666666666666
S601,1.0,6.0,2.0,0.04455121993936588,67.41069070765073,39.7269592659317,0.2,0.6
S611,1.0,5.0,3.0,0.20198261169053833,85.9535686508764,154.1804535111307,0.2727272727272727,0.45454545454545453
S621,1.0,7.0,3.0,0.23093833135384295,76.5451869982723,191.81857925378029,0.2727272727272727,0.6363636363636364
S701,1.0,12.0,8.0,0.17084081957954245,86.36685137632435,121.93097513926747,0.6153846153846154,0.9230769230769231
S711,1.0,8.0,5.0,0.06931956998072161,76.44191567234668,54.01660757968109,0.4166666666666667,0.6666666666666666
S721,1.0,10.0,6.0,0.07719102806228272,85.66120255553611,53.634750935717626,0.46153846153846156,0.7692307692307693
S801,1.0,10.0,7.0,0.21350465882737282,77.77716159295139,169.25623613145765,0.6363636363636364,0.9090909090909091
S811,1.0,9.0,7.0,0.14537811728908054,69.84531191687111,124.7950155990513,0.6363636363636364,0.8181818181818182
S821,1.0,7.0,6.0,0.1379987600161355,65.98928336799696,123.16887566458034,0.6,0.7
S901,1.0,9.0,6.0,0.1764757937985915,69.71252463286596,152.80833666754566,0.5454545454545454,0.8181818181818182
S911,1.0,9.0,5.0,0.24460030334608715,73.31548041198586,208.105938484833,0.45454545454545453,0.8181818181818182
S921,1.0,10.0,8.0,0.12095169754160238,79.13081580486427,91.32317567434427,0.6666666666666666,0.8333333333333334
S1001,1.0,6.0,2.0,0.15912444021817193,95.54356619267074,100.76818647394528,0.13333333333333333,0.4
S1011,1.0,13.0,3.0,0.06584200116601541,104.26465378124064,37.935378876736394,0.1875,0.8125
S1021,1.0,4.0,3.0,0.05024390988702594,95.90092620653223,31.491621093296345,0.2,0.26666666666666666
S1101,1.0,9.0,7.0,0.2218891014472928,79.95193693894437,172.4938369863679,0.5833333333333334,0.75
S1111,1.0,8.0,6.0,0.09223571164166863,70.69874608821175,76.69659279875991,0.5454545454545454,0.7272727272727273
S1121,1.0,7.0,3.0,0.05593238853199867,77.73644637005776,40.0943397536777,0.25,0.5833333333333334
S1301,1.0,11.0,6.0,0.18857524768516196,99.26340675565305,116.5082719212354,0.4,0.7333333333333333
S1311,1.0,10.0,4.0,0.06223400398340649,84.10004723989246,43.90582066691588,0.3076923076923077,0.7692307692307693
S1321,1.0,4.0,1.0,0.047869326148000484,100.02071458280506,28.0395092230182,0.06666666666666667,0.26666666666666666
S1401,1.0,5.0,3.0,0.21920459733167083,81.12376299810408,165.2506445076815,0.2727272727272727,0.45454545454545453
S1411,1.0,8.0,4.0,0.17978224537479554,81.38140466907542,135.44414797414422,0.3333333333333333,0.6666666666666666
S1421,1.0,8.0,6.0,0.14910637783814587,75.38391104598234,112.66937363410696,0.5454545454545454,0.7272727272727273
S1501,1.0,12.0,8.0,0.10462967275611967,89.07182296430028,70.0366491945966,0.5714285714285714,0.8571428571428571
S1511,1.0,9.0,3.0,0.06706458998632751,83.27407831497942,48.39714547714141,0.25,0.75
S1521,1.0,9.0,3.0,0.1958230985285032,91.9494623948668,132.01594280042036,0.21428571428571427,0.6428571428571429
