TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
176021,487,313,126280,118057
176023,488,313,126296,118066
176026,490,313,126301,118068
176028,491,313,126308,118068
3,0,0,0,0
6,500,309,0,0
8,501,309,57519,57522
11,501,309,73955,73922
13,502,309,90348,90328
15,502,309,106753,106713
18,502,309,123085,117057
20,502,310,124188,117035
23,502,310,124195,117046
25,503,310,124190,117034
28,503,310,124190,117034
30,503,310,124191,117049
33,504,310,124200,117050
35,504,310,124193,117044
37,504,311,124194,117043
40,504,311,124198,117042
43,504,311,124188,117044
46,504,311,124187,117039
48,505,311,124183,117028
51,505,311,124189,117037
53,505,311,124190,117034
55,505,311,124190,117038
58,505,312,124176,117036
60,505,311,124182,117041
63,505,312,124181,117042
65,505,312,124196,117038
68,506,312,124185,117034
70,506,312,124188,117036
73,506,312,124182,117041
75,506,312,124194,117039
77,506,312,124199,117038
80,505,312,124201,117048
82,505,312,124206,117036
86,505,312,124208,117043
88,506,312,124204,117050
91,506,312,124209,117051
93,506,313,124207,117052
95,506,312,124211,117055
98,507,313,124222,117052
100,507,313,124234,117060
103,508,313,124244,117055
105,508,313,124259,117066
108,508,313,124255,117068
110,509,313,124266,117076
113,509,313,124272,117074
115,509,313,124278,117081
117,509,313,124281,117086
120,509,313,124301,117085
122,509,313,124317,117092
125,509,313,124321,117102
128,509,313,124325,117103
131,509,313,124334,117102
133,510,313,124355,117117
135,510,313,124365,117118
138,510,313,124373,117124
140,509,313,124394,117127
143,509,313,124394,117130
145,509,313,124405,117147
148,509,313,124423,117145
150,510,313,124439,117152
153,510,313,124448,117157
155,510,314,124460,117165
157,510,313,124479,117178
160,510,314,124491,117176
162,510,314,124516,117178
165,510,314,124512,117186
167,510,314,124527,117204
171,510,313,124541,117204
173,511,314,124563,117216
175,512,314,124583,117212
178,512,314,124591,117222
180,512,314,124607,117230
183,512,314,124616,117235
185,512,314,124641,117246
188,512,314,124648,117252
190,512,314,124667,117261
193,512,314,124675,117255
195,511,314,124689,117266
197,512,314,124701,117270
200,511,314,124713,117277
202,512,314,124728,117285
205,512,314,124739,117289
207,512,314,124757,117293
210,512,314,124771,117299
212,512,314,124784,117311
215,512,314,124793,117311
218,512,314,124803,117314
220,512,314,124815,117319
223,512,314,124833,117328
225,512,314,124838,117329
228,512,314,124854,117337
230,512,314,124870,117346
233,512,314,124870,117342
235,512,314,124886,117349
237,512,314,124900,117349
240,512,314,124916,117364
242,512,314,124923,117365
245,512,314,124923,117372
247,512,314,124944,117371
250,512,314,124946,117371
252,512,314,124965,117391
254,512,314,124970,117388
258,512,314,124982,117392
260,512,314,124982,117395
263,513,314,124999,117397
265,513,314,125008,117404
268,513,314,125008,117407
270,512,314,125029,117413
273,512,314,125030,117413
275,512,314,125048,117422
277,512,314,125048,117421
280,512,314,125063,117429
282,512,314,125070,117429
285,512,314,125080,117425
287,512,314,125084,117436
290,512,314,125095,117448
292,511,314,125100,117443
294,511,314,125100,117456
297,512,314,125124,117452
300,512,314,125130,117452
303,512,314,125137,117459
305,512,314,125137,117469
308,512,314,125146,117470
310,512,314,125153,117470
313,512,314,125167,117467
315,513,314,125171,117474
317,513,314,125171,117477
320,513,315,125188,117482
322,513,315,125188,117482
325,512,315,125197,117487
327,512,314,125197,117492
330,512,314,125210,117495
332,513,314,125221,117495
334,513,314,125229,117502
337,513,314,125237,117505
339,514,314,125237,117511
343,514,314,125247,117508
345,514,315,125250,117508
348,514,315,125264,117516
350,515,314,125264,117523
353,515,314,125267,117523
355,516,314,125277,117523
357,516,314,125296,117516
360,517,314,125298,117530
362,517,315,125300,117530
365,518,314,125300,117540
367,519,314,125318,117541
370,519,315,125332,117541
372,519,314,125332,117549
374,518,314,125335,117554
377,519,314,125354,117554
379,518,314,125334,117558
382,519,314,125371,117561
385,519,315,125385,117561
388,520,315,125385,117574
390,520,315,125388,117577
393,521,315,125406,117577
395,522,315,125406,117584
397,522,315,125419,117588
400,522,314,125428,117588
402,521,315,125445,117591
405,520,314,125445,117598
407,520,315,125451,117598
410,518,315,125451,117602
412,518,315,125438,117608
414,517,315,125474,117608
417,516,315,125474,117618
419,515,314,125493,117625
422,515,315,125502,117625
424,514,315,125514,117628
428,512,315,125514,117637
430,511,315,125529,117641
433,510,315,125535,117641
435,509,315,125554,117643
437,508,315,125559,117646
440,507,315,125559,117665
442,507,315,125574,117665
445,507,315,125580,117665
447,507,315,125592,117674
450,507,315,125592,117673
452,507,315,125603,117678
454,507,315,125615,117678
457,506,315,125621,117677
459,506,315,125634,117691
462,506,315,125643,117688
464,507,315,125658,117696
467,507,315,125663,117698
470,506,315,125682,117717
473,505,315,125682,117710
475,505,314,125684,117723
477,505,315,125698,117723
480,505,315,125715,117720
482,505,314,125719,117728
485,506,315,125727,117730
487,506,315,125742,117736
490,506,315,125768,117733
492,506,315,125773,117757
494,507,315,125773,117759
497,507,315,125785,117759
499,507,315,125786,117750
502,507,315,125804,117756
504,507,315,125816,117765
507,506,315,125831,117767
509,505,315,125834,117779
513,501,315,125841,117777
515,496,315,125856,117782
517,487,315,125856,117784
520,484,314,125874,117788
522,484,315,125883,117788
525,489,315,125894,117803
527,510,314,125910,117804
530,522,315,125910,117809
532,539,315,125914,117810
534,555,315,125928,117817
537,580,315,125927,117818
539,607,315,125934,117825
542,658,315,125941,117827
544,682,315,125954,117831
547,703,315,125963,117843
549,727,315,125980,117838
552,748,315,125989,117840
555,773,315,125996,117850
557,770,315,126009,117851
560,759,315,126010,117857
