TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
87248,522,417,129645,113149
87250,523,416,129651,113148
87254,524,416,129650,113143
6,503,425,0,57555
8,502,424,57552,57555
11,501,424,73932,73987
13,499,424,90322,90349
16,498,424,106688,106735
18,498,423,123084,112531
21,498,423,128113,112539
23,498,423,128135,112548
25,498,423,128124,112551
28,497,423,128155,112555
30,497,422,128154,112550
33,497,422,128177,112560
35,498,422,128186,112560
38,498,422,128180,112569
40,497,421,128204,112572
43,497,421,128204,112573
46,497,421,128218,112579
48,498,421,128214,112579
51,497,420,128229,112581
53,496,420,128239,112582
56,492,420,128247,112596
58,482,420,128253,112594
61,477,420,128256,112598
63,474,420,128278,112597
65,473,419,128284,112591
68,472,419,128298,112604
70,473,419,128294,112607
73,475,419,128305,112611
75,480,418,128319,112611
78,488,418,128331,112612
80,503,418,128341,112624
82,525,418,128341,112624
86,565,418,128342,112624
88,611,418,128357,112630
91,657,418,128364,112633
93,660,417,128368,112636
96,650,417,128378,112638
98,635,417,128383,112634
101,609,417,128404,112644
103,559,417,128407,112651
105,543,417,128424,112652
108,531,417,128426,112649
110,526,417,128435,112657
113,520,417,128437,112667
115,507,416,128460,112667
118,499,416,128471,112671
120,490,416,128470,112663
122,484,416,128481,112676
125,482,416,128490,112675
128,482,416,128501,112680
131,486,416,128511,112681
133,489,416,128507,112685
136,492,415,128516,112686
138,493,415,128525,112688
141,494,415,128545,112697
143,494,415,128544,112699
145,494,415,128545,112700
148,494,415,128564,112700
150,495,415,128576,112701
153,496,415,128577,112706
155,495,415,128588,112716
158,496,415,128602,112715
160,496,415,128604,112720
162,497,415,128615,112725
165,497,414,128626,112720
167,499,414,128630,112733
171,499,414,128646,112740
173,500,414,128647,112737
176,500,414,128662,112730
178,500,414,128672,112751
181,500,414,128684,112749
183,500,414,128690,112752
185,501,414,128697,112758
188,502,414,128710,112758
190,503,414,128718,112764
193,503,414,128728,112764
195,504,414,128733,112773
198,504,414,128747,112778
200,505,414,128755,112778
202,506,413,128760,112779
205,506,414,128769,112784
207,506,413,128783,112784
210,506,414,128790,112785
212,506,413,128802,112793
216,506,413,128801,112794
218,507,413,128807,112803
221,508,413,128822,112801
223,508,413,128829,112803
225,509,413,128837,112811
228,510,413,128849,112811
230,510,413,128869,112813
233,510,413,128880,112817
235,511,413,128883,112818
238,511,413,128890,112823
240,512,413,128910,112830
242,512,413,128914,112833
245,512,413,128931,112836
247,512,413,128933,112840
250,513,413,128954,112850
252,514,413,128952,112845
256,515,412,128952,112846
258,515,412,128969,112858
261,515,412,128992,112861
263,515,412,128998,112854
265,515,412,129008,112854
268,515,412,129022,112872
270,516,412,129028,112867
273,517,412,129041,112886
275,518,412,129044,112873
278,518,412,129044,112889
280,519,412,129053,112898
282,520,412,129058,112898
285,520,412,129065,112887
287,522,412,129059,112875
290,525,412,129055,112881
292,526,412,129048,112872
295,526,412,129048,112880
297,527,412,129005,112868
301,528,412,128958,112868
303,530,412,128914,112818
305,531,412,128914,112786
308,532,412,128758,112744
310,533,412,128645,112690
313,533,412,128521,112652
315,535,412,128372,112581
318,535,412,128205,112581
320,537,412,128205,112434
322,538,412,128019,112350
325,541,412,127599,112263
327,541,412,127599,112171
330,541,412,127160,112073
332,541,412,126929,112073
335,541,412,126697,111978
337,543,412,126697,111780
340,544,411,126460,111677
343,544,412,125969,111570
345,544,411,125969,111465
348,544,411,125474,111367
350,544,412,125259,111283
353,544,411,125047,111193
355,544,411,124835,111193
358,543,411,124660,111120
360,541,412,124660,110999
362,539,411,124488,110945
365,537,412,124240,110905
367,534,412,124240,110870
370,531,411,124043,110845
372,529,412,123980,110845
375,526,412,123929,110789
377,519,412,123929,110780
380,514,412,123873,110765
382,509,412,123793,110754
385,505,412,123793,110747
388,502,412,123748,110747
390,498,412,123720,110742
393,496,412,123697,110740
395,489,412,123697,110726
398,486,412,123713,110729
400,484,412,123698,110731
402,482,412,123698,110730
405,481,412,123708,110730
407,479,412,123723,110734
410,477,412,123723,110744
412,476,412,123742,110744
415,473,412,123742,110772
417,473,412,123740,110783
420,472,412,123803,110798
422,472,412,123857,110798
424,472,411,123871,110822
428,472,412,123871,110848
430,472,412,123905,110858
433,473,412,124013,110858
435,473,412,124013,110903
438,473,412,124061,110903
440,473,412,124167,110932
442,474,412,124167,110976
445,475,411,124210,111000
447,476,412,124260,111000
450,477,412,124372,111021
452,477,412,124421,111050
455,478,412,124421,111091
457,479,412,124483,111115
460,480,412,124526,111115
462,480,412,124651,111145
464,482,412,124651,111187
467,482,412,124694,111207
470,483,412,124746,111222
473,484,412,124803,111246
475,485,412,124851,111267
478,486,412,124902,111267
480,487,412,125006,111295
482,488,412,125006,111334
485,489,412,125051,111342
487,490,412,125087,111342
490,491,412,125192,111368
492,492,412,125212,111384
495,492,412,125212,111409
