TimeStamp,ECG Data,GSR Data,PPG_Red Data,PPG_IR Data
14852,512,24,126183,115789
14854,510,24,126180,115789
14857,507,24,126176,115788
14850,512,24,126214,115789
14852,512,24,126183,115789
14854,510,24,126180,115789
14857,507,24,126176,115788
6,514,4,0,0
8,541,4,57554,57539
11,568,4,73926,73956
13,575,4,90302,90333
15,566,4,106672,106706
18,546,4,123086,116102
20,504,5,127038,116097
23,489,4,127047,116097
25,478,4,127053,116102
28,474,5,127064,116102
30,473,5,127072,116103
33,473,5,127074,116105
35,473,5,127074,116111
37,478,5,127085,116105
40,485,5,127101,116111
43,495,5,127098,116116
46,494,5,127103,116117
48,484,5,127117,116114
51,466,5,127120,116120
53,432,5,127133,116121
55,421,5,127133,116123
58,411,5,127134,116119
60,407,5,127140,116125
63,403,5,127140,116129
65,404,5,127154,116129
68,410,5,127156,116127
70,420,5,127158,116132
73,421,5,127165,116144
75,421,5,127173,116132
77,421,6,127181,116143
80,422,6,127197,116148
82,423,6,127195,116146
86,425,6,127204,116150
88,430,6,127204,116159
91,435,6,127212,116160
93,441,6,127222,116162
95,441,6,127212,116164
98,442,6,127219,116156
100,443,6,127239,116168
103,443,6,127244,116165
105,448,6,127256,116170
108,453,6,127254,116176
110,459,6,127252,116175
113,463,6,127263,116177
115,465,6,127259,116181
117,465,6,127263,116183
120,466,6,127281,116181
122,466,6,127286,116187
125,470,6,127285,116191
128,474,6,127285,116188
131,479,6,127297,116193
133,483,6,127293,116187
135,482,6,127303,116193
138,483,6,127306,116189
140,483,6,127307,116199
143,483,6,127312,116194
145,486,6,127305,116209
148,490,6,127309,116204
150,493,6,127334,116205
153,496,6,127333,116205
155,496,6,127333,116211
157,496,6,127340,116215
160,496,6,127336,116207
162,495,6,127349,116210
165,496,6,127347,116218
167,502,6,127352,116224
171,504,7,127365,116223
173,508,6,127352,116215
175,508,6,127358,116223
178,507,6,127362,116229
180,506,7,127366,116197
183,506,7,127370,116235
185,508,7,127390,116235
188,512,7,127394,116236
190,515,6,127402,116240
193,518,7,127400,116233
195,517,7,127401,116237
197,516,7,127402,116239
200,515,7,127410,116242
202,514,7,127405,116241
205,517,7,127406,116234
207,521,7,127404,116236
210,525,7,127404,116237
212,527,7,127393,116227
215,526,7,127382,116227
218,524,7,127353,116213
220,522,7,127332,116195
223,521,7,127287,116184
225,522,7,127251,116166
228,525,7,127199,116143
230,530,7,127150,116125
233,531,7,127150,116102
235,529,7,127036,116081
237,528,7,126969,116081
240,526,7,126919,116043
242,524,7,126851,116013
245,524,7,126851,115999
247,528,7,126731,115968
250,531,7,126672,115968
252,531,7,126643,115942
254,530,7,126599,115928
258,527,7,126551,115913
260,526,7,126551,115890
263,525,7,126461,115880
265,528,7,126427,115864
268,530,7,126427,115850
270,534,7,126377,115843
273,535,7,126353,115843
275,532,7,126341,115839
277,531,7,126341,115833
280,530,7,126308,115829
282,529,7,126292,115829
285,529,7,126300,115823
287,534,7,126277,115816
290,536,7,126273,115822
292,537,7,126273,115817
294,536,7,126270,115818
297,534,7,126276,115821
300,533,7,126278,115821
303,531,7,126276,115823
305,531,7,126276,115822
308,535,7,126286,115831
310,537,7,126298,115831
313,539,7,126312,115834
315,535,7,126316,115839
317,534,7,126316,115843
320,532,7,126343,115852
322,530,7,126354,115852
325,530,7,126371,115855
327,534,7,126371,115863
330,538,7,126383,115868
332,539,7,126411,115868
334,537,7,126434,115870
337,535,7,126457,115886
339,533,7,126457,115893
343,532,7,126494,115893
345,533,7,126507,115903
348,536,7,126530,115912
350,541,7,126530,115919
353,542,7,126544,115928
355,542,7,126582,115928
357,540,7,126599,115929
360,539,7,126619,115940
362,537,7,126625,115940
365,539,7,126625,115954
367,542,7,126646,115957
370,544,7,126670,115957
372,545,7,126670,115961
374,543,7,126694,115969
377,542,7,126709,115969
379,541,7,126693,115970
382,538,7,126729,115983
385,539,7,126754,115983
388,543,7,126754,115986
390,545,8,126754,115991
393,544,7,126768,115991
395,541,7,126768,115990
397,539,7,126782,115996
400,538,7,126799,115996
402,536,7,126805,115998
405,537,7,126805,116007
407,539,7,126818,116004
410,541,7,126822,116004
412,542,7,126853,116010
414,538,8,126853,116018
417,537,8,126867,116018
419,536,8,126877,116031
422,533,7,126877,116033
424,534,7,126891,116035
428,537,7,126911,116035
430,538,7,126915,116039
433,539,8,126915,116046
435,537,7,126928,116043
437,536,7,126928,116043
440,534,7,126951,116047
442,533,7,126948,116051
445,535,8,126948,116054
447,537,7,126964,116056
450,540,7,126967,116056
452,540,7,126973,116052
454,539,7,126973,116063
457,536,7,126974,116067
459,534,7,126984,116067
462,532,7,126983,116062
464,532,7,126984,116066
467,534,7,126988,116067
470,538,7,126996,116065
473,538,8,126994,116066
475,536,7,126987,116071
477,534,7,126987,116064
480,530,8,126984,116063
482,528,7,126982,116063
485,528,7,126972,116065
487,530,7,126977,116059
490,532,7,126975,116064
492,533,7,126970,116057
494,531,7,126965,116062
497,529,7,126958,116059
499,524,8,126956,116054
502,521,7,126954,116057
504,521,7,126944,116047
507,523,7,126949,116048
509,528,7,126952,116042
513,528,7,126945,116043
515,527,7,126929,116040
517,525,7,126924,116041
520,523,7,126924,116032
522,519,7,126918,116035
525,519,7,126904,116035
527,523,7,126906,116029
530,525,7,126901,116033
532,527,7,126900,116029
534,525,7,126896,116032
537,523,7,126899,116028
539,523,7,126905,116027
542,520,7,126896,116030
544,522,7,126902,116026
547,526,7,126906,116034
549,528,7,126904,116027
552,529,7,126904,116040
555,527,7,126899,116031
557,525,7,126907,116035
560,523,7,126921,116034
562,518,7,126923,116042
565,516,7,126940,116041
567,517,7,126945,116042
570,520,7,126942,116050
572,522,7,126942,116041
574,524,7,126957,116045
577,531,7,126947,116051
579,537,7,126961,116054
582,542,7,126972,116054
584,550,7,126979,116056
587,561,7,126982,116062
589,579,7,126992,116062
592,590,7,126995,116073
594,598,7,127006,116065
596,607,7,127008,116072
600,610,7,127012,116082
602,596,7,127023,116071
605,584,7,127031,116079
607,567,7,127048,116082
610,546,7,127049,116086
612,526,7,127059,116081
614,519,7,127065,116093
617,514,7,127066,116095
619,511,7,127077,116102
622,508,7,127077,116095
624,508,7,127076,116102
627,510,7,127101,116099
629,512,7,127099,116105
632,513,7,127095,116107
634,510,7,127112,116111
636,509,7,127127,116116
640,508,7,127126,116112
642,507,7,127126,116098
645,508,8,127136,116113
647,511,7,127147,116126
650,515,7,127144,116127
652,517,7,127150,116128
654,516,7,127159,116122
657,515,8,127170,116133
659,514,7,127168,116129
662,512,7,127175,116133
664,514,7,127198,116135
667,518,7,127184,116136
669,520,7,127196,116144
672,523,7,127193,116118
674,521,7,127201,116148
676,521,7,127203,116138
679,520,7,127212,116146
681,519,7,127219,116152
685,519,7,127222,116151
687,524,7,127230,116157
690,526,7,127242,116153
692,528,7,127243,116151
694,527,8,127243,116156
697,525,7,127247,116159
699,523,7,127248,116163
702,521,7,127270,116162
704,521,7,127264,116161
707,524,7,127262,116164
709,529,7,127284,116174
712,529,7,127284,116171
714,527,7,127284,116168
716,525,7,127289,116168
719,522,7,127298,116182
721,520,7,127304,116173
724,520,7,127304,116176
727,523,7,127301,116183
730,526,7,127306,116183
732,527,7,127318,116185
734,525,7,127313,116178
737,522,7,127327,116192
739,520,7,127327,116187
742,518,7,127334,116187
744,520,7,127336,116192
747,522,7,127336,116193
749,525,7,127343,116194
752,527,8,127337,116194
754,524,8,127345,116198
756,523,7,127345,116189
759,520,7,127341,116190
761,518,7,127333,116190
764,517,7,127316,116188
766,521,7,127296,116167
770,523,7,127271,116169
772,525,7,127271,116142
774,522,7,127239,116131
777,520,7,127152,116124
779,518,7,127106,116124
782,515,7,127049,116077
784,516,7,127049,116046
787,519,8,126993,116039
789,522,7,126864,116039
792,523,7,126802,116011
794,521,7,126742,115957
796,520,8,126742,115945
799,518,7,126635,115919
801,516,7,126572,115919
804,515,7,126526,115882
806,518,7,126526,115866
809,521,7,126480,115846
812,522,7,126398,115846
814,521,7,126366,115836
817,517,7,126346,115816
819,516,7,126346,115807
822,514,7,126287,115807
824,514,7,126261,115800
827,517,7,126249,115793
829,522,7,126249,115778
832,523,7,126222,115777
834,522,7,126194,115777
836,520,7,126189,115771
839,518,7,126180,115765
841,516,7,126171,115765
844,517,7,126171,115770
846,520,7,126161,115767
849,523,7,126159,115767
851,524,8,126159,115762
854,521,7,126168,115770
857,520,7,126165,115770
859,518,7,126145,115769
862,515,7,126180,115769
864,516,7,126189,115769
867,520,7,126189,115779
869,523,7,126189,115785
872,524,8,126208,115785
874,521,7,126208,115788
876,519,7,126228,115794
879,518,8,126238,115794
881,516,7,126255,115797
884,517,7,126255,115806
886,521,7,126271,115809
889,523,7,126288,115809
891,524,7,126310,115817
893,521,7,126310,115823
897,520,7,126332,115823
899,520,7,126345,115834
902,517,7,126345,115838
904,518,7,126358,115833
907,520,7,126372,115833
909,523,7,126395,115845
912,525,7,126395,115854
914,523,7,126409,115853
916,522,7,126413,115853
919,520,7,126442,115866
921,518,7,126449,115868
924,519,7,126449,115871
926,522,7,126465,115864
929,525,7,126466,115864
931,526,7,126468,115872
933,526,8,126468,115878
936,522,7,126478,115874
939,521,7,126484,115874
942,518,7,126493,115872
944,518,7,126492,115878
947,520,7,126500,115879
949,527,7,126519,115892
952,527,7,126529,115886
954,525,7,126531,115889
956,523,7,126531,115892
959,519,7,126537,115901
961,517,7,126541,115901
964,517,7,126556,115898
966,519,7,126564,115898
969,522,7,126572,115906
971,524,7,126578,115910
973,524,7,126594,115910
976,523,7,126607,115911
978,520,7,126623,115924
982,518,7,126629,115930
984,518,7,126650,115928
987,520,7,126672,115932
989,525,7,126688,115936
992,526,7,126706,115943
994,525,7,126705,115941
996,523,7,126708,115948
999,522,7,126719,115947
1001,520,7,126721,115947
1004,520,7,126736,115959
1006,523,7,126754,115958
1009,525,7,126749,115960
1011,527,7,126755,115961
1013,524,7,126774,115970
1016,522,7,126786,115960
1018,520,7,126782,115965
1021,518,7,126781,115969
1024,520,7,126785,115963
1027,523,7,126790,115977
1029,526,7,126782,115966
1032,528,7,126794,115972
1034,526,7,126782,115973
1036,523,7,126783,115972
1039,521,7,126794,115969
1041,518,7,126795,115969
1044,518,7,126790,115965
1046,520,7,126788,115967
1049,523,7,126781,115962
1051,524,7,126773,115958
1053,524,7,126773,115959
1056,521,7,126764,115956
1058,519,7,126765,115959
1061,517,7,126771,115954
1063,517,7,126770,115965
1067,519,7,126766,115956
1069,524,7,126762,115956
1072,525,7,126750,115954
1074,525,7,126744,115952
1076,523,7,126755,115953
1079,520,7,126747,115952
1081,518,7,126735,115956
1084,518,7,126742,115947
1086,521,7,126735,115944
1089,525,7,126734,115950
1091,527,7,126737,115945
1093,525,7,126735,115948
1096,523,7,126735,115949
1098,520,7,126736,115943
1101,515,7,126728,115948
1103,510,7,126733,115950
1106,511,7,126738,115949
1108,513,7,126745,115955
1112,517,7,126747,115952
1114,523,7,126751,115955
1116,527,7,126753,115958
1119,531,7,126749,115957
1121,538,7,126761,115938
1124,548,7,126767,115957
1126,556,7,126774,115961
1129,567,7,126772,115970
1131,586,7,126780,115979
1133,596,7,126790,115971
1136,602,7,126810,115975
1138,604,7,126805,115977
1141,583,7,126803,115982
1143,566,7,126821,115979
1146,551,7,126826,115977
1148,537,7,126838,115983
1152,525,7,126838,115989
1154,510,7,126848,115994
1156,505,7,126856,115986
1159,501,7,126866,115998
1161,497,7,126870,115998
1164,495,7,126869,115996
1166,496,7,126887,115997
1169,498,7,126900,116003
1171,499,8,126897,116005
1173,498,7,126897,116002
1176,496,7,126909,116006
1178,495,7,126917,116002
1181,493,7,126928,116012
1183,493,7,126926,116017
1186,495,7,126943,116020
1188,501,7,126954,116027
1191,502,7,126954,116020
1193,501,7,126961,116024
1196,500,7,126965,116024
1199,497,8,126986,116038
1201,496,7,126984,116031
1204,496,7,126984,116033
1206,500,7,126994,116030
1209,503,7,126998,116030
1211,506,7,127007,116041
1213,505,7,127007,116042
1216,502,7,127022,116040
1218,502,7,127028,116040
1221,501,7,127034,116053
1223,501,7,127041,116038
1226,503,7,127041,116049
1228,506,7,127047,116049
1231,508,7,127057,116049
1233,507,7,127067,116052
1235,505,7,127067,116060
1239,504,7,127072,116065
1241,502,7,127073,116065
1244,501,7,127084,116062
1246,506,7,127093,116068
1249,509,7,127096,116077
1251,512,7,127096,116067
1253,510,7,127098,116075
1256,508,7,127106,116081
1258,507,7,127120,116081
1261,503,7,127124,116082
1263,504,7,127124,116077
1266,508,7,127134,116084
1268,510,8,127140,116084
1271,513,7,127154,116087
1273,512,7,127156,116089
1275,511,7,127156,116092
1278,509,7,127160,116100
1281,508,7,127160,116100
1284,509,7,127171,116100
1286,511,7,127168,116100
1289,513,7,127185,116105
1291,516,7,127185,116095
1293,514,7,127178,116102
1296,512,7,127177,116103
1298,512,7,127175,116103
1301,509,7,127175,116091
1303,509,7,127133,116091
1306,511,7,127113,116079
1308,516,7,127113,116063
1311,516,7,127087,116049
1313,516,7,126999,116049
1315,515,7,126959,116031
1318,512,7,126911,115994
1320,510,7,126843,115994
1324,511,7,126843,115953
1326,515,7,126793,115932
1329,517,7,126661,115932
1331,518,7,126661,115883
1333,516,7,126624,115868
1336,514,7,126506,115868
1338,513,7,126411,115843
1341,510,7,126402,115812
1343,510,7,126364,115812
1346,516,7,126364,115784
1348,518,7,126329,115773
1351,519,7,126256,115773
1353,516,7,126256,115748
1355,514,7,126230,115740
1358,513,8,126175,115740
1360,512,7,126159,115736
1363,512,7,126159,115722
1366,515,7,126130,115723
1369,517,7,126117,115723
1371,519,7,126094,115712
1373,517,7,126094,115711
1538,508,7,126543,115854
1541,505,7,126546,115854
1532,512,7,126509,115846
1536,510,7,126535,115845
1538,508,7,126543,115854
1541,505,7,126546,115854
1543,504,7,126560,115853
1546,506,7,126560,115860
1548,509,7,126566,115860
1551,509,7,126577,115864
1553,505,7,126576,115870
1555,503,7,126584,115869
1558,502,7,126584,115866
1560,500,7,126593,115864
1563,499,7,126588,115862
1565,500,7,126599,115871
1568,503,7,126580,115861
1570,503,7,126592,115857
1572,500,7,126592,115857
1575,499,7,126590,115863
1577,497,7,126600,115863
1581,494,7,126588,115864
1583,495,7,126588,115864
1586,498,7,126595,115857
1588,501,7,126578,115864
1591,503,7,126583,115841
1593,500,7,126581,115861
1595,499,7,126580,115860
1598,498,7,126575,115860
1600,496,7,126573,115858
1603,495,7,126563,115866
1605,500,7,126569,115864
1608,502,7,126562,115851
1610,503,7,126550,115857
1612,501,7,126561,115858
1615,499,7,126559,115857
1617,498,7,126542,115857
1620,495,7,126544,115854
1623,496,7,126544,115849
1626,498,7,126551,115846
1628,500,7,126541,115846
1631,499,7,126545,115850
1633,491,7,126545,115853
1635,489,7,126552,115847
1638,488,7,126552,115847
1640,488,7,126548,115850
1643,494,7,126548,115852
1645,499,7,126556,115844
1648,503,7,126556,115849
1650,507,7,126561,115852
1652,508,7,126556,115852
1655,514,7,126569,115859
1657,521,7,126577,115855
1660,529,7,126586,115860
1662,545,7,126576,115862
1666,559,7,126592,115858
1668,578,7,126606,115866
1671,574,7,126606,115863
1673,556,7,126617,115872
1675,540,7,126623,115872
1678,512,7,126644,115876
1680,501,7,126645,115886
1683,497,7,126645,115891
1685,497,7,126661,115888
1688,498,7,126670,115888
1690,499,7,126679,115893
1692,498,7,126679,115892
1695,495,7,126686,115900
1697,494,7,126690,115900
1700,492,7,126709,115909
1702,491,7,126720,115908
1705,494,7,126720,115913
1708,497,7,126739,115916
1711,499,7,126741,115916
1713,498,7,126748,115917
1715,497,7,126748,115924
